Feature pair	covered in GAM	covered in Hi-C	Accuracy	% covered in GAM	% covered in Hi-C	Info Gain	Fisher's Exact P-value	Avg. Distance of Foreground Occurrence	Avg. Distance of Background Occurrence	Mean discriminatory power (Gini)	Enrichment %GAM / %Hi-C	GAM rank enrichment	Enrichment %Hi-C / %GAM	HiC rank enrichment	Enrichment direction
CTCF / Enhancer	75058	27600	0.554203061	0.455045894	0.279918864	0.022268627	0	2167272.243	2001388.406	0.02729439	1.625634968	6	0.615144248053601	100	enriched in GAM
CTCF / CTCF	61214	25726	0.508784045	0.371115395	0.260912779	0.009453587	0	2172977.423	1981666.796	0.022988081	1.422373396	45	0.703050269930667	61	enriched in GAM
CTCF / RNAPII-S2p	60162	21576	0.520539109	0.36473755	0.218823529	0.017332673	0	2117252.086	1913635.521	0.02290992	1.666811387	2	0.599947905203505	104	enriched in GAM
CTCF / RNAPII-S7p	81900	33827	0.55653662	0.496526136	0.343073022	0.016337704	0	2126493.773	2019599.728	0.018243783	1.447289946	38	0.690946553428209	68	enriched in GAM
CTCF / RNAPII-S5p	89327	39735	0.562300319	0.541552993	0.402991886	0.013039876	0	2126926.909	2055526.865	0.017680789	1.343831008	61	0.744141185942927	45	enriched in GAM
CTCF / H4K20me3	32292	18674	0.42580043	0.195773162	0.189391481	4.42E-05	5.92E-05	2044080.268	2179710.828	0.016574643	1.033695715	90	0.967402675167324	16	enriched in GAM
CTCF / H3K9me3	35326	20287	0.431192278	0.214167061	0.205750507	7.20E-05	2.97E-07	2122410.689	2132778.627	0.016164018	1.0409066	89	0.960700988926384	17	enriched in GAM
p300 / CTCF	52773	20760	0.495598491	0.319941072	0.210547667	0.010316212	0	2142854.111	2018369.942	0.015968471	1.519565976	19	0.658082647146608	87	enriched in GAM
CTCF / Oct4	56987	22822	0.503764049	0.345488827	0.231460446	0.010649865	0	2136920.35	2090102.533	0.015744355	1.492647371	26	0.669950598800873	80	enriched in GAM
RNAPII-S5p / Enhancer	63400	26670	0.513496695	0.384368217	0.270486815	0.009912276	0	2146591.167	1994221.222	0.015559178	1.421023856	46	0.703717953627373	60	enriched in GAM
H4K20me3 / Enhancer	25174	11030	0.427796286	0.152619645	0.111866126	0.002426655	9.75E-195	2040786.526	2173722.575	0.01502955	1.364306167	57	0.732973304810986	49	enriched in GAM
RNAPII-S5p / RNAPII-S5p	48452	26428	0.45769619	0.293744619	0.268032454	5.52E-04	9.99E-46	2088081.4	1972965.037	0.014171475	1.095929298	84	0.912467621611116	22	enriched in GAM
Nanog / CTCF	44411	16666	0.479403975	0.269245693	0.169026369	0.009849849	0	2131476.436	2135228.609	0.014092208	1.592921234	9	0.627777430958648	97	enriched in GAM
CTCF / Sox2	42177	16368	0.472058009	0.255701866	0.166004057	0.008112374	0	2127099.604	2090036.657	0.013389133	1.540335044	14	0.649209406677629	92	enriched in GAM
H3K9me3 / Enhancer	27632	12461	0.431693139	0.167521492	0.12637931	0.002265287	5.67E-182	2112830.052	2121229.436	0.0131449	1.325545229	66	0.754406547677295	40	enriched in GAM
CTCF / H3K27me3	29251	13633	0.433389238	0.177336825	0.13826572	0.001928189	3.33E-155	2203804.314	1964222.108	0.012992365	1.282579842	72	0.779678556650822	34	enriched in GAM
Enhancer / Enhancer	32516	12970	0.448293657	0.197131182	0.131541582	0.005251028	0	2187278.878	1844959.136	0.012783408	1.498622558	24	0.667279425804559	82	enriched in GAM
RNAPII-S7p / Enhancer	56270	23152	0.499791308	0.341141949	0.234807302	0.009270534	0	2151938.866	1941643.055	0.012709649	1.452859201	36	0.6882979433325	70	enriched in GAM
H4K20me3 / RNAPII-S2p	20400	8471	0.419391681	0.12367684	0.085912779	0.002546485	3.12E-204	1966682.353	2079981.112	0.012420865	1.43956279	40	0.694655354352414	66	enriched in GAM
H4K20me3 / RNAPII-S5p	31416	21486	0.411806668	0.190462333	0.217910751	7.87E-04	1.78E-64	1976684.492	2144909.243	0.012406632	0.87403826	102	1.1441146752546	4	enriched in Hi-C
Oct4 / Enhancer	37615	14376	0.462306391	0.22804433	0.145801217	0.00746265	0	2150710.089	2012646.077	0.012375921	1.564076997	11	0.639354713302519	95	enriched in GAM
p300 / RNAPII-S5p	44668	20755	0.464863819	0.270803778	0.210496957	0.003344765	1.18E-267	2120359.989	2010091.062	0.012277357	1.286497352	71	0.777304359348576	35	enriched in GAM
RNAPII-S5p / Oct4	49507	23389	0.47323048	0.300140652	0.237210953	0.003389379	3.13E-271	2103527.178	2077113.173	0.012267863	1.265290021	74	0.790332637895671	32	enriched in GAM
RNAPII-S5p / H3K9me3	33327	22462	0.415354435	0.202047943	0.227809331	0.000667101	6.40E-55	2053178.504	2104394.978	0.012235303	0.88691689	101	1.12750136035857	5	enriched in Hi-C
H4K20me3 / H3K9me3	10139	12014	0.367013728	0.061468602	0.121845842	0.007721547	0	1940384.653	2097706.01	0.011748465	0.504478454	103	1.98224521200265	3	enriched in Hi-C
RNAPII-S5p / RNAPII-S2p	44981	19884	0.469356393	0.272701369	0.201663286	0.004684906	0	2087813.966	1893097.968	0.011747999	1.352260862	60	0.739502286948536	46	enriched in GAM
