class1,class2,count,permuted
Active,Active,397771,yes
Active,Inactive,312156,yes
Active,Enhancer,413227,yes
Active,Genic,1073810,yes
Active,Dixon_TAD,155824,yes
Active,Intergenic,1486088,yes
Inactive,Inactive,67149,yes
Inactive,Enhancer,172369,yes
Inactive,Genic,522913,yes
Inactive,Dixon_TAD,63996,yes
Inactive,Intergenic,604387,yes
Enhancer,Enhancer,120353,yes
Enhancer,Genic,766290,yes
Enhancer,Dixon_TAD,87497,yes
Enhancer,Intergenic,826946,yes
Genic,Genic,1371753,yes
Genic,Dixon_TAD,290419,yes
Genic,Intergenic,2780255,yes
Dixon_TAD,Dixon_TAD,16138,yes
Dixon_TAD,Intergenic,304805,yes
Intergenic,Intergenic,1487660,yes
Active,Active,398976,yes
Active,Inactive,335893,yes
Active,Enhancer,409711,yes
Active,Genic,1105166,yes
Active,Dixon_TAD,151814,yes
Active,Intergenic,1460306,yes
Inactive,Inactive,77597,yes
Inactive,Enhancer,184464,yes
Inactive,Genic,573089,yes
Inactive,Dixon_TAD,66973,yes
Inactive,Intergenic,644916,yes
Enhancer,Enhancer,118606,yes
Enhancer,Genic,775277,yes
Enhancer,Dixon_TAD,85359,yes
Enhancer,Intergenic,811071,yes
Genic,Genic,1430311,yes
Genic,Dixon_TAD,289137,yes
Genic,Intergenic,2789696,yes
Dixon_TAD,Dixon_TAD,15492,yes
Dixon_TAD,Intergenic,299144,yes
Intergenic,Intergenic,1476248,yes
Active,Active,387153,yes
Active,Inactive,310704,yes
Active,Enhancer,400166,yes
Active,Genic,1049541,yes
Active,Dixon_TAD,148301,yes
Active,Intergenic,1487686,yes
Inactive,Inactive,65033,yes
Inactive,Enhancer,170511,yes
Inactive,Genic,521135,yes
Inactive,Dixon_TAD,61861,yes
Inactive,Intergenic,610731,yes
Enhancer,Enhancer,116248,yes
Enhancer,Genic,746247,yes
Enhancer,Dixon_TAD,83753,yes
Enhancer,Intergenic,831111,yes
Genic,Genic,1343313,yes
Genic,Dixon_TAD,277446,yes
Genic,Intergenic,2802926,yes
Dixon_TAD,Dixon_TAD,15088,yes
Dixon_TAD,Intergenic,302078,yes
Intergenic,Intergenic,1532232,yes
Active,Active,396764,yes
Active,Inactive,314808,yes
Active,Enhancer,415212,yes
Active,Genic,1072580,yes
Active,Dixon_TAD,151956,yes
Active,Intergenic,1470124,yes
Inactive,Inactive,71174,yes
Inactive,Enhancer,178487,yes
Inactive,Genic,536475,yes
Inactive,Dixon_TAD,64364,yes
Inactive,Intergenic,622108,yes
Enhancer,Enhancer,122280,yes
Enhancer,Genic,775680,yes
Enhancer,Dixon_TAD,87085,yes
Enhancer,Intergenic,837950,yes
Genic,Genic,1379295,yes
Genic,Dixon_TAD,285554,yes
Genic,Intergenic,2785547,yes
Dixon_TAD,Dixon_TAD,15724,yes
Dixon_TAD,Intergenic,300332,yes
Intergenic,Intergenic,1491419,yes
Active,Active,395334,yes
Active,Inactive,305501,yes
Active,Enhancer,401043,yes
Active,Genic,1062225,yes
Active,Dixon_TAD,153238,yes
Active,Intergenic,1496739,yes
Inactive,Inactive,65341,yes
Inactive,Enhancer,166247,yes
Inactive,Genic,515311,yes
Inactive,Dixon_TAD,62632,yes
Inactive,Intergenic,600607,yes
Enhancer,Enhancer,113703,yes
Enhancer,Genic,744096,yes
Enhancer,Dixon_TAD,84170,yes
Enhancer,Intergenic,809383,yes
Genic,Genic,1359713,yes
Genic,Dixon_TAD,286076,yes
Genic,Intergenic,2805167,yes
Dixon_TAD,Dixon_TAD,15957,yes
Dixon_TAD,Intergenic,306640,yes
Intergenic,Intergenic,1506272,yes
Active,Active,408438,yes
Active,Inactive,315264,yes
Active,Enhancer,424425,yes
Active,Genic,1097822,yes
Active,Dixon_TAD,157247,yes
Active,Intergenic,1455798,yes
Inactive,Inactive,68771,yes
Inactive,Enhancer,176378,yes
Inactive,Genic,534571,yes
Inactive,Dixon_TAD,64649,yes
Inactive,Intergenic,605298,yes
Enhancer,Enhancer,123738,yes
Enhancer,Genic,787822,yes
Enhancer,Dixon_TAD,89538,yes
