class1,class2,count,permuted
Active,Active,406281,yes
Active,Inactive,327158,yes
Active,Enhancer,410765,yes
Active,Genic,1100474,yes
Active,Dixon_TAD,155138,yes
Active,Intergenic,1464131,yes
Inactive,Inactive,72260,yes
Inactive,Enhancer,180135,yes
Inactive,Genic,555782,yes
Inactive,Dixon_TAD,65080,yes
Inactive,Intergenic,617724,yes
Enhancer,Enhancer,117552,yes
Enhancer,Genic,770647,yes
Enhancer,Dixon_TAD,85484,yes
Enhancer,Intergenic,814100,yes
Genic,Genic,1414814,yes
Genic,Dixon_TAD,289677,yes
Genic,Intergenic,2773658,yes
Dixon_TAD,Dixon_TAD,15560,yes
Dixon_TAD,Intergenic,295623,yes
Intergenic,Intergenic,1482726,yes
Active,Active,420950,yes
Active,Inactive,349138,yes
Active,Enhancer,430991,yes
Active,Genic,1133946,yes
Active,Dixon_TAD,157543,yes
Active,Intergenic,1482275,yes
Inactive,Inactive,74525,yes
Inactive,Enhancer,189637,yes
Inactive,Genic,578565,yes
Inactive,Dixon_TAD,66874,yes
Inactive,Intergenic,635301,yes
Enhancer,Enhancer,122985,yes
Enhancer,Genic,796664,yes
Enhancer,Dixon_TAD,86905,yes
Enhancer,Intergenic,809565,yes
Genic,Genic,1445500,yes
Genic,Dixon_TAD,291631,yes
Genic,Intergenic,2779786,yes
Dixon_TAD,Dixon_TAD,15650,yes
Dixon_TAD,Intergenic,294968,yes
Intergenic,Intergenic,1447355,yes
Active,Active,395909,yes
Active,Inactive,317412,yes
Active,Enhancer,405539,yes
Active,Genic,1069059,yes
Active,Dixon_TAD,150784,yes
Active,Intergenic,1478391,yes
Inactive,Inactive,70805,yes
Inactive,Enhancer,175385,yes
Inactive,Genic,538379,yes
Inactive,Dixon_TAD,63834,yes
Inactive,Intergenic,627080,yes
Enhancer,Enhancer,117164,yes
Enhancer,Genic,757449,yes
Enhancer,Dixon_TAD,84191,yes
Enhancer,Intergenic,815595,yes
Genic,Genic,1373499,yes
Genic,Dixon_TAD,282901,yes
Genic,Intergenic,2796090,yes
Dixon_TAD,Dixon_TAD,15296,yes
Dixon_TAD,Intergenic,296796,yes
Intergenic,Intergenic,1488027,yes
Active,Active,409218,yes
Active,Inactive,323669,yes
Active,Enhancer,418384,yes
Active,Genic,1090725,yes
Active,Dixon_TAD,156666,yes
Active,Intergenic,1487419,yes
Inactive,Inactive,69676,yes
Inactive,Enhancer,178617,yes
Inactive,Genic,540116,yes
Inactive,Dixon_TAD,65559,yes
Inactive,Intergenic,624544,yes
Enhancer,Enhancer,119267,yes
Enhancer,Genic,773173,yes
Enhancer,Dixon_TAD,87364,yes
Enhancer,Intergenic,826765,yes
Genic,Genic,1387883,yes
Genic,Dixon_TAD,290123,yes
Genic,Intergenic,2776450,yes
Dixon_TAD,Dixon_TAD,15905,yes
Dixon_TAD,Intergenic,302305,yes
Intergenic,Intergenic,1484637,yes
Active,Active,402909,yes
Active,Inactive,334059,yes
Active,Enhancer,423521,yes
Active,Genic,1095721,yes
Active,Dixon_TAD,151433,yes
Active,Intergenic,1471516,yes
Inactive,Inactive,72663,yes
Inactive,Enhancer,186785,yes
Inactive,Genic,560615,yes
Inactive,Dixon_TAD,64845,yes
Inactive,Intergenic,623899,yes
Enhancer,Enhancer,124907,yes
Enhancer,Genic,790382,yes
Enhancer,Dixon_TAD,86089,yes
Enhancer,Intergenic,838752,yes
Genic,Genic,1405707,yes
Genic,Dixon_TAD,283719,yes
Genic,Intergenic,2781037,yes
Dixon_TAD,Dixon_TAD,14874,yes
Dixon_TAD,Intergenic,289600,yes
Intergenic,Intergenic,1469747,yes
Active,Active,406782,yes
Active,Inactive,331254,yes
Active,Enhancer,413476,yes
Active,Genic,1095437,yes
Active,Dixon_TAD,153046,yes
Active,Intergenic,1484480,yes
Inactive,Inactive,72003,yes
Inactive,Enhancer,176690,yes
Inactive,Genic,551511,yes
Inactive,Dixon_TAD,64036,yes
Inactive,Intergenic,613211,yes
Enhancer,Enhancer,116728,yes
Enhancer,Genic,764543,yes
Enhancer,Dixon_TAD,84058,yes
Enhancer,Intergenic,809965,yes
Genic,Genic,1398099,yes
Genic,Dixon_TAD,284234,yes
Genic,Intergenic,2776365,yes
Dixon_TAD,Dixon_TAD,15151,yes
Dixon_TAD,Intergenic,296946,yes
Intergenic,Intergenic,1491616,yes
Active,Active,393238,yes
Active,Inactive,308704,yes
Active,Enhancer,409957,yes
Active,Genic,1066553,yes
Active,Dixon_TAD,153150,yes
Active,Intergenic,1484432,yes
Inactive,Inactive,65868,yes
Inactive,Enhancer,173624,yes
Inactive,Genic,522291,yes
Inactive,Dixon_TAD,63016,yes
Inactive,Intergenic,601566,yes
Enhancer,Enhancer,119589,yes
Enhancer,Genic,764303,yes
Enhancer,Dixon_TAD,86402,yes
Enhancer,Intergenic,829898,yes
Genic,Genic,1367662,yes
Genic,Dixon_TAD,286327,yes
Genic,Intergenic,2791995,yes
Dixon_TAD,Dixon_TAD,15577,yes
Dixon_TAD,Intergenic,301140,yes
Intergenic,Intergenic,1500958,yes
Active,Active,384991,yes
Active,Inactive,301079,yes
Active,Enhancer,398320,yes
Active,Genic,1032107,yes
Active,Dixon_TAD,148175,yes
Active,Intergenic,1485269,yes
Inactive,Inactive,63063,yes
Inactive,Enhancer,166658,yes
Inactive,Genic,506206,yes
Inactive,Dixon_TAD,60075,yes
Inactive,Intergenic,610029,yes
Enhancer,Enhancer,116395,yes
Enhancer,Genic,741383,yes
Enhancer,Dixon_TAD,83989,yes
Enhancer,Intergenic,829879,yes
Genic,Genic,1320789,yes
Genic,Dixon_TAD,275281,yes
Genic,Intergenic,2793501,yes
Dixon_TAD,Dixon_TAD,14824,yes
Dixon_TAD,Intergenic,303272,yes
Intergenic,Intergenic,1548641,yes
Active,Active,381475,yes
Active,Inactive,310047,yes
Active,Enhancer,404803,yes
Active,Genic,1062397,yes
Active,Dixon_TAD,146216,yes
Active,Intergenic,1463662,yes
Inactive,Inactive,70234,yes
Inactive,Enhancer,176364,yes
Inactive,Genic,533812,yes
Inactive,Dixon_TAD,63029,yes
Inactive,Intergenic,624794,yes
Enhancer,Enhancer,120723,yes
Enhancer,Genic,767067,yes
Enhancer,Dixon_TAD,84421,yes
Enhancer,Intergenic,834882,yes
Genic,Genic,1376583,yes
Genic,Dixon_TAD,279161,yes
Genic,Intergenic,2792412,yes
Dixon_TAD,Dixon_TAD,15089,yes
Dixon_TAD,Intergenic,295822,yes
Intergenic,Intergenic,1497334,yes
Active,Active,431898,yes
Active,Inactive,344424,yes
Active,Enhancer,432166,yes
Active,Genic,1152334,yes
Active,Dixon_TAD,160796,yes
Active,Intergenic,1474792,yes
Inactive,Inactive,74728,yes
Inactive,Enhancer,184979,yes
Inactive,Genic,575050,yes
Inactive,Dixon_TAD,67679,yes
Inactive,Intergenic,621937,yes
Enhancer,Enhancer,121794,yes
Enhancer,Genic,799500,yes
Enhancer,Dixon_TAD,88065,yes
Enhancer,Intergenic,803754,yes
Genic,Genic,1470147,yes
Genic,Dixon_TAD,298994,yes
Genic,Intergenic,2778522,yes
Dixon_TAD,Dixon_TAD,15844,yes
Dixon_TAD,Intergenic,296891,yes
Intergenic,Intergenic,1412724,yes
Active,Active,393435,yes
Active,Inactive,307014,yes
Active,Enhancer,402715,yes
Active,Genic,1055384,yes
Active,Dixon_TAD,148557,yes
Active,Intergenic,1495514,yes
Inactive,Inactive,63850,yes
Inactive,Enhancer,167424,yes
Inactive,Genic,512482,yes
Inactive,Dixon_TAD,60262,yes
Inactive,Intergenic,604878,yes
Enhancer,Enhancer,116002,yes
Enhancer,Genic,747556,yes
Enhancer,Dixon_TAD,82707,yes
Enhancer,Intergenic,824346,yes
Genic,Genic,1345789,yes
Genic,Dixon_TAD,275933,yes
Genic,Intergenic,2794799,yes
Dixon_TAD,Dixon_TAD,14785,yes
Dixon_TAD,Intergenic,299057,yes
Intergenic,Intergenic,1517904,yes
Active,Active,409011,yes
Active,Inactive,318428,yes
Active,Enhancer,422609,yes
