class1,class2,count,permuted
Active,Active,384307,yes
Active,Inactive,309190,yes
Active,Enhancer,399202,yes
Active,Genic,1060397,yes
Active,Dixon_TAD,150135,yes
Active,Intergenic,1460105,yes
Inactive,Inactive,69086,yes
Inactive,Enhancer,172850,yes
Inactive,Genic,531172,yes
Inactive,Dixon_TAD,63498,yes
Inactive,Intergenic,612698,yes
Enhancer,Enhancer,116128,yes
Enhancer,Genic,755274,yes
Enhancer,Dixon_TAD,84791,yes
Enhancer,Intergenic,820399,yes
Genic,Genic,1373856,yes
Genic,Dixon_TAD,284344,yes
Genic,Intergenic,2787813,yes
Dixon_TAD,Dixon_TAD,15451,yes
Dixon_TAD,Intergenic,299689,yes
Intergenic,Intergenic,1512860,yes
Active,Active,424694,yes
Active,Inactive,337315,yes
Active,Enhancer,439144,yes
Active,Genic,1148120,yes
Active,Dixon_TAD,159146,yes
Active,Intergenic,1466940,yes
Inactive,Inactive,72678,yes
Inactive,Enhancer,187678,yes
Inactive,Genic,567064,yes
Inactive,Dixon_TAD,65496,yes
Inactive,Intergenic,609596,yes
Enhancer,Enhancer,128259,yes
Enhancer,Genic,819202,yes
Enhancer,Dixon_TAD,88979,yes
Enhancer,Intergenic,820044,yes
Genic,Genic,1469756,yes
Genic,Dixon_TAD,295384,yes
Genic,Intergenic,2762043,yes
Dixon_TAD,Dixon_TAD,15799,yes
Dixon_TAD,Intergenic,290696,yes
Intergenic,Intergenic,1423409,yes
Active,Active,396071,yes
Active,Inactive,325569,yes
Active,Enhancer,408817,yes
Active,Genic,1074155,yes
Active,Dixon_TAD,151231,yes
Active,Intergenic,1479431,yes
Inactive,Inactive,71991,yes
Inactive,Enhancer,179302,yes
Inactive,Genic,545455,yes
Inactive,Dixon_TAD,64357,yes
Inactive,Intergenic,626735,yes
Enhancer,Enhancer,118516,yes
Enhancer,Genic,763591,yes
Enhancer,Dixon_TAD,84907,yes
Enhancer,Intergenic,817901,yes
Genic,Genic,1377738,yes
Genic,Dixon_TAD,281919,yes
Genic,Intergenic,2784616,yes
Dixon_TAD,Dixon_TAD,15258,yes
Dixon_TAD,Intergenic,297707,yes
Intergenic,Intergenic,1503414,yes
Active,Active,412327,yes
Active,Inactive,322910,yes
Active,Enhancer,417841,yes
Active,Genic,1102878,yes
Active,Dixon_TAD,158303,yes
Active,Intergenic,1506093,yes
Inactive,Inactive,69070,yes
Inactive,Enhancer,175746,yes
Inactive,Genic,540046,yes
Inactive,Dixon_TAD,63514,yes
Inactive,Intergenic,605689,yes
