class1,class2,count,permuted
Active,Active,424453,yes
Active,Inactive,315274,yes
Active,Enhancer,433489,yes
Active,Genic,1121897,yes
Active,Dixon_TAD,159713,yes
Active,Intergenic,1490179,yes
Inactive,Inactive,66177,yes
Inactive,Enhancer,174232,yes
Inactive,Genic,527564,yes
Inactive,Dixon_TAD,62006,yes
Inactive,Intergenic,596136,yes
Enhancer,Enhancer,123655,yes
Enhancer,Genic,793485,yes
Enhancer,Dixon_TAD,88113,yes
Enhancer,Intergenic,817781,yes
Genic,Genic,1423868,yes
Genic,Dixon_TAD,293219,yes
Genic,Intergenic,2792302,yes
Dixon_TAD,Dixon_TAD,15683,yes
Dixon_TAD,Intergenic,297371,yes
Intergenic,Intergenic,1449919,yes
Active,Active,398006,yes
Active,Inactive,325740,yes
Active,Enhancer,405340,yes
Active,Genic,1069716,yes
Active,Dixon_TAD,150784,yes
Active,Intergenic,1484358,yes
Inactive,Inactive,76811,yes
Inactive,Enhancer,179135,yes
Inactive,Genic,551615,yes
Inactive,Dixon_TAD,65376,yes
Inactive,Intergenic,647009,yes
Enhancer,Enhancer,114706,yes
Enhancer,Genic,753751,yes
Enhancer,Dixon_TAD,82698,yes
Enhancer,Intergenic,807374,yes
Genic,Genic,1373643,yes
Genic,Dixon_TAD,281615,yes
Genic,Intergenic,2803279,yes
Dixon_TAD,Dixon_TAD,15126,yes
Dixon_TAD,Intergenic,296486,yes
Intergenic,Intergenic,1491620,yes
Active,Active,414563,yes
Active,Inactive,328951,yes
Active,Enhancer,421690,yes
Active,Genic,1113820,yes
Active,Dixon_TAD,157682,yes
Active,Intergenic,1512252,yes
Inactive,Inactive,68355,yes
Inactive,Enhancer,176964,yes
Inactive,Genic,543465,yes
Inactive,Dixon_TAD,65177,yes
Inactive,Intergenic,599664,yes
Enhancer,Enhancer,119072,yes
Enhancer,Genic,777459,yes
Enhancer,Dixon_TAD,86779,yes
Enhancer,Intergenic,818052,yes
Genic,Genic,1414744,yes
Genic,Dixon_TAD,292672,yes
Genic,Intergenic,2795888,yes
Dixon_TAD,Dixon_TAD,16000,yes
Dixon_TAD,Intergenic,301767,yes
Intergenic,Intergenic,1457445,yes
Active,Active,407801,yes
Active,Inactive,332025,yes
Active,Enhancer,413821,yes
Active,Genic,1113033,yes
Active,Dixon_TAD,154564,yes
Active,Intergenic,1455665,yes
Inactive,Inactive,75800,yes
Inactive,Enhancer,180595,yes
Inactive,Genic,564697,yes
Inactive,Dixon_TAD,64925,yes
Inactive,Intergenic,623363,yes
Enhancer,Enhancer,117412,yes
Enhancer,Genic,776807,yes
Enhancer,Dixon_TAD,85531,yes
Enhancer,Intergenic,804252,yes
Genic,Genic,1433288,yes
Genic,Dixon_TAD,289554,yes
Genic,Intergenic,2773877,yes
Dixon_TAD,Dixon_TAD,15665,yes
Dixon_TAD,Intergenic,296864,yes
Intergenic,Intergenic,1469582,yes
Active,Active,435546,yes
Active,Inactive,327255,yes
Active,Enhancer,437285,yes
Active,Genic,1141767,yes
Active,Dixon_TAD,160345,yes
Active,Intergenic,1509941,yes
Inactive,Inactive,67049,yes
Inactive,Enhancer,177370,yes
Inactive,Genic,545366,yes
Inactive,Dixon_TAD,62905,yes
Inactive,Intergenic,603506,yes
Enhancer,Enhancer,125529,yes
Enhancer,Genic,799163,yes
Enhancer,Dixon_TAD,88059,yes
Enhancer,Intergenic,824796,yes
Genic,Genic,1447821,yes
Genic,Dixon_TAD,292954,yes
Genic,Intergenic,2802322,yes
Dixon_TAD,Dixon_TAD,15652,yes
Dixon_TAD,Intergenic,294298,yes
Intergenic,Intergenic,1436546,yes
Active,Active,417492,yes
Active,Inactive,318298,yes
Active,Enhancer,416123,yes
Active,Genic,1106141,yes
Active,Dixon_TAD,154855,yes
Active,Intergenic,1467841,yes
Inactive,Inactive,67439,yes
Inactive,Enhancer,172663,yes
Inactive,Genic,535487,yes
Inactive,Dixon_TAD,62376,yes
Inactive,Intergenic,589789,yes
Enhancer,Enhancer,117921,yes
Enhancer,Genic,770403,yes
Enhancer,Dixon_TAD,85332,yes
Enhancer,Intergenic,808615,yes
Genic,Genic,1413965,yes
Genic,Dixon_TAD,287940,yes
Genic,Intergenic,2760482,yes
Dixon_TAD,Dixon_TAD,15535,yes
Dixon_TAD,Intergenic,300984,yes
Intergenic,Intergenic,1493771,yes
Active,Active,401741,yes
Active,Inactive,318056,yes
Active,Enhancer,412952,yes
Active,Genic,1077156,yes
Active,Dixon_TAD,153647,yes
Active,Intergenic,1501859,yes
Inactive,Inactive,69574,yes
Inactive,Enhancer,176714,yes
Inactive,Genic,532544,yes
Inactive,Dixon_TAD,63645,yes
Inactive,Intergenic,614329,yes
Enhancer,Enhancer,118956,yes
Enhancer,Genic,763619,yes
Enhancer,Dixon_TAD,85915,yes
Enhancer,Intergenic,827001,yes
Genic,Genic,1373048,yes
Genic,Dixon_TAD,284290,yes
Genic,Intergenic,2793938,yes
Dixon_TAD,Dixon_TAD,15618,yes
Dixon_TAD,Intergenic,299661,yes
Intergenic,Intergenic,1500370,yes
Active,Active,417323,yes
Active,Inactive,341047,yes
Active,Enhancer,421559,yes
Active,Genic,1126036,yes
Active,Dixon_TAD,156881,yes
Active,Intergenic,1476825,yes
Inactive,Inactive,74206,yes
Inactive,Enhancer,184957,yes
Inactive,Genic,568244,yes
Inactive,Dixon_TAD,66806,yes
Inactive,Intergenic,632089,yes
Enhancer,Enhancer,120323,yes
Enhancer,Genic,786009,yes
Enhancer,Dixon_TAD,86637,yes
Enhancer,Intergenic,806517,yes
Genic,Genic,1438380,yes
Genic,Dixon_TAD,292220,yes
Genic,Intergenic,2784076,yes
Dixon_TAD,Dixon_TAD,15602,yes
Dixon_TAD,Intergenic,298487,yes
Intergenic,Intergenic,1445952,yes
Active,Active,399549,yes
Active,Inactive,323259,yes
Active,Enhancer,412510,yes
Active,Genic,1094989,yes
Active,Dixon_TAD,154915,yes
Active,Intergenic,1479124,yes
Inactive,Inactive,72125,yes
Inactive,Enhancer,177253,yes
Inactive,Genic,548945,yes
Inactive,Dixon_TAD,65312,yes
Inactive,Intergenic,621747,yes
Enhancer,Enhancer,118490,yes
Enhancer,Genic,772742,yes
