class1,class2,count,permuted
Active,Active,390970,yes
Active,Inactive,309196,yes
Active,Enhancer,400659,yes
Active,Genic,1053860,yes
Active,Dixon_TAD,149774,yes
Active,Intergenic,1468194,yes
Inactive,Inactive,68591,yes
Inactive,Enhancer,170871,yes
Inactive,Genic,523206,yes
Inactive,Dixon_TAD,62473,yes
Inactive,Intergenic,618799,yes
Enhancer,Enhancer,115249,yes
Enhancer,Genic,746313,yes
Enhancer,Dixon_TAD,84207,yes
Enhancer,Intergenic,820416,yes
Genic,Genic,1352798,yes
Genic,Dixon_TAD,280425,yes
Genic,Intergenic,2784813,yes
Dixon_TAD,Dixon_TAD,15358,yes
Dixon_TAD,Intergenic,303359,yes
Intergenic,Intergenic,1530166,yes
Active,Active,387978,yes
Active,Inactive,332549,yes
Active,Enhancer,401027,yes
Active,Genic,1086724,yes
Active,Dixon_TAD,151408,yes
Active,Intergenic,1451272,yes
Inactive,Inactive,77675,yes
Inactive,Enhancer,182254,yes
Inactive,Genic,569132,yes
Inactive,Dixon_TAD,66590,yes
Inactive,Intergenic,634678,yes
Enhancer,Enhancer,115673,yes
Enhancer,Genic,763421,yes
Enhancer,Dixon_TAD,84994,yes
Enhancer,Intergenic,806935,yes
Genic,Genic,1413206,yes
Genic,Dixon_TAD,288792,yes
Genic,Intergenic,2797055,yes
Dixon_TAD,Dixon_TAD,15766,yes
Dixon_TAD,Intergenic,302001,yes
Intergenic,Intergenic,1477690,yes
Active,Active,388912,yes
Active,Inactive,323356,yes
Active,Enhancer,397386,yes
Active,Genic,1060397,yes
Active,Dixon_TAD,151374,yes
Active,Intergenic,1484074,yes
Inactive,Inactive,73884,yes
Inactive,Enhancer,176560,yes
Inactive,Genic,545758,yes
Inactive,Dixon_TAD,65141,yes
Inactive,Intergenic,645267,yes
Enhancer,Enhancer,113184,yes
Enhancer,Genic,744824,yes
Enhancer,Dixon_TAD,84086,yes
Enhancer,Intergenic,812960,yes
Genic,Genic,1364095,yes
Genic,Dixon_TAD,284027,yes
Genic,Intergenic,2801874,yes
Dixon_TAD,Dixon_TAD,15541,yes
Dixon_TAD,Intergenic,302767,yes
Intergenic,Intergenic,1514181,yes
Active,Active,433502,yes
Active,Inactive,314245,yes
Active,Enhancer,436968,yes
Active,Genic,1135463,yes
Active,Dixon_TAD,161132,yes
Active,Intergenic,1500991,yes
Inactive,Inactive,64247,yes
Inactive,Enhancer,172441,yes
Inactive,Genic,525507,yes
Inactive,Dixon_TAD,62168,yes
Inactive,Intergenic,587334,yes
Enhancer,Enhancer,122782,yes
Enhancer,Genic,797009,yes
Enhancer,Dixon_TAD,89119,yes
Enhancer,Intergenic,815846,yes
Genic,Genic,1436981,yes
Genic,Dixon_TAD,295869,yes
Genic,Intergenic,2783221,yes
Dixon_TAD,Dixon_TAD,16014,yes
Dixon_TAD,Intergenic,301149,yes
Intergenic,Intergenic,1443540,yes
Active,Active,397665,yes
Active,Inactive,322198,yes
Active,Enhancer,407886,yes
Active,Genic,1081127,yes
Active,Dixon_TAD,150246,yes
Active,Intergenic,1470849,yes
Inactive,Inactive,73326,yes
Inactive,Enhancer,176397,yes
Inactive,Genic,547793,yes
Inactive,Dixon_TAD,64883,yes
Inactive,Intergenic,622433,yes
Enhancer,Enhancer,116689,yes
Enhancer,Genic,762640,yes
Enhancer,Dixon_TAD,83787,yes
Enhancer,Intergenic,811150,yes
Genic,Genic,1392410,yes
Genic,Dixon_TAD,283491,yes
Genic,Intergenic,2782993,yes
Dixon_TAD,Dixon_TAD,15129,yes
Dixon_TAD,Intergenic,299277,yes
Intergenic,Intergenic,1485379,yes
Active,Active,406594,yes
Active,Inactive,340523,yes
Active,Enhancer,415275,yes
Active,Genic,1122004,yes
Active,Dixon_TAD,156980,yes
