class1,class2,count,permuted
Active,Active,417409,yes
Active,Inactive,331407,yes
Active,Enhancer,418882,yes
Active,Genic,1111838,yes
Active,Dixon_TAD,160917,yes
Active,Intergenic,1501140,yes
Inactive,Inactive,71853,yes
Inactive,Enhancer,178629,yes
Inactive,Genic,551687,yes
Inactive,Dixon_TAD,68024,yes
Inactive,Intergenic,629316,yes
Enhancer,Enhancer,117604,yes
Enhancer,Genic,771550,yes
Enhancer,Dixon_TAD,87912,yes
Enhancer,Intergenic,811119,yes
Genic,Genic,1413176,yes
Genic,Dixon_TAD,297809,yes
Genic,Intergenic,2793178,yes
Dixon_TAD,Dixon_TAD,16346,yes
Dixon_TAD,Intergenic,303633,yes
Intergenic,Intergenic,1469318,yes
Active,Active,413030,yes
Active,Inactive,323226,yes
Active,Enhancer,430549,yes
Active,Genic,1134122,yes
Active,Dixon_TAD,157294,yes
Active,Intergenic,1451267,yes
Inactive,Inactive,72930,yes
Inactive,Enhancer,181521,yes
Inactive,Genic,557791,yes
Inactive,Dixon_TAD,65450,yes
Inactive,Intergenic,610544,yes
Enhancer,Enhancer,125431,yes
Enhancer,Genic,809924,yes
Enhancer,Dixon_TAD,88841,yes
Enhancer,Intergenic,814699,yes
Genic,Genic,1466889,yes
Genic,Dixon_TAD,297553,yes
Genic,Intergenic,2785938,yes
Dixon_TAD,Dixon_TAD,15857,yes
Dixon_TAD,Intergenic,294498,yes
Intergenic,Intergenic,1417929,yes
Active,Active,426573,yes
Active,Inactive,328432,yes
Active,Enhancer,435044,yes
Active,Genic,1126304,yes
Active,Dixon_TAD,159365,yes
Active,Intergenic,1486937,yes
Inactive,Inactive,70974,yes
Inactive,Enhancer,180771,yes
Inactive,Genic,549675,yes
Inactive,Dixon_TAD,65348,yes
Inactive,Intergenic,613708,yes
Enhancer,Enhancer,123970,yes
Enhancer,Genic,796433,yes
Enhancer,Dixon_TAD,89373,yes
Enhancer,Intergenic,818119,yes
Genic,Genic,1431638,yes
Genic,Dixon_TAD,293878,yes
Genic,Intergenic,2775584,yes
Dixon_TAD,Dixon_TAD,15742,yes
Dixon_TAD,Intergenic,300236,yes
Intergenic,Intergenic,1454494,yes
Active,Active,432386,yes
Active,Inactive,330987,yes
Active,Enhancer,434786,yes
Active,Genic,1141527,yes
Active,Dixon_TAD,159078,yes
Active,Intergenic,1474832,yes
Inactive,Inactive,69809,yes
Inactive,Enhancer,178311,yes
Inactive,Genic,553356,yes
Inactive,Dixon_TAD,64612,yes
Inactive,Intergenic,605217,yes
Enhancer,Enhancer,122714,yes
Enhancer,Genic,795594,yes
