class1,class2,count,permuted
Active,Active,402830,yes
Active,Inactive,331436,yes
Active,Enhancer,412194,yes
Active,Genic,1091816,yes
Active,Dixon_TAD,152255,yes
Active,Intergenic,1479351,yes
Inactive,Inactive,75763,yes
Inactive,Enhancer,181422,yes
Inactive,Genic,559404,yes
Inactive,Dixon_TAD,65346,yes
Inactive,Intergenic,639251,yes
Enhancer,Enhancer,118493,yes
Enhancer,Genic,769099,yes
Enhancer,Dixon_TAD,84490,yes
Enhancer,Intergenic,813606,yes
Genic,Genic,1402369,yes
Genic,Dixon_TAD,284888,yes
Genic,Intergenic,2798607,yes
Dixon_TAD,Dixon_TAD,15287,yes
Dixon_TAD,Intergenic,296598,yes
Intergenic,Intergenic,1471950,yes
Active,Active,401420,yes
Active,Inactive,323982,yes
Active,Enhancer,416251,yes
Active,Genic,1097960,yes
Active,Dixon_TAD,153120,yes
Active,Intergenic,1458066,yes
Inactive,Inactive,70608,yes
Inactive,Enhancer,181056,yes
Inactive,Genic,547757,yes
Inactive,Dixon_TAD,64096,yes
Inactive,Intergenic,619250,yes
Enhancer,Enhancer,122288,yes
Enhancer,Genic,784350,yes
Enhancer,Dixon_TAD,86465,yes
Enhancer,Intergenic,820243,yes
Genic,Genic,1413794,yes
Genic,Dixon_TAD,288134,yes
Genic,Intergenic,2775959,yes
Dixon_TAD,Dixon_TAD,15300,yes
Dixon_TAD,Intergenic,296772,yes
Intergenic,Intergenic,1467096,yes
Active,Active,407678,yes
Active,Inactive,321357,yes
Active,Enhancer,420948,yes
Active,Genic,1085271,yes
Active,Dixon_TAD,156871,yes
Active,Intergenic,1461198,yes
Inactive,Inactive,69629,yes
Inactive,Enhancer,180236,yes
Inactive,Genic,538889,yes
Inactive,Dixon_TAD,65852,yes
Inactive,Intergenic,621563,yes
Enhancer,Enhancer,121788,yes
Enhancer,Genic,779080,yes
Enhancer,Dixon_TAD,88732,yes
Enhancer,Intergenic,825669,yes
Genic,Genic,1385791,yes
Genic,Dixon_TAD,292395,yes
Genic,Intergenic,2774702,yes
Dixon_TAD,Dixon_TAD,16116,yes
Dixon_TAD,Intergenic,302910,yes
Intergenic,Intergenic,1492673,yes
Active,Active,397774,yes
Active,Inactive,318907,yes
Active,Enhancer,411898,yes
Active,Genic,1086686,yes
Active,Dixon_TAD,152620,yes
Active,Intergenic,1487427,yes
Inactive,Inactive,70979,yes
Inactive,Enhancer,176065,yes
Inactive,Genic,542082,yes
Inactive,Dixon_TAD,63987,yes
Inactive,Intergenic,613930,yes
Enhancer,Enhancer,119896,yes
Enhancer,Genic,773508,yes
Enhancer,Dixon_TAD,86420,yes
Enhancer,Intergenic,826123,yes
Genic,Genic,1399593,yes
Genic,Dixon_TAD,287896,yes
Genic,Intergenic,2812924,yes
Dixon_TAD,Dixon_TAD,15597,yes
Dixon_TAD,Intergenic,300997,yes
Intergenic,Intergenic,1460753,yes
Active,Active,395619,yes
Active,Inactive,325037,yes
Active,Enhancer,402401,yes
Active,Genic,1088085,yes
Active,Dixon_TAD,155158,yes
Active,Intergenic,1471181,yes
Inactive,Inactive,69777,yes
Inactive,Enhancer,174932,yes
Inactive,Genic,546852,yes
Inactive,Dixon_TAD,66105,yes
Inactive,Intergenic,621072,yes
Enhancer,Enhancer,114600,yes
Enhancer,Genic,756268,yes
Enhancer,Dixon_TAD,85341,yes
Enhancer,Intergenic,800256,yes
Genic,Genic,1397904,yes
Genic,Dixon_TAD,291633,yes
Genic,Intergenic,2791844,yes
Dixon_TAD,Dixon_TAD,16122,yes
Dixon_TAD,Intergenic,304641,yes
Intergenic,Intergenic,1494443,yes
Active,Active,397862,yes
Active,Inactive,315628,yes
Active,Enhancer,409504,yes
Active,Genic,1068276,yes
Active,Dixon_TAD,150341,yes
Active,Intergenic,1470275,yes
Inactive,Inactive,68155,yes
Inactive,Enhancer,173345,yes
Inactive,Genic,530620,yes
Inactive,Dixon_TAD,63015,yes
Inactive,Intergenic,618216,yes
Enhancer,Enhancer,118609,yes
Enhancer,Genic,758536,yes
Enhancer,Dixon_TAD,84825,yes
Enhancer,Intergenic,819993,yes
Genic,Genic,1366968,yes
Genic,Dixon_TAD,280868,yes
Genic,Intergenic,2778590,yes
Dixon_TAD,Dixon_TAD,15192,yes
Dixon_TAD,Intergenic,299502,yes
Intergenic,Intergenic,1515373,yes
Active,Active,394843,yes
Active,Inactive,310059,yes
Active,Enhancer,411250,yes
Active,Genic,1074249,yes
Active,Dixon_TAD,150674,yes
Active,Intergenic,1479029,yes
Inactive,Inactive,68856,yes
Inactive,Enhancer,173130,yes
Inactive,Genic,526055,yes
Inactive,Dixon_TAD,61959,yes
Inactive,Intergenic,610746,yes
Enhancer,Enhancer,120458,yes
Enhancer,Genic,768334,yes
Enhancer,Dixon_TAD,85209,yes
Enhancer,Intergenic,826773,yes
Genic,Genic,1379136,yes
Genic,Dixon_TAD,281889,yes
Genic,Intergenic,2788821,yes
Dixon_TAD,Dixon_TAD,15133,yes
Dixon_TAD,Intergenic,294711,yes
Intergenic,Intergenic,1485935,yes
Active,Active,395275,yes
Active,Inactive,320261,yes
Active,Enhancer,404677,yes
Active,Genic,1080083,yes
Active,Dixon_TAD,149944,yes
Active,Intergenic,1471031,yes
Inactive,Inactive,71318,yes
Inactive,Enhancer,176921,yes
Inactive,Genic,544470,yes
Inactive,Dixon_TAD,64713,yes
Inactive,Intergenic,624864,yes
Enhancer,Enhancer,115631,yes
