class1,class2,count,permuted
Active,Active,392429,yes
Active,Inactive,305620,yes
Active,Enhancer,402426,yes
Active,Genic,1071201,yes
Active,Dixon_TAD,151918,yes
Active,Intergenic,1465011,yes
Inactive,Inactive,67570,yes
Inactive,Enhancer,170568,yes
Inactive,Genic,525818,yes
Inactive,Dixon_TAD,63021,yes
Inactive,Intergenic,608288,yes
Enhancer,Enhancer,116812,yes
Enhancer,Genic,758975,yes
Enhancer,Dixon_TAD,84858,yes
Enhancer,Intergenic,821086,yes
Genic,Genic,1386973,yes
Genic,Dixon_TAD,287039,yes
Genic,Intergenic,2802058,yes
Dixon_TAD,Dixon_TAD,15629,yes
Dixon_TAD,Intergenic,301595,yes
Intergenic,Intergenic,1504424,yes
Active,Active,426911,yes
Active,Inactive,331721,yes
Active,Enhancer,425098,yes
Active,Genic,1130651,yes
Active,Dixon_TAD,158221,yes
Active,Intergenic,1454732,yes
Inactive,Inactive,73080,yes
Inactive,Enhancer,180899,yes
Inactive,Genic,557564,yes
Inactive,Dixon_TAD,65817,yes
Inactive,Intergenic,630102,yes
Enhancer,Enhancer,119447,yes
Enhancer,Genic,785519,yes
Enhancer,Dixon_TAD,86421,yes
Enhancer,Intergenic,807287,yes
Genic,Genic,1440747,yes
Genic,Dixon_TAD,293419,yes
Genic,Intergenic,2767543,yes
Dixon_TAD,Dixon_TAD,15797,yes
Dixon_TAD,Intergenic,295094,yes
Intergenic,Intergenic,1464683,yes
Active,Active,412481,yes
Active,Inactive,326841,yes
Active,Enhancer,418260,yes
Active,Genic,1107891,yes
Active,Dixon_TAD,153102,yes
Active,Intergenic,1471412,yes
Inactive,Inactive,74451,yes
Inactive,Enhancer,180187,yes
Inactive,Genic,557038,yes
Inactive,Dixon_TAD,65254,yes
Inactive,Intergenic,639157,yes
Enhancer,Enhancer,119158,yes
Enhancer,Genic,778517,yes
Enhancer,Dixon_TAD,85032,yes
Enhancer,Intergenic,811317,yes
Genic,Genic,1424784,yes
Genic,Dixon_TAD,286672,yes
Genic,Intergenic,2794252,yes
Dixon_TAD,Dixon_TAD,15449,yes
Dixon_TAD,Intergenic,293755,yes
Intergenic,Intergenic,1458270,yes
Active,Active,433820,yes
Active,Inactive,312619,yes
Active,Enhancer,434002,yes
Active,Genic,1108966,yes
Active,Dixon_TAD,159443,yes
Active,Intergenic,1471629,yes
Inactive,Inactive,64922,yes
Inactive,Enhancer,171600,yes
Inactive,Genic,523476,yes
Inactive,Dixon_TAD,62037,yes
Inactive,Intergenic,595284,yes
Enhancer,Enhancer,124467,yes
Enhancer,Genic,787381,yes
Enhancer,Dixon_TAD,88254,yes
Enhancer,Intergenic,823628,yes
Genic,Genic,1404990,yes
Genic,Dixon_TAD,291270,yes
Genic,Intergenic,2758850,yes
Dixon_TAD,Dixon_TAD,16054,yes
Dixon_TAD,Intergenic,297510,yes
Intergenic,Intergenic,1491815,yes
Active,Active,404039,yes
Active,Inactive,322201,yes
Active,Enhancer,425741,yes
Active,Genic,1096165,yes
Active,Dixon_TAD,155595,yes
Active,Intergenic,1449976,yes
Inactive,Inactive,70303,yes
Inactive,Enhancer,182047,yes
Inactive,Genic,545673,yes
Inactive,Dixon_TAD,65704,yes
Inactive,Intergenic,621258,yes
Enhancer,Enhancer,127346,yes
Enhancer,Genic,796528,yes
Enhancer,Dixon_TAD,89638,yes
Enhancer,Intergenic,830769,yes
Genic,Genic,1408951,yes
Genic,Dixon_TAD,292297,yes
Genic,Intergenic,2758134,yes
Dixon_TAD,Dixon_TAD,16087,yes
Dixon_TAD,Intergenic,301662,yes
Intergenic,Intergenic,1467920,yes
Active,Active,427150,yes
Active,Inactive,342657,yes
Active,Enhancer,431915,yes
Active,Genic,1146760,yes
Active,Dixon_TAD,162164,yes
