class1,class2,count,permuted
Active,Active,416179,yes
Active,Inactive,318307,yes
Active,Enhancer,431332,yes
Active,Genic,1103540,yes
Active,Dixon_TAD,157269,yes
Active,Intergenic,1466551,yes
Inactive,Inactive,70185,yes
Inactive,Enhancer,179981,yes
Inactive,Genic,540891,yes
Inactive,Dixon_TAD,64456,yes
Inactive,Intergenic,623916,yes
Enhancer,Enhancer,126047,yes
Enhancer,Genic,796195,yes
Enhancer,Dixon_TAD,89247,yes
Enhancer,Intergenic,826864,yes
Genic,Genic,1414231,yes
Genic,Dixon_TAD,292747,yes
Genic,Intergenic,2775702,yes
Dixon_TAD,Dixon_TAD,16100,yes
Dixon_TAD,Intergenic,300017,yes
Intergenic,Intergenic,1442875,yes
Active,Active,410221,yes
Active,Inactive,324991,yes
Active,Enhancer,423458,yes
Active,Genic,1126026,yes
Active,Dixon_TAD,153450,yes
Active,Intergenic,1462643,yes
Inactive,Inactive,71246,yes
Inactive,Enhancer,178721,yes
Inactive,Genic,553900,yes
Inactive,Dixon_TAD,63317,yes
Inactive,Intergenic,610088,yes
Enhancer,Enhancer,122705,yes
Enhancer,Genic,795161,yes
Enhancer,Dixon_TAD,86026,yes
Enhancer,Intergenic,806883,yes
Genic,Genic,1452701,yes
Genic,Dixon_TAD,289962,yes
Genic,Intergenic,2789678,yes
Dixon_TAD,Dixon_TAD,15276,yes
Dixon_TAD,Intergenic,293586,yes
Intergenic,Intergenic,1424747,yes
Active,Active,399476,yes
Active,Inactive,331665,yes
Active,Enhancer,413048,yes
Active,Genic,1105226,yes
Active,Dixon_TAD,155292,yes
Active,Intergenic,1458181,yes
Inactive,Inactive,77773,yes
Inactive,Enhancer,180805,yes
Inactive,Genic,569028,yes
Inactive,Dixon_TAD,67852,yes
Inactive,Intergenic,640536,yes
Enhancer,Enhancer,118128,yes
Enhancer,Genic,778734,yes
Enhancer,Dixon_TAD,86911,yes
Enhancer,Intergenic,798035,yes
Genic,Genic,1435387,yes
Genic,Dixon_TAD,294880,yes
Genic,Intergenic,2804359,yes
Dixon_TAD,Dixon_TAD,16285,yes
Dixon_TAD,Intergenic,301401,yes
Intergenic,Intergenic,1432488,yes
Active,Active,410981,yes
Active,Inactive,330415,yes
Active,Enhancer,421759,yes
Active,Genic,1107591,yes
Active,Dixon_TAD,159939,yes
Active,Intergenic,1473190,yes
Inactive,Inactive,73494,yes
Inactive,Enhancer,182746,yes
Inactive,Genic,550408,yes
Inactive,Dixon_TAD,67168,yes
Inactive,Intergenic,626878,yes
Enhancer,Enhancer,122429,yes
Enhancer,Genic,784002,yes
Enhancer,Dixon_TAD,89669,yes
Enhancer,Intergenic,822193,yes
Genic,Genic,1409568,yes
Genic,Dixon_TAD,295829,yes
Genic,Intergenic,2763402,yes
Dixon_TAD,Dixon_TAD,16586,yes
Dixon_TAD,Intergenic,305719,yes
Intergenic,Intergenic,1473815,yes
Active,Active,397941,yes
Active,Inactive,319858,yes
Active,Enhancer,401555,yes
Active,Genic,1101220,yes
Active,Dixon_TAD,149792,yes
Active,Intergenic,1474255,yes
Inactive,Inactive,71900,yes
Inactive,Enhancer,172660,yes
Inactive,Genic,547839,yes
Inactive,Dixon_TAD,62711,yes
Inactive,Intergenic,620593,yes
Enhancer,Enhancer,113333,yes
Enhancer,Genic,758962,yes
Enhancer,Dixon_TAD,81611,yes
Enhancer,Intergenic,796585,yes
Genic,Genic,1421823,yes
Genic,Dixon_TAD,283578,yes
Genic,Intergenic,2810582,yes
Dixon_TAD,Dixon_TAD,14703,yes
Dixon_TAD,Intergenic,290188,yes
Intergenic,Intergenic,1457747,yes
Active,Active,417492,yes
Active,Inactive,318298,yes
Active,Enhancer,416123,yes
Active,Genic,1106141,yes
Active,Dixon_TAD,154855,yes
Active,Intergenic,1467841,yes
Inactive,Inactive,67439,yes
Inactive,Enhancer,172663,yes
Inactive,Genic,535487,yes
Inactive,Dixon_TAD,62376,yes
Inactive,Intergenic,589789,yes
Enhancer,Enhancer,117921,yes
Enhancer,Genic,770403,yes
Enhancer,Dixon_TAD,85332,yes
Enhancer,Intergenic,808615,yes
Genic,Genic,1413965,yes
Genic,Dixon_TAD,287940,yes
Genic,Intergenic,2760482,yes
Dixon_TAD,Dixon_TAD,15535,yes
Dixon_TAD,Intergenic,300984,yes
Intergenic,Intergenic,1493771,yes
Active,Active,411374,yes
Active,Inactive,319098,yes
Active,Enhancer,428348,yes
Active,Genic,1093969,yes
Active,Dixon_TAD,156294,yes
Active,Intergenic,1458655,yes
Inactive,Inactive,70340,yes
Inactive,Enhancer,178239,yes
Inactive,Genic,535568,yes
Inactive,Dixon_TAD,64913,yes
Inactive,Intergenic,607537,yes
Enhancer,Enhancer,125702,yes
Enhancer,Genic,790136,yes
Enhancer,Dixon_TAD,88916,yes
Enhancer,Intergenic,833483,yes
Genic,Genic,1397534,yes
Genic,Dixon_TAD,291853,yes
Genic,Intergenic,2753732,yes
Dixon_TAD,Dixon_TAD,16177,yes
Dixon_TAD,Intergenic,304638,yes
Intergenic,Intergenic,1489737,yes
Active,Active,406694,yes
Active,Inactive,325391,yes
Active,Enhancer,408989,yes
Active,Genic,1108942,yes
Active,Dixon_TAD,155907,yes
