class1,class2,count,permuted
Active,Active,381679,yes
Active,Inactive,311755,yes
Active,Enhancer,398343,yes
Active,Genic,1046079,yes
Active,Dixon_TAD,150284,yes
Active,Intergenic,1422520,yes
Inactive,Inactive,72974,yes
Inactive,Enhancer,177184,yes
Inactive,Genic,539041,yes
Inactive,Dixon_TAD,65322,yes
Inactive,Intergenic,635504,yes
Enhancer,Enhancer,117138,yes
Enhancer,Genic,754230,yes
Enhancer,Dixon_TAD,85667,yes
Enhancer,Intergenic,817997,yes
Genic,Genic,1361193,yes
Genic,Dixon_TAD,285534,yes
Genic,Intergenic,2751642,yes
Dixon_TAD,Dixon_TAD,15736,yes
Dixon_TAD,Intergenic,305330,yes
Intergenic,Intergenic,1534735,yes
Active,Active,452097,yes
Active,Inactive,338734,yes
Active,Enhancer,456936,yes
Active,Genic,1179588,yes
Active,Dixon_TAD,161396,yes
Active,Intergenic,1456196,yes
Inactive,Inactive,75659,yes
Inactive,Enhancer,184684,yes
Inactive,Genic,570703,yes
Inactive,Dixon_TAD,65195,yes
Inactive,Intergenic,619258,yes
Enhancer,Enhancer,129618,yes
Enhancer,Genic,830637,yes
Enhancer,Dixon_TAD,88856,yes
Enhancer,Intergenic,802331,yes
Genic,Genic,1501058,yes
Genic,Dixon_TAD,296554,yes
Genic,Intergenic,2747224,yes
Dixon_TAD,Dixon_TAD,15735,yes
Dixon_TAD,Intergenic,288758,yes
Intergenic,Intergenic,1406117,yes
Active,Active,394467,yes
Active,Inactive,321473,yes
Active,Enhancer,406957,yes
Active,Genic,1075417,yes
Active,Dixon_TAD,151651,yes
Active,Intergenic,1451684,yes
Inactive,Inactive,72377,yes
Inactive,Enhancer,180033,yes
Inactive,Genic,546650,yes
Inactive,Dixon_TAD,63571,yes
Inactive,Intergenic,628410,yes
Enhancer,Enhancer,118133,yes
Enhancer,Genic,766440,yes
Enhancer,Dixon_TAD,84954,yes
Enhancer,Intergenic,813198,yes
Genic,Genic,1389001,yes
Genic,Dixon_TAD,284189,yes
Genic,Intergenic,2775060,yes
Dixon_TAD,Dixon_TAD,15267,yes
Dixon_TAD,Intergenic,297158,yes
Intergenic,Intergenic,1488314,yes
Active,Active,409459,yes
Active,Inactive,335707,yes
Active,Enhancer,418988,yes
Active,Genic,1107126,yes
Active,Dixon_TAD,155825,yes
Active,Intergenic,1461256,yes
Inactive,Inactive,78031,yes
Inactive,Enhancer,186913,yes
Inactive,Genic,568732,yes
Inactive,Dixon_TAD,68354,yes
Inactive,Intergenic,640402,yes
Enhancer,Enhancer,121149,yes
Enhancer,Genic,783751,yes
Enhancer,Dixon_TAD,87607,yes
Enhancer,Intergenic,819972,yes
Genic,Genic,1423666,yes
Genic,Dixon_TAD,293542,yes
Genic,Intergenic,2767695,yes
Dixon_TAD,Dixon_TAD,15920,yes
Dixon_TAD,Intergenic,301023,yes
Intergenic,Intergenic,1469708,yes
Active,Active,410209,yes
Active,Inactive,326388,yes
Active,Enhancer,418876,yes
Active,Genic,1102080,yes
Active,Dixon_TAD,153891,yes
Active,Intergenic,1466882,yes
Inactive,Inactive,74872,yes
Inactive,Enhancer,182954,yes
Inactive,Genic,557829,yes
Inactive,Dixon_TAD,65226,yes
Inactive,Intergenic,638236,yes
Enhancer,Enhancer,120801,yes
Enhancer,Genic,782186,yes
Enhancer,Dixon_TAD,86098,yes
Enhancer,Intergenic,817389,yes
Genic,Genic,1418428,yes
Genic,Dixon_TAD,287544,yes
Genic,Intergenic,2785114,yes
Dixon_TAD,Dixon_TAD,15376,yes
Dixon_TAD,Intergenic,292685,yes
Intergenic,Intergenic,1457545,yes
Active,Active,412194,yes
Active,Inactive,342277,yes
Active,Enhancer,414358,yes
Active,Genic,1133982,yes
Active,Dixon_TAD,156647,yes
Active,Intergenic,1492031,yes
Inactive,Inactive,72708,yes
Inactive,Enhancer,182691,yes
Inactive,Genic,567987,yes
Inactive,Dixon_TAD,66514,yes
Inactive,Intergenic,621722,yes
Enhancer,Enhancer,116915,yes
Enhancer,Genic,779058,yes
Enhancer,Dixon_TAD,84958,yes
Enhancer,Intergenic,808050,yes
Genic,Genic,1450125,yes
Genic,Dixon_TAD,293763,yes
Genic,Intergenic,2824127,yes
Dixon_TAD,Dixon_TAD,15408,yes
Dixon_TAD,Intergenic,297099,yes
Intergenic,Intergenic,1436061,yes
Active,Active,405116,yes
Active,Inactive,337055,yes
Active,Enhancer,409146,yes
Active,Genic,1111561,yes
Active,Dixon_TAD,156767,yes
Active,Intergenic,1479431,yes
Inactive,Inactive,74414,yes
Inactive,Enhancer,179052,yes
Inactive,Genic,564936,yes
Inactive,Dixon_TAD,67303,yes
Inactive,Intergenic,627369,yes
Enhancer,Enhancer,115205,yes
Enhancer,Genic,766601,yes
Enhancer,Dixon_TAD,85377,yes
Enhancer,Intergenic,801306,yes
Genic,Genic,1425227,yes
