class1,class2,count,permuted
Active,Active,421643,yes
Active,Inactive,332822,yes
Active,Enhancer,420451,yes
Active,Genic,1120392,yes
Active,Dixon_TAD,157606,yes
Active,Intergenic,1492548,yes
Inactive,Inactive,74390,yes
Inactive,Enhancer,179233,yes
Inactive,Genic,554713,yes
Inactive,Dixon_TAD,66657,yes
Inactive,Intergenic,626290,yes
Enhancer,Enhancer,118642,yes
Enhancer,Genic,775802,yes
Enhancer,Dixon_TAD,86255,yes
Enhancer,Intergenic,808770,yes
Genic,Genic,1425674,yes
Genic,Dixon_TAD,292707,yes
Genic,Intergenic,2800280,yes
Dixon_TAD,Dixon_TAD,15818,yes
Dixon_TAD,Intergenic,299280,yes
Intergenic,Intergenic,1457721,yes
Active,Active,377526,yes
Active,Inactive,310154,yes
Active,Enhancer,392627,yes
Active,Genic,1044430,yes
Active,Dixon_TAD,144584,yes
Active,Intergenic,1431350,yes
Inactive,Inactive,72745,yes
Inactive,Enhancer,174178,yes
Inactive,Genic,537830,yes
Inactive,Dixon_TAD,62987,yes
Inactive,Intergenic,633432,yes
Enhancer,Enhancer,114150,yes
Enhancer,Genic,744271,yes
Enhancer,Dixon_TAD,81580,yes
Enhancer,Intergenic,804075,yes
Genic,Genic,1360646,yes
Genic,Dixon_TAD,277316,yes
Genic,Intergenic,2773501,yes
Dixon_TAD,Dixon_TAD,15062,yes
Dixon_TAD,Intergenic,295122,yes
Intergenic,Intergenic,1544088,yes
Active,Active,410570,yes
Active,Inactive,318837,yes
Active,Enhancer,419089,yes
Active,Genic,1101843,yes
Active,Dixon_TAD,156589,yes
Active,Intergenic,1464471,yes
Inactive,Inactive,69235,yes
Inactive,Enhancer,174620,yes
Inactive,Genic,538702,yes
Inactive,Dixon_TAD,65034,yes
Inactive,Intergenic,608985,yes
Enhancer,Enhancer,119163,yes
Enhancer,Genic,776490,yes
Enhancer,Dixon_TAD,87490,yes
Enhancer,Intergenic,813843,yes
Genic,Genic,1409615,yes
Genic,Dixon_TAD,292412,yes
Genic,Intergenic,2772376,yes
Dixon_TAD,Dixon_TAD,15897,yes
Dixon_TAD,Intergenic,302580,yes
Intergenic,Intergenic,1477831,yes
Active,Active,403694,yes
Active,Inactive,330520,yes
Active,Enhancer,412731,yes
Active,Genic,1102896,yes
Active,Dixon_TAD,153175,yes
Active,Intergenic,1494882,yes
Inactive,Inactive,71773,yes
Inactive,Enhancer,177907,yes
Inactive,Genic,552580,yes
Inactive,Dixon_TAD,65106,yes
Inactive,Intergenic,623512,yes
Enhancer,Enhancer,117992,yes
Enhancer,Genic,770076,yes
Enhancer,Dixon_TAD,84236,yes
Enhancer,Intergenic,819246,yes
Genic,Genic,1411744,yes
Genic,Dixon_TAD,287228,yes
Genic,Intergenic,2808466,yes
Dixon_TAD,Dixon_TAD,15139,yes
Dixon_TAD,Intergenic,296942,yes
Intergenic,Intergenic,1454691,yes
Active,Active,389730,yes
Active,Inactive,321839,yes
Active,Enhancer,397362,yes
Active,Genic,1060430,yes
Active,Dixon_TAD,148189,yes
Active,Intergenic,1482181,yes
Inactive,Inactive,74391,yes
Inactive,Enhancer,175460,yes
Inactive,Genic,544158,yes
Inactive,Dixon_TAD,64026,yes
Inactive,Intergenic,641710,yes
Enhancer,Enhancer,114483,yes
Enhancer,Genic,745146,yes
Enhancer,Dixon_TAD,82584,yes
Enhancer,Intergenic,814591,yes
