class1,class2,count,permuted
Active,Active,413610,yes
Active,Inactive,320998,yes
Active,Enhancer,423547,yes
Active,Genic,1124923,yes
Active,Dixon_TAD,152651,yes
Active,Intergenic,1480849,yes
Inactive,Inactive,68979,yes
Inactive,Enhancer,177150,yes
Inactive,Genic,545189,yes
Inactive,Dixon_TAD,61974,yes
Inactive,Intergenic,597484,yes
Enhancer,Enhancer,121401,yes
Enhancer,Genic,792088,yes
Enhancer,Dixon_TAD,85186,yes
Enhancer,Intergenic,811091,yes
Genic,Genic,1444608,yes
Genic,Dixon_TAD,287786,yes
Genic,Intergenic,2798262,yes
Dixon_TAD,Dixon_TAD,15198,yes
Dixon_TAD,Intergenic,291326,yes
Intergenic,Intergenic,1434871,yes
Active,Active,416772,yes
Active,Inactive,326027,yes
Active,Enhancer,423235,yes
Active,Genic,1108718,yes
Active,Dixon_TAD,155718,yes
Active,Intergenic,1488943,yes
Inactive,Inactive,67376,yes
Inactive,Enhancer,175352,yes
Inactive,Genic,539554,yes
Inactive,Dixon_TAD,63174,yes
Inactive,Intergenic,605278,yes
Enhancer,Enhancer,120445,yes
Enhancer,Genic,777526,yes
Enhancer,Dixon_TAD,86114,yes
Enhancer,Intergenic,825088,yes
Genic,Genic,1407389,yes
Genic,Dixon_TAD,286589,yes
Genic,Intergenic,2787231,yes
Dixon_TAD,Dixon_TAD,15334,yes
Dixon_TAD,Intergenic,294999,yes
Intergenic,Intergenic,1475422,yes
Active,Active,420234,yes
Active,Inactive,333484,yes
Active,Enhancer,424424,yes
Active,Genic,1122217,yes
Active,Dixon_TAD,161195,yes
Active,Intergenic,1501959,yes
Inactive,Inactive,70909,yes
Inactive,Enhancer,181178,yes
Inactive,Genic,554587,yes
Inactive,Dixon_TAD,66921,yes
Inactive,Intergenic,613111,yes
Enhancer,Enhancer,120960,yes
Enhancer,Genic,783485,yes
Enhancer,Dixon_TAD,88648,yes
Enhancer,Intergenic,816157,yes
Genic,Genic,1427814,yes
Genic,Dixon_TAD,298524,yes
Genic,Intergenic,2789441,yes
Dixon_TAD,Dixon_TAD,16554,yes
Dixon_TAD,Intergenic,305021,yes
Intergenic,Intergenic,1439183,yes
Active,Active,424633,yes
Active,Inactive,327765,yes
Active,Enhancer,431119,yes
Active,Genic,1136881,yes
Active,Dixon_TAD,158701,yes
Active,Intergenic,1485150,yes
Inactive,Inactive,71433,yes
Inactive,Enhancer,178305,yes
Inactive,Genic,554958,yes
Inactive,Dixon_TAD,64811,yes
Inactive,Intergenic,603820,yes
Enhancer,Enhancer,123082,yes
Enhancer,Genic,797226,yes
Enhancer,Dixon_TAD,87123,yes
Enhancer,Intergenic,810423,yes
Genic,Genic,1453984,yes
Genic,Dixon_TAD,294172,yes
Genic,Intergenic,2797192,yes
Dixon_TAD,Dixon_TAD,15769,yes
Dixon_TAD,Intergenic,294683,yes
Intergenic,Intergenic,1430254,yes
Active,Active,415689,yes
Active,Inactive,326420,yes
Active,Enhancer,422751,yes
Active,Genic,1121955,yes
Active,Dixon_TAD,153674,yes
Active,Intergenic,1477938,yes
Inactive,Inactive,70065,yes
Inactive,Enhancer,177226,yes
Inactive,Genic,550527,yes
Inactive,Dixon_TAD,62563,yes
Inactive,Intergenic,604693,yes
Enhancer,Enhancer,120011,yes
Enhancer,Genic,783574,yes
Enhancer,Dixon_TAD,84262,yes
Enhancer,Intergenic,805963,yes
Genic,Genic,1433779,yes
Genic,Dixon_TAD,285623,yes
Genic,Intergenic,2783195,yes
Dixon_TAD,Dixon_TAD,14925,yes
Dixon_TAD,Intergenic,289676,yes
Intergenic,Intergenic,1448867,yes
Active,Active,381255,yes
Active,Inactive,328359,yes
Active,Enhancer,402989,yes
Active,Genic,1074343,yes
Active,Dixon_TAD,149441,yes
Active,Intergenic,1407373,yes
Inactive,Inactive,79268,yes
Inactive,Enhancer,187473,yes
Inactive,Genic,569091,yes
Inactive,Dixon_TAD,69192,yes
Inactive,Intergenic,655772,yes
Enhancer,Enhancer,119270,yes
Enhancer,Genic,776542,yes
Enhancer,Dixon_TAD,86769,yes
Enhancer,Intergenic,807869,yes
Genic,Genic,1405887,yes
Genic,Dixon_TAD,290568,yes
Genic,Intergenic,2763174,yes
Dixon_TAD,Dixon_TAD,15647,yes
Dixon_TAD,Intergenic,299077,yes
Intergenic,Intergenic,1493438,yes
Active,Active,392454,yes
Active,Inactive,321078,yes
Active,Enhancer,409085,yes
Active,Genic,1080144,yes
Active,Dixon_TAD,153663,yes
Active,Intergenic,1472340,yes
Inactive,Inactive,73245,yes
Inactive,Enhancer,179105,yes
Inactive,Genic,546682,yes
Inactive,Dixon_TAD,65032,yes
Inactive,Intergenic,624762,yes
Enhancer,Enhancer,118242,yes
Enhancer,Genic,768837,yes
Enhancer,Dixon_TAD,86028,yes
Enhancer,Intergenic,815414,yes
Genic,Genic,1391188,yes
Genic,Dixon_TAD,288483,yes
Genic,Intergenic,2789533,yes
Dixon_TAD,Dixon_TAD,15764,yes
Dixon_TAD,Intergenic,300121,yes
Intergenic,Intergenic,1471872,yes
Active,Active,419483,yes
Active,Inactive,321480,yes
Active,Enhancer,427462,yes
Active,Genic,1133377,yes
Active,Dixon_TAD,159504,yes
Active,Intergenic,1471324,yes
Inactive,Inactive,67980,yes
Inactive,Enhancer,176928,yes
Inactive,Genic,545568,yes
Inactive,Dixon_TAD,65306,yes
Inactive,Intergenic,600924,yes
Enhancer,Enhancer,121825,yes
Enhancer,Genic,796542,yes
Enhancer,Dixon_TAD,88298,yes
Enhancer,Intergenic,807022,yes
Genic,Genic,1453997,yes
Genic,Dixon_TAD,299265,yes
Genic,Intergenic,2788343,yes
Dixon_TAD,Dixon_TAD,16018,yes
Dixon_TAD,Intergenic,301855,yes
Intergenic,Intergenic,1415789,yes
Active,Active,663469,yes
Active,Inactive,382047,yes
Active,Enhancer,622558,yes
Active,Genic,1540423,yes
Active,Dixon_TAD,217878,yes
Active,Intergenic,1508375,yes
Inactive,Inactive,68176,yes
Inactive,Enhancer,196032,yes
Inactive,Genic,603198,yes
Inactive,Dixon_TAD,68164,yes
Inactive,Intergenic,507604,yes
Enhancer,Enhancer,166437,yes
Enhancer,Genic,1044511,yes
Enhancer,Dixon_TAD,113300,yes
Enhancer,Intergenic,798213,yes
Genic,Genic,1861680,yes
Genic,Dixon_TAD,368785,yes
Genic,Intergenic,2645441,yes
Dixon_TAD,Dixon_TAD,19209,yes
Dixon_TAD,Intergenic,278980,yes
Intergenic,Intergenic,1103172,yes
Active,Active,393919,yes
Active,Inactive,324196,yes
Active,Enhancer,400621,yes
Active,Genic,1085336,yes
Active,Dixon_TAD,148838,yes
Active,Intergenic,1477460,yes
Inactive,Inactive,73049,yes
Inactive,Enhancer,177081,yes
Inactive,Genic,553164,yes
Inactive,Dixon_TAD,64309,yes
Inactive,Intergenic,635896,yes
Enhancer,Enhancer,113205,yes
Enhancer,Genic,755785,yes
Enhancer,Dixon_TAD,81970,yes
Enhancer,Intergenic,801030,yes
Genic,Genic,1402132,yes
Genic,Dixon_TAD,282042,yes
Genic,Intergenic,2813383,yes
Dixon_TAD,Dixon_TAD,14777,yes
Dixon_TAD,Intergenic,293473,yes
Intergenic,Intergenic,1479087,yes
Active,Active,396413,yes
Active,Inactive,322808,yes
Active,Enhancer,409198,yes
Active,Genic,1083396,yes
Active,Dixon_TAD,155222,yes
Active,Intergenic,1462338,yes
Inactive,Inactive,70649,yes
Inactive,Enhancer,177169,yes
Inactive,Genic,544925,yes
Inactive,Dixon_TAD,66955,yes
Inactive,Intergenic,626670,yes
Enhancer,Enhancer,116989,yes
Enhancer,Genic,765731,yes
Enhancer,Dixon_TAD,86445,yes
Enhancer,Intergenic,805892,yes
Genic,Genic,1390995,yes
Genic,Dixon_TAD,292218,yes
Genic,Intergenic,2782976,yes
Dixon_TAD,Dixon_TAD,16201,yes
Dixon_TAD,Intergenic,307504,yes
Intergenic,Intergenic,1480833,yes
Active,Active,399388,yes
Active,Inactive,309899,yes
Active,Enhancer,420854,yes
Active,Genic,1078801,yes
Active,Dixon_TAD,153932,yes
Active,Intergenic,1474210,yes
Inactive,Inactive,68829,yes
Inactive,Enhancer,172762,yes
Inactive,Genic,521834,yes
Inactive,Dixon_TAD,63486,yes
Inactive,Intergenic,610068,yes
Enhancer,Enhancer,123896,yes
Enhancer,Genic,777992,yes
Enhancer,Dixon_TAD,87383,yes
Enhancer,Intergenic,830252,yes
Genic,Genic,1378211,yes
Genic,Dixon_TAD,286744,yes
Genic,Intergenic,2777114,yes
Dixon_TAD,Dixon_TAD,15827,yes
Dixon_TAD,Intergenic,303365,yes
Intergenic,Intergenic,1499588,yes
Active,Active,393517,yes
Active,Inactive,321108,yes
Active,Enhancer,406588,yes
Active,Genic,1077034,yes
Active,Dixon_TAD,151810,yes
Active,Intergenic,1484933,yes
Inactive,Inactive,72683,yes
Inactive,Enhancer,178576,yes
Inactive,Genic,543581,yes
Inactive,Dixon_TAD,64280,yes
Inactive,Intergenic,628774,yes
Enhancer,Enhancer,117882,yes
Enhancer,Genic,763752,yes
Enhancer,Dixon_TAD,84266,yes
Enhancer,Intergenic,818093,yes
Genic,Genic,1384800,yes
Genic,Dixon_TAD,285071,yes
Genic,Intergenic,2801792,yes
Dixon_TAD,Dixon_TAD,15596,yes
Dixon_TAD,Intergenic,301360,yes
Intergenic,Intergenic,1487359,yes
Active,Active,414177,yes
Active,Inactive,331345,yes
Active,Enhancer,423347,yes
Active,Genic,1118494,yes
Active,Dixon_TAD,155171,yes
Active,Intergenic,1460138,yes
Inactive,Inactive,72851,yes
Inactive,Enhancer,185063,yes
Inactive,Genic,561487,yes
Inactive,Dixon_TAD,64973,yes
Inactive,Intergenic,620978,yes
Enhancer,Enhancer,122990,yes
Enhancer,Genic,793487,yes
Enhancer,Dixon_TAD,87236,yes
Enhancer,Intergenic,821813,yes
Genic,Genic,1438743,yes
Genic,Dixon_TAD,291064,yes
Genic,Intergenic,2773418,yes
Dixon_TAD,Dixon_TAD,15834,yes
Dixon_TAD,Intergenic,298331,yes
Intergenic,Intergenic,1452332,yes
Active,Active,399040,yes
Active,Inactive,322949,yes
Active,Enhancer,403741,yes
Active,Genic,1081157,yes
Active,Dixon_TAD,153360,yes
Active,Intergenic,1482458,yes
Inactive,Inactive,70329,yes
Inactive,Enhancer,173401,yes
Inactive,Genic,539928,yes
Inactive,Dixon_TAD,63923,yes
Inactive,Intergenic,617596,yes
Enhancer,Enhancer,113764,yes
Enhancer,Genic,750581,yes
Enhancer,Dixon_TAD,83867,yes
Enhancer,Intergenic,804264,yes
Genic,Genic,1381899,yes
Genic,Dixon_TAD,284871,yes
Genic,Intergenic,2779311,yes
Dixon_TAD,Dixon_TAD,15331,yes
Dixon_TAD,Intergenic,299114,yes
Intergenic,Intergenic,1511900,yes
Active,Active,404733,yes
Active,Inactive,310835,yes
Active,Enhancer,419033,yes
Active,Genic,1087770,yes
Active,Dixon_TAD,154442,yes
Active,Intergenic,1484742,yes
Inactive,Inactive,64860,yes
Inactive,Enhancer,174520,yes
Inactive,Genic,525033,yes
Inactive,Dixon_TAD,62922,yes
Inactive,Intergenic,599743,yes
Enhancer,Enhancer,122101,yes
Enhancer,Genic,779909,yes
Enhancer,Dixon_TAD,87976,yes
Enhancer,Intergenic,835870,yes
Genic,Genic,1390876,yes
Genic,Dixon_TAD,289006,yes
Genic,Intergenic,2787770,yes
Dixon_TAD,Dixon_TAD,15771,yes
Dixon_TAD,Intergenic,303172,yes
Intergenic,Intergenic,1471684,yes
Active,Active,399252,yes
Active,Inactive,306467,yes
Active,Enhancer,406404,yes
Active,Genic,1057016,yes
Active,Dixon_TAD,151132,yes
Active,Intergenic,1502198,yes
Inactive,Inactive,63967,yes
Inactive,Enhancer,166489,yes
Inactive,Genic,507794,yes
Inactive,Dixon_TAD,61025,yes
Inactive,Intergenic,600655,yes
Enhancer,Enhancer,116137,yes
Enhancer,Genic,744215,yes
Enhancer,Dixon_TAD,82925,yes
Enhancer,Intergenic,824167,yes
Genic,Genic,1338846,yes
Genic,Dixon_TAD,278353,yes
Genic,Intergenic,2788129,yes
Dixon_TAD,Dixon_TAD,15152,yes
Dixon_TAD,Intergenic,304035,yes
Intergenic,Intergenic,1539010,yes
Active,Active,411416,yes
Active,Inactive,325080,yes
Active,Enhancer,411934,yes
Active,Genic,1087353,yes
Active,Dixon_TAD,152223,yes
Active,Intergenic,1504531,yes
Inactive,Inactive,70171,yes
Inactive,Enhancer,174123,yes
Inactive,Genic,538156,yes
Inactive,Dixon_TAD,62141,yes
Inactive,Intergenic,621002,yes
Enhancer,Enhancer,115724,yes
Enhancer,Genic,755367,yes
Enhancer,Dixon_TAD,82602,yes
Enhancer,Intergenic,811819,yes
Genic,Genic,1379360,yes
Genic,Dixon_TAD,278612,yes
Genic,Intergenic,2794297,yes
Dixon_TAD,Dixon_TAD,14621,yes
Dixon_TAD,Intergenic,290935,yes
Intergenic,Intergenic,1499691,yes
Active,Active,397475,yes
Active,Inactive,333209,yes
Active,Enhancer,412712,yes
Active,Genic,1089018,yes
Active,Dixon_TAD,154317,yes
Active,Intergenic,1461434,yes
Inactive,Inactive,74894,yes
Inactive,Enhancer,182806,yes
Inactive,Genic,557982,yes
Inactive,Dixon_TAD,66963,yes
Inactive,Intergenic,639586,yes
Enhancer,Enhancer,119767,yes
Enhancer,Genic,774174,yes
Enhancer,Dixon_TAD,86693,yes
Enhancer,Intergenic,811071,yes
Genic,Genic,1398581,yes
Genic,Dixon_TAD,291156,yes
Genic,Intergenic,2784832,yes
Dixon_TAD,Dixon_TAD,15862,yes
Dixon_TAD,Intergenic,300740,yes
