class1,class2,count,permuted
Active,Active,414322,yes
Active,Inactive,323217,yes
Active,Enhancer,420278,yes
Active,Genic,1108749,yes
Active,Dixon_TAD,152365,yes
Active,Intergenic,1481913,yes
Inactive,Inactive,73035,yes
Inactive,Enhancer,177365,yes
Inactive,Genic,545932,yes
Inactive,Dixon_TAD,62650,yes
Inactive,Intergenic,615911,yes
Enhancer,Enhancer,120161,yes
Enhancer,Genic,779919,yes
Enhancer,Dixon_TAD,83783,yes
Enhancer,Intergenic,810366,yes
Genic,Genic,1418132,yes
Genic,Dixon_TAD,282814,yes
Genic,Intergenic,2787827,yes
Dixon_TAD,Dixon_TAD,14758,yes
Dixon_TAD,Intergenic,289403,yes
Intergenic,Intergenic,1470423,yes
Active,Active,421194,yes
Active,Inactive,334731,yes
Active,Enhancer,432941,yes
Active,Genic,1131637,yes
Active,Dixon_TAD,157244,yes
Active,Intergenic,1484258,yes
Inactive,Inactive,70917,yes
Inactive,Enhancer,183247,yes
Inactive,Genic,560727,yes
Inactive,Dixon_TAD,65093,yes
Inactive,Intergenic,612651,yes
Enhancer,Enhancer,125667,yes
Enhancer,Genic,800677,yes
Enhancer,Dixon_TAD,87845,yes
Enhancer,Intergenic,816298,yes
Genic,Genic,1445427,yes
Genic,Dixon_TAD,291340,yes
Genic,Intergenic,2780177,yes
Dixon_TAD,Dixon_TAD,15492,yes
Dixon_TAD,Intergenic,294990,yes
Intergenic,Intergenic,1440139,yes
Active,Active,384950,yes
Active,Inactive,316901,yes
Active,Enhancer,401884,yes
Active,Genic,1063423,yes
Active,Dixon_TAD,151920,yes
Active,Intergenic,1454145,yes
Inactive,Inactive,69436,yes
Inactive,Enhancer,177443,yes
Inactive,Genic,539080,yes
Inactive,Dixon_TAD,64705,yes
Inactive,Intergenic,616778,yes
Enhancer,Enhancer,117722,yes
Enhancer,Genic,759754,yes
Enhancer,Dixon_TAD,85681,yes
Enhancer,Intergenic,825901,yes
Genic,Genic,1374044,yes
Genic,Dixon_TAD,287171,yes
Genic,Intergenic,2777430,yes
Dixon_TAD,Dixon_TAD,15724,yes
Dixon_TAD,Intergenic,302239,yes
Intergenic,Intergenic,1511356,yes
Active,Active,374731,yes
Active,Inactive,314634,yes
Active,Enhancer,394835,yes
Active,Genic,1054331,yes
Active,Dixon_TAD,148123,yes
Active,Intergenic,1449533,yes
Inactive,Inactive,70779,yes
Inactive,Enhancer,175088,yes
Inactive,Genic,539673,yes
Inactive,Dixon_TAD,64893,yes
Inactive,Intergenic,626138,yes
Enhancer,Enhancer,115937,yes
Enhancer,Genic,754136,yes
Enhancer,Dixon_TAD,84889,yes
Enhancer,Intergenic,816905,yes
Genic,Genic,1370028,yes
Genic,Dixon_TAD,283962,yes
Genic,Intergenic,2789765,yes
Dixon_TAD,Dixon_TAD,15804,yes
Dixon_TAD,Intergenic,304505,yes
Intergenic,Intergenic,1496664,yes
Active,Active,405552,yes
Active,Inactive,345452,yes
Active,Enhancer,410059,yes
Active,Genic,1107643,yes
Active,Dixon_TAD,160221,yes
Active,Intergenic,1455879,yes
Inactive,Inactive,81517,yes
Inactive,Enhancer,190464,yes
Inactive,Genic,586925,yes
Inactive,Dixon_TAD,72614,yes
Inactive,Intergenic,666165,yes
Enhancer,Enhancer,116417,yes
Enhancer,Genic,773918,yes
Enhancer,Dixon_TAD,88376,yes
Enhancer,Intergenic,805638,yes
Genic,Genic,1430578,yes
Genic,Dixon_TAD,303346,yes
Genic,Intergenic,2802513,yes
Dixon_TAD,Dixon_TAD,16671,yes
Dixon_TAD,Intergenic,306954,yes
Intergenic,Intergenic,1440179,yes
Active,Active,400680,yes
Active,Inactive,305784,yes
Active,Enhancer,410242,yes
Active,Genic,1071947,yes
Active,Dixon_TAD,152318,yes
Active,Intergenic,1465619,yes
Inactive,Inactive,66530,yes
Inactive,Enhancer,170530,yes
Inactive,Genic,521493,yes
Inactive,Dixon_TAD,61544,yes
Inactive,Intergenic,606117,yes
Enhancer,Enhancer,119507,yes
Enhancer,Genic,763446,yes
Enhancer,Dixon_TAD,85276,yes
Enhancer,Intergenic,827027,yes
Genic,Genic,1374359,yes
Genic,Dixon_TAD,283586,yes
Genic,Intergenic,2777611,yes
Dixon_TAD,Dixon_TAD,15482,yes
Dixon_TAD,Intergenic,300719,yes
Intergenic,Intergenic,1533784,yes
Active,Active,403970,yes
Active,Inactive,338442,yes
Active,Enhancer,414865,yes
Active,Genic,1101395,yes
Active,Dixon_TAD,148478,yes
Active,Intergenic,1474908,yes
Inactive,Inactive,77271,yes
Inactive,Enhancer,186713,yes
Inactive,Genic,572451,yes
Inactive,Dixon_TAD,65068,yes
Inactive,Intergenic,639735,yes
Enhancer,Enhancer,119059,yes
Enhancer,Genic,779041,yes
Enhancer,Dixon_TAD,82934,yes
Enhancer,Intergenic,815334,yes
Genic,Genic,1418460,yes
Genic,Dixon_TAD,280202,yes
Genic,Intergenic,2796119,yes
Dixon_TAD,Dixon_TAD,14628,yes
Dixon_TAD,Intergenic,289014,yes
Intergenic,Intergenic,1452225,yes
Active,Active,412741,yes
Active,Inactive,333983,yes
Active,Enhancer,416365,yes
Active,Genic,1114036,yes
Active,Dixon_TAD,156162,yes
Active,Intergenic,1459676,yes
Inactive,Inactive,74074,yes
Inactive,Enhancer,180404,yes
Inactive,Genic,558810,yes
Inactive,Dixon_TAD,66381,yes
Inactive,Intergenic,623648,yes
Enhancer,Enhancer,117607,yes
Enhancer,Genic,774713,yes
Enhancer,Dixon_TAD,86183,yes
Enhancer,Intergenic,801724,yes
Genic,Genic,1424436,yes
Genic,Dixon_TAD,291825,yes
Genic,Intergenic,2777695,yes
Dixon_TAD,Dixon_TAD,15839,yes
Dixon_TAD,Intergenic,296064,yes
Intergenic,Intergenic,1472866,yes
Active,Active,415691,yes
Active,Inactive,320016,yes
Active,Enhancer,417362,yes
Active,Genic,1107733,yes
Active,Dixon_TAD,154442,yes
Active,Intergenic,1475444,yes
Inactive,Inactive,71967,yes
Inactive,Enhancer,174741,yes
Inactive,Genic,540785,yes
Inactive,Dixon_TAD,64484,yes
Inactive,Intergenic,623249,yes
Enhancer,Enhancer,117532,yes
Enhancer,Genic,770743,yes
Enhancer,Dixon_TAD,84857,yes
Enhancer,Intergenic,806109,yes
