class1,class2,count,permuted
Active,Active,419365,yes
Active,Inactive,326318,yes
Active,Enhancer,421002,yes
Active,Genic,1134334,yes
Active,Dixon_TAD,159886,yes
Active,Intergenic,1463910,yes
Inactive,Inactive,70590,yes
Inactive,Enhancer,176815,yes
Inactive,Genic,552949,yes
Inactive,Dixon_TAD,66563,yes
Inactive,Intergenic,612250,yes
Enhancer,Enhancer,119727,yes
Enhancer,Genic,787075,yes
Enhancer,Dixon_TAD,87853,yes
Enhancer,Intergenic,808134,yes
Genic,Genic,1456714,yes
Genic,Dixon_TAD,301191,yes
Genic,Intergenic,2788200,yes
Dixon_TAD,Dixon_TAD,16383,yes
Dixon_TAD,Intergenic,303015,yes
Intergenic,Intergenic,1440701,yes
Active,Active,412048,yes
Active,Inactive,335413,yes
Active,Enhancer,416594,yes
Active,Genic,1114885,yes
Active,Dixon_TAD,158793,yes
Active,Intergenic,1479606,yes
Inactive,Inactive,73293,yes
Inactive,Enhancer,180918,yes
Inactive,Genic,562600,yes
Inactive,Dixon_TAD,65801,yes
Inactive,Intergenic,616643,yes
Enhancer,Enhancer,119668,yes
Enhancer,Genic,778877,yes
Enhancer,Dixon_TAD,87511,yes
Enhancer,Intergenic,814532,yes
Genic,Genic,1429527,yes
Genic,Dixon_TAD,295607,yes
Genic,Intergenic,2795360,yes
Dixon_TAD,Dixon_TAD,16098,yes
Dixon_TAD,Intergenic,301505,yes
Intergenic,Intergenic,1442490,yes
Active,Active,407483,yes
Active,Inactive,325331,yes
Active,Enhancer,414236,yes
Active,Genic,1111540,yes
Active,Dixon_TAD,155833,yes
Active,Intergenic,1470127,yes
Inactive,Inactive,73152,yes
Inactive,Enhancer,177853,yes
Inactive,Genic,551650,yes
Inactive,Dixon_TAD,65861,yes
Inactive,Intergenic,625983,yes
Enhancer,Enhancer,118617,yes
Enhancer,Genic,777605,yes
Enhancer,Dixon_TAD,86481,yes
Enhancer,Intergenic,803539,yes
Genic,Genic,1427470,yes
Genic,Dixon_TAD,292992,yes
Genic,Intergenic,2787330,yes
Dixon_TAD,Dixon_TAD,15788,yes
Dixon_TAD,Intergenic,301524,yes
Intergenic,Intergenic,1471078,yes
Active,Active,396627,yes
Active,Inactive,325608,yes
Active,Enhancer,416061,yes
Active,Genic,1093512,yes
Active,Dixon_TAD,152246,yes
Active,Intergenic,1472115,yes
Inactive,Inactive,72228,yes
Inactive,Enhancer,179769,yes
Inactive,Genic,551943,yes
Inactive,Dixon_TAD,64059,yes
Inactive,Intergenic,613148,yes
Enhancer,Enhancer,120687,yes
Enhancer,Genic,780919,yes
Enhancer,Dixon_TAD,86278,yes
Enhancer,Intergenic,819351,yes
Genic,Genic,1411120,yes
Genic,Dixon_TAD,286737,yes
Genic,Intergenic,2797765,yes
Dixon_TAD,Dixon_TAD,15397,yes
Dixon_TAD,Intergenic,296270,yes
Intergenic,Intergenic,1459102,yes
Active,Active,412917,yes
Active,Inactive,312079,yes
Active,Enhancer,421335,yes
Active,Genic,1083498,yes
Active,Dixon_TAD,154986,yes
Active,Intergenic,1506662,yes
Inactive,Inactive,65182,yes
Inactive,Enhancer,170416,yes
Inactive,Genic,517151,yes
