class1,class2,count,permuted
Active,Active,418554,yes
Active,Inactive,333038,yes
Active,Enhancer,425153,yes
Active,Genic,1139863,yes
Active,Dixon_TAD,158569,yes
Active,Intergenic,1493325,yes
Inactive,Inactive,72642,yes
Inactive,Enhancer,177739,yes
Inactive,Genic,559915,yes
Inactive,Dixon_TAD,65674,yes
Inactive,Intergenic,611850,yes
Enhancer,Enhancer,120932,yes
Enhancer,Genic,790751,yes
Enhancer,Dixon_TAD,87140,yes
Enhancer,Intergenic,810952,yes
Genic,Genic,1456968,yes
Genic,Dixon_TAD,296577,yes
Genic,Intergenic,2800980,yes
Dixon_TAD,Dixon_TAD,15983,yes
Dixon_TAD,Intergenic,300486,yes
Intergenic,Intergenic,1432509,yes
Active,Active,418888,yes
Active,Inactive,329829,yes
Active,Enhancer,423210,yes
Active,Genic,1112972,yes
Active,Dixon_TAD,157682,yes
Active,Intergenic,1484703,yes
Inactive,Inactive,71119,yes
Inactive,Enhancer,179313,yes
Inactive,Genic,547101,yes
Inactive,Dixon_TAD,64891,yes
Inactive,Intergenic,620251,yes
Enhancer,Enhancer,120335,yes
Enhancer,Genic,780719,yes
Enhancer,Dixon_TAD,87112,yes
Enhancer,Intergenic,814522,yes
Genic,Genic,1411385,yes
Genic,Dixon_TAD,290782,yes
Genic,Intergenic,2767619,yes
Dixon_TAD,Dixon_TAD,15835,yes
Dixon_TAD,Intergenic,301045,yes
Intergenic,Intergenic,1473749,yes
Active,Active,404624,yes
Active,Inactive,332585,yes
Active,Enhancer,416797,yes
Active,Genic,1099168,yes
Active,Dixon_TAD,153465,yes
Active,Intergenic,1480770,yes
Inactive,Inactive,70805,yes
Inactive,Enhancer,183268,yes
Inactive,Genic,556059,yes
Inactive,Dixon_TAD,66216,yes
Inactive,Intergenic,623341,yes
Enhancer,Enhancer,120228,yes
Enhancer,Genic,778115,yes
Enhancer,Dixon_TAD,85998,yes
Enhancer,Intergenic,826678,yes
Genic,Genic,1407255,yes
Genic,Dixon_TAD,288665,yes
Genic,Intergenic,2790140,yes
Dixon_TAD,Dixon_TAD,15328,yes
Dixon_TAD,Intergenic,297236,yes
Intergenic,Intergenic,1474619,yes
Active,Active,409001,yes
Active,Inactive,313643,yes
Active,Enhancer,420627,yes
Active,Genic,1086020,yes
Active,Dixon_TAD,155616,yes
Active,Intergenic,1492235,yes
Inactive,Inactive,65075,yes
Inactive,Enhancer,170270,yes
Inactive,Genic,521914,yes
Inactive,Dixon_TAD,62948,yes
Inactive,Intergenic,600649,yes
Enhancer,Enhancer,120273,yes
Enhancer,Genic,770254,yes
Enhancer,Dixon_TAD,86839,yes
Enhancer,Intergenic,823875,yes
Genic,Genic,1378329,yes
Genic,Dixon_TAD,287521,yes
Genic,Intergenic,2781216,yes
Dixon_TAD,Dixon_TAD,15939,yes
Dixon_TAD,Intergenic,305379,yes
Intergenic,Intergenic,1495819,yes
Active,Active,393931,yes
Active,Inactive,323036,yes
Active,Enhancer,405017,yes
Active,Genic,1073788,yes
Active,Dixon_TAD,149718,yes
Active,Intergenic,1471273,yes
Inactive,Inactive,74113,yes
Inactive,Enhancer,178166,yes
Inactive,Genic,550125,yes
Inactive,Dixon_TAD,63795,yes
Inactive,Intergenic,630765,yes
Enhancer,Enhancer,115849,yes
Enhancer,Genic,759578,yes
Enhancer,Dixon_TAD,83856,yes
Enhancer,Intergenic,814151,yes
Genic,Genic,1385488,yes
Genic,Dixon_TAD,281231,yes
Genic,Intergenic,2793236,yes
Dixon_TAD,Dixon_TAD,15093,yes
Dixon_TAD,Intergenic,299083,yes
Intergenic,Intergenic,1484497,yes
Active,Active,410550,yes
Active,Inactive,313187,yes
Active,Enhancer,417303,yes
Active,Genic,1109572,yes
Active,Dixon_TAD,153916,yes
Active,Intergenic,1453656,yes
Inactive,Inactive,65161,yes
Inactive,Enhancer,171842,yes
Inactive,Genic,533789,yes
Inactive,Dixon_TAD,63051,yes
Inactive,Intergenic,603608,yes
Enhancer,Enhancer,120116,yes
Enhancer,Genic,776756,yes
Enhancer,Dixon_TAD,86085,yes
Enhancer,Intergenic,808528,yes
Genic,Genic,1423774,yes
Genic,Dixon_TAD,289871,yes
Genic,Intergenic,2773573,yes
Dixon_TAD,Dixon_TAD,15478,yes
Dixon_TAD,Intergenic,300119,yes
Intergenic,Intergenic,1489616,yes
Active,Active,395835,yes
Active,Inactive,319567,yes
Active,Enhancer,405577,yes
Active,Genic,1085010,yes
Active,Dixon_TAD,153987,yes
Active,Intergenic,1475328,yes
Inactive,Inactive,69551,yes
Inactive,Enhancer,173567,yes
Inactive,Genic,541345,yes
Inactive,Dixon_TAD,65768,yes
Inactive,Intergenic,614912,yes
Enhancer,Enhancer,116363,yes
Enhancer,Genic,759507,yes
Enhancer,Dixon_TAD,85185,yes
Enhancer,Intergenic,814999,yes
Genic,Genic,1393746,yes
Genic,Dixon_TAD,290904,yes
Genic,Intergenic,2787168,yes
Dixon_TAD,Dixon_TAD,15748,yes
Dixon_TAD,Intergenic,301867,yes
Intergenic,Intergenic,1481045,yes
Active,Active,417621,yes
Active,Inactive,330823,yes
Active,Enhancer,421641,yes
Active,Genic,1126525,yes
Active,Dixon_TAD,156391,yes
Active,Intergenic,1453859,yes
Inactive,Inactive,72431,yes
Inactive,Enhancer,179191,yes
Inactive,Genic,558099,yes
Inactive,Dixon_TAD,65891,yes
Inactive,Intergenic,617317,yes
Enhancer,Enhancer,120050,yes
Enhancer,Genic,787158,yes
Enhancer,Dixon_TAD,86704,yes
Enhancer,Intergenic,801876,yes
Genic,Genic,1447115,yes
Genic,Dixon_TAD,294067,yes
Genic,Intergenic,2777161,yes
Dixon_TAD,Dixon_TAD,15872,yes
Dixon_TAD,Intergenic,293714,yes
Intergenic,Intergenic,1446723,yes
Active,Active,397771,yes
Active,Inactive,312156,yes
Active,Enhancer,413227,yes
Active,Genic,1073810,yes
Active,Dixon_TAD,155824,yes
Active,Intergenic,1486088,yes
Inactive,Inactive,67149,yes
Inactive,Enhancer,172369,yes
Inactive,Genic,522913,yes
Inactive,Dixon_TAD,63996,yes
Inactive,Intergenic,604387,yes
Enhancer,Enhancer,120353,yes
Enhancer,Genic,766290,yes
Enhancer,Dixon_TAD,87497,yes
Enhancer,Intergenic,826946,yes
Genic,Genic,1371753,yes
Genic,Dixon_TAD,290419,yes
Genic,Intergenic,2780255,yes
Dixon_TAD,Dixon_TAD,16138,yes
Dixon_TAD,Intergenic,304805,yes
Intergenic,Intergenic,1487660,yes
Active,Active,455596,yes
Active,Inactive,345371,yes
Active,Enhancer,449652,yes
Active,Genic,1178991,yes
Active,Dixon_TAD,166329,yes
Active,Intergenic,1483833,yes
Inactive,Inactive,72836,yes
Inactive,Enhancer,184476,yes
Inactive,Genic,569310,yes
Inactive,Dixon_TAD,67316,yes
Inactive,Intergenic,607268,yes
Enhancer,Enhancer,125608,yes
Enhancer,Genic,815459,yes
Enhancer,Dixon_TAD,91026,yes
Enhancer,Intergenic,808951,yes
Genic,Genic,1486871,yes
Genic,Dixon_TAD,303435,yes
Genic,Intergenic,2750021,yes
Dixon_TAD,Dixon_TAD,16477,yes
Dixon_TAD,Intergenic,298227,yes
Intergenic,Intergenic,1410382,yes
Active,Active,392838,yes
Active,Inactive,325067,yes
Active,Enhancer,409727,yes
Active,Genic,1075277,yes
Active,Dixon_TAD,151715,yes
Active,Intergenic,1460751,yes
Inactive,Inactive,71824,yes
Inactive,Enhancer,181225,yes
Inactive,Genic,550913,yes
Inactive,Dixon_TAD,66242,yes
Inactive,Intergenic,629017,yes
Enhancer,Enhancer,118928,yes
Enhancer,Genic,769864,yes
Enhancer,Dixon_TAD,86217,yes
Enhancer,Intergenic,823920,yes
Genic,Genic,1387642,yes
Genic,Dixon_TAD,287277,yes
Genic,Intergenic,2792166,yes
