class1,class2,count,permuted
Active,Active,389548,yes
Active,Inactive,305238,yes
Active,Enhancer,407133,yes
Active,Genic,1062733,yes
Active,Dixon_TAD,148212,yes
Active,Intergenic,1480006,yes
Inactive,Inactive,67289,yes
Inactive,Enhancer,171569,yes
Inactive,Genic,521454,yes
Inactive,Dixon_TAD,61768,yes
Inactive,Intergenic,608633,yes
Enhancer,Enhancer,118859,yes
Enhancer,Genic,761432,yes
Enhancer,Dixon_TAD,84035,yes
Enhancer,Intergenic,831338,yes
Genic,Genic,1368545,yes
Genic,Dixon_TAD,278924,yes
Genic,Intergenic,2798792,yes
Dixon_TAD,Dixon_TAD,14968,yes
Dixon_TAD,Intergenic,297824,yes
Intergenic,Intergenic,1509395,yes
Active,Active,415513,yes
Active,Inactive,334019,yes
Active,Enhancer,423948,yes
Active,Genic,1123160,yes
Active,Dixon_TAD,157397,yes
Active,Intergenic,1473191,yes
Inactive,Inactive,75211,yes
Inactive,Enhancer,182890,yes
Inactive,Genic,562305,yes
Inactive,Dixon_TAD,66072,yes
Inactive,Intergenic,622546,yes
Enhancer,Enhancer,120801,yes
Enhancer,Genic,790719,yes
Enhancer,Dixon_TAD,86737,yes
Enhancer,Intergenic,811185,yes
Genic,Genic,1440060,yes
Genic,Dixon_TAD,293980,yes
Genic,Intergenic,2781223,yes
Dixon_TAD,Dixon_TAD,15683,yes
Dixon_TAD,Intergenic,295614,yes
Intergenic,Intergenic,1442300,yes
Active,Active,380374,yes
Active,Inactive,303772,yes
Active,Enhancer,392607,yes
Active,Genic,1044193,yes
Active,Dixon_TAD,145184,yes
Active,Intergenic,1465792,yes
Inactive,Inactive,66682,yes
Inactive,Enhancer,169113,yes
Inactive,Genic,520969,yes
Inactive,Dixon_TAD,60763,yes
Inactive,Intergenic,616243,yes
Enhancer,Enhancer,113331,yes
Enhancer,Genic,740914,yes
Enhancer,Dixon_TAD,81338,yes
Enhancer,Intergenic,818357,yes
Genic,Genic,1350876,yes
Genic,Dixon_TAD,273986,yes
Genic,Intergenic,2793881,yes
Dixon_TAD,Dixon_TAD,14746,yes
Dixon_TAD,Intergenic,296154,yes
Intergenic,Intergenic,1524682,yes
Active,Active,393271,yes
Active,Inactive,308467,yes
Active,Enhancer,404133,yes
Active,Genic,1065085,yes
Active,Dixon_TAD,157952,yes
Active,Intergenic,1486063,yes
Inactive,Inactive,66693,yes
Inactive,Enhancer,169824,yes
Inactive,Genic,523121,yes
Inactive,Dixon_TAD,64221,yes
Inactive,Intergenic,605005,yes
Enhancer,Enhancer,115729,yes
Enhancer,Genic,753113,yes
Enhancer,Dixon_TAD,87045,yes
Enhancer,Intergenic,815672,yes
Genic,Genic,1368423,yes
Genic,Dixon_TAD,294457,yes
Genic,Intergenic,2804038,yes
Dixon_TAD,Dixon_TAD,16828,yes
Dixon_TAD,Intergenic,311375,yes
Intergenic,Intergenic,1496625,yes
Active,Active,398351,yes
Active,Inactive,311830,yes
Active,Enhancer,408344,yes
Active,Genic,1064472,yes
Active,Dixon_TAD,147589,yes
Active,Intergenic,1482952,yes
Inactive,Inactive,66915,yes
Inactive,Enhancer,171807,yes
Inactive,Genic,525169,yes
Inactive,Dixon_TAD,61061,yes
Inactive,Intergenic,611005,yes
Enhancer,Enhancer,117166,yes
Enhancer,Genic,756607,yes
Enhancer,Dixon_TAD,82824,yes
Enhancer,Intergenic,821917,yes
Genic,Genic,1365250,yes
Genic,Dixon_TAD,276013,yes
Genic,Intergenic,2794209,yes
Dixon_TAD,Dixon_TAD,14742,yes
Dixon_TAD,Intergenic,294300,yes
Intergenic,Intergenic,1511731,yes
Active,Active,373471,yes
Active,Inactive,311193,yes
Active,Enhancer,395783,yes
Active,Genic,1037169,yes
Active,Dixon_TAD,145893,yes
Active,Intergenic,1420357,yes
Inactive,Inactive,71928,yes
Inactive,Enhancer,178483,yes
Inactive,Genic,536505,yes
Inactive,Dixon_TAD,64511,yes
Inactive,Intergenic,635011,yes
Enhancer,Enhancer,117668,yes
Enhancer,Genic,754733,yes
Enhancer,Dixon_TAD,84315,yes
Enhancer,Intergenic,823878,yes
Genic,Genic,1350085,yes
Genic,Dixon_TAD,280056,yes
Genic,Intergenic,2747366,yes
Dixon_TAD,Dixon_TAD,15113,yes
Dixon_TAD,Intergenic,298985,yes
Intergenic,Intergenic,1541094,yes
Active,Active,413531,yes
Active,Inactive,312216,yes
Active,Enhancer,423130,yes
Active,Genic,1108412,yes
Active,Dixon_TAD,155182,yes
Active,Intergenic,1486247,yes
Inactive,Inactive,68355,yes
Inactive,Enhancer,173550,yes
Inactive,Genic,532000,yes
Inactive,Dixon_TAD,62301,yes
Inactive,Intergenic,599077,yes
Enhancer,Enhancer,122553,yes
Enhancer,Genic,784893,yes
Enhancer,Dixon_TAD,86862,yes
Enhancer,Intergenic,824046,yes
Genic,Genic,1419970,yes
Genic,Dixon_TAD,288672,yes
Genic,Intergenic,2793818,yes
Dixon_TAD,Dixon_TAD,15617,yes
Dixon_TAD,Intergenic,298160,yes
Intergenic,Intergenic,1473152,yes
Active,Active,409616,yes
Active,Inactive,332711,yes
Active,Enhancer,414521,yes
Active,Genic,1106772,yes
Active,Dixon_TAD,155762,yes
Active,Intergenic,1502166,yes
Inactive,Inactive,70419,yes
Inactive,Enhancer,176068,yes
Inactive,Genic,550257,yes
Inactive,Dixon_TAD,66584,yes
Inactive,Intergenic,620916,yes
Enhancer,Enhancer,117196,yes
Enhancer,Genic,768520,yes
Enhancer,Dixon_TAD,85831,yes
Enhancer,Intergenic,816461,yes
Genic,Genic,1408367,yes
Genic,Dixon_TAD,290990,yes
Genic,Intergenic,2804786,yes
