class1,class2,count,permuted
Active,Active,389796,yes
Active,Inactive,303163,yes
Active,Enhancer,403507,yes
Active,Genic,1040028,yes
Active,Dixon_TAD,148685,yes
Active,Intergenic,1496630,yes
Inactive,Inactive,63269,yes
Inactive,Enhancer,168428,yes
Inactive,Genic,507322,yes
Inactive,Dixon_TAD,60227,yes
Inactive,Intergenic,607497,yes
Enhancer,Enhancer,117687,yes
Enhancer,Genic,746849,yes
Enhancer,Dixon_TAD,84162,yes
Enhancer,Intergenic,831069,yes
Genic,Genic,1326404,yes
Genic,Dixon_TAD,276092,yes
Genic,Intergenic,2797897,yes
Dixon_TAD,Dixon_TAD,14839,yes
Dixon_TAD,Intergenic,300520,yes
Intergenic,Intergenic,1543636,yes
Active,Active,377058,yes
Active,Inactive,311593,yes
Active,Enhancer,392517,yes
Active,Genic,1036804,yes
Active,Dixon_TAD,149077,yes
Active,Intergenic,1422336,yes
Inactive,Inactive,75001,yes
Inactive,Enhancer,177046,yes
Inactive,Genic,540619,yes
Inactive,Dixon_TAD,65868,yes
Inactive,Intergenic,646119,yes
Enhancer,Enhancer,115263,yes
Enhancer,Genic,743389,yes
Enhancer,Dixon_TAD,84954,yes
Enhancer,Intergenic,811366,yes
Genic,Genic,1351777,yes
Genic,Dixon_TAD,284029,yes
Genic,Intergenic,2756299,yes
Dixon_TAD,Dixon_TAD,15785,yes
Dixon_TAD,Intergenic,305159,yes
Intergenic,Intergenic,1549966,yes
Active,Active,393259,yes
Active,Inactive,322592,yes
Active,Enhancer,401312,yes
Active,Genic,1062321,yes
Active,Dixon_TAD,151230,yes
Active,Intergenic,1478731,yes
Inactive,Inactive,72657,yes
Inactive,Enhancer,176488,yes
Inactive,Genic,543062,yes
Inactive,Dixon_TAD,65309,yes
Inactive,Intergenic,626883,yes
Enhancer,Enhancer,114564,yes
Enhancer,Genic,748660,yes
Enhancer,Dixon_TAD,84863,yes
Enhancer,Intergenic,816695,yes
Genic,Genic,1361729,yes
Genic,Dixon_TAD,283511,yes
Genic,Intergenic,2773268,yes
Dixon_TAD,Dixon_TAD,15617,yes
Dixon_TAD,Intergenic,304371,yes
Intergenic,Intergenic,1518029,yes
Active,Active,424186,yes
Active,Inactive,341517,yes
Active,Enhancer,436640,yes
Active,Genic,1139362,yes
Active,Dixon_TAD,160953,yes
Active,Intergenic,1482380,yes
Inactive,Inactive,74333,yes
Inactive,Enhancer,186240,yes
Inactive,Genic,568084,yes
Inactive,Dixon_TAD,67041,yes
Inactive,Intergenic,621697,yes
Enhancer,Enhancer,125640,yes
Enhancer,Genic,805319,yes
Enhancer,Dixon_TAD,89990,yes
Enhancer,Intergenic,816870,yes
Genic,Genic,1451034,yes
Genic,Dixon_TAD,297922,yes
Genic,Intergenic,2771396,yes
Dixon_TAD,Dixon_TAD,16198,yes
Dixon_TAD,Intergenic,298957,yes
Intergenic,Intergenic,1443581,yes
Active,Active,411290,yes
Active,Inactive,315368,yes
Active,Enhancer,422695,yes
Active,Genic,1083178,yes
Active,Dixon_TAD,155523,yes
Active,Intergenic,1483584,yes
Inactive,Inactive,69475,yes
Inactive,Enhancer,175196,yes
Inactive,Genic,528627,yes
Inactive,Dixon_TAD,63925,yes
Inactive,Intergenic,612847,yes
Enhancer,Enhancer,121709,yes
Enhancer,Genic,772559,yes
Enhancer,Dixon_TAD,87553,yes
Enhancer,Intergenic,828752,yes
Genic,Genic,1376467,yes
Genic,Dixon_TAD,286931,yes
Genic,Intergenic,2767339,yes
Dixon_TAD,Dixon_TAD,16051,yes
Dixon_TAD,Intergenic,304696,yes
Intergenic,Intergenic,1506208,yes
Active,Active,394311,yes
Active,Inactive,316338,yes
Active,Enhancer,414647,yes
Active,Genic,1080421,yes
Active,Dixon_TAD,151059,yes
Active,Intergenic,1462848,yes
Inactive,Inactive,70674,yes
Inactive,Enhancer,181329,yes
Inactive,Genic,538044,yes
Inactive,Dixon_TAD,63757,yes
Inactive,Intergenic,615896,yes
Enhancer,Enhancer,122779,yes
Enhancer,Genic,783825,yes
Enhancer,Dixon_TAD,87241,yes
Enhancer,Intergenic,833067,yes
Genic,Genic,1391991,yes
Genic,Dixon_TAD,285022,yes
Genic,Intergenic,2776208,yes
Dixon_TAD,Dixon_TAD,15298,yes
Dixon_TAD,Intergenic,297040,yes
Intergenic,Intergenic,1469756,yes
Active,Active,418126,yes
Active,Inactive,326205,yes
Active,Enhancer,427551,yes
Active,Genic,1124857,yes
Active,Dixon_TAD,159654,yes
Active,Intergenic,1491569,yes
Inactive,Inactive,70354,yes
Inactive,Enhancer,177648,yes
Inactive,Genic,547349,yes
Inactive,Dixon_TAD,65312,yes
Inactive,Intergenic,610955,yes
Enhancer,Enhancer,122788,yes
Enhancer,Genic,789813,yes
Enhancer,Dixon_TAD,88281,yes
Enhancer,Intergenic,821203,yes
Genic,Genic,1433903,yes
Genic,Dixon_TAD,296113,yes
Genic,Intergenic,2790123,yes
Dixon_TAD,Dixon_TAD,16144,yes
Dixon_TAD,Intergenic,301368,yes
Intergenic,Intergenic,1439115,yes
Active,Active,691152,yes
Active,Inactive,386028,yes
Active,Enhancer,643834,yes
Active,Genic,1577936,yes
Active,Dixon_TAD,227389,yes
Active,Intergenic,1513327,yes
Inactive,Inactive,67080,yes
Inactive,Enhancer,197649,yes
Inactive,Genic,605699,yes
Inactive,Dixon_TAD,69061,yes
Inactive,Intergenic,497164,yes
Enhancer,Enhancer,170561,yes
Enhancer,Genic,1068929,yes
Enhancer,Dixon_TAD,116477,yes
Enhancer,Intergenic,796791,yes
Genic,Genic,1896875,yes
Genic,Dixon_TAD,380230,yes
Genic,Intergenic,2628512,yes
Dixon_TAD,Dixon_TAD,20071,yes
Dixon_TAD,Intergenic,278799,yes
Intergenic,Intergenic,1070744,yes
Active,Active,396442,yes
Active,Inactive,328818,yes
Active,Enhancer,409452,yes
Active,Genic,1084663,yes
Active,Dixon_TAD,147840,yes
Active,Intergenic,1447535,yes
Inactive,Inactive,74805,yes
Inactive,Enhancer,184265,yes
Inactive,Genic,558793,yes
Inactive,Dixon_TAD,63187,yes
Inactive,Intergenic,639565,yes
Enhancer,Enhancer,119458,yes
Enhancer,Genic,774468,yes
Enhancer,Dixon_TAD,83061,yes
Enhancer,Intergenic,814363,yes
Genic,Genic,1402096,yes
Genic,Dixon_TAD,278063,yes
Genic,Intergenic,2774768,yes
Dixon_TAD,Dixon_TAD,14360,yes
