class1,class2,count,permuted
Active,Active,458282,yes
Active,Inactive,343081,yes
Active,Enhancer,465309,yes
Active,Genic,1201233,yes
Active,Dixon_TAD,170529,yes
Active,Intergenic,1482459,yes
Inactive,Inactive,72926,yes
Inactive,Enhancer,187163,yes
Inactive,Genic,572804,yes
Inactive,Dixon_TAD,67648,yes
Inactive,Intergenic,604592,yes
Enhancer,Enhancer,132424,yes
Enhancer,Genic,846790,yes
Enhancer,Dixon_TAD,94484,yes
Enhancer,Intergenic,815444,yes
Genic,Genic,1523475,yes
Genic,Dixon_TAD,312783,yes
Genic,Intergenic,2771570,yes
Dixon_TAD,Dixon_TAD,16771,yes
Dixon_TAD,Intergenic,296005,yes
Intergenic,Intergenic,1349291,yes
Active,Active,398721,yes
Active,Inactive,326427,yes
Active,Enhancer,409883,yes
Active,Genic,1073651,yes
Active,Dixon_TAD,150117,yes
Active,Intergenic,1480934,yes
Inactive,Inactive,77481,yes
Inactive,Enhancer,181716,yes
Inactive,Genic,554304,yes
Inactive,Dixon_TAD,64980,yes
Inactive,Intergenic,649040,yes
Enhancer,Enhancer,117319,yes
Enhancer,Genic,762195,yes
Enhancer,Dixon_TAD,83167,yes
Enhancer,Intergenic,811125,yes
Genic,Genic,1379689,yes
Genic,Dixon_TAD,280763,yes
Genic,Intergenic,2804600,yes
Dixon_TAD,Dixon_TAD,14886,yes
Dixon_TAD,Intergenic,294803,yes
Intergenic,Intergenic,1485275,yes
Active,Active,419381,yes
Active,Inactive,325815,yes
Active,Enhancer,424364,yes
Active,Genic,1125314,yes
Active,Dixon_TAD,159197,yes
Active,Intergenic,1500598,yes
Inactive,Inactive,71829,yes
Inactive,Enhancer,175589,yes
Inactive,Genic,547320,yes
Inactive,Dixon_TAD,64740,yes
Inactive,Intergenic,616742,yes
Enhancer,Enhancer,120277,yes
Enhancer,Genic,782689,yes
Enhancer,Dixon_TAD,87845,yes
Enhancer,Intergenic,813563,yes
Genic,Genic,1432995,yes
Genic,Dixon_TAD,295499,yes
Genic,Intergenic,2801109,yes
Dixon_TAD,Dixon_TAD,16025,yes
Dixon_TAD,Intergenic,300483,yes
Intergenic,Intergenic,1447794,yes
Active,Active,407738,yes
Active,Inactive,319433,yes
Active,Enhancer,418570,yes
Active,Genic,1103762,yes
Active,Dixon_TAD,154875,yes
Active,Intergenic,1454948,yes
Inactive,Inactive,67163,yes
Inactive,Enhancer,176514,yes
Inactive,Genic,540409,yes
Inactive,Dixon_TAD,64655,yes
Inactive,Intergenic,615538,yes
Enhancer,Enhancer,122957,yes
Enhancer,Genic,784817,yes
Enhancer,Dixon_TAD,87354,yes
Enhancer,Intergenic,817708,yes
Genic,Genic,1415303,yes
Genic,Dixon_TAD,290965,yes
Genic,Intergenic,2772473,yes
Dixon_TAD,Dixon_TAD,15904,yes
Dixon_TAD,Intergenic,302427,yes
Intergenic,Intergenic,1489885,yes
Active,Active,386726,yes
Active,Inactive,300608,yes
Active,Enhancer,407524,yes
Active,Genic,1066916,yes
Active,Dixon_TAD,142774,yes
Active,Intergenic,1469440,yes
Inactive,Inactive,65648,yes
Inactive,Enhancer,169806,yes
Inactive,Genic,516269,yes
Inactive,Dixon_TAD,58348,yes
Inactive,Intergenic,597515,yes
Enhancer,Enhancer,119931,yes
Enhancer,Genic,767956,yes
Enhancer,Dixon_TAD,82023,yes
Enhancer,Intergenic,826233,yes
Genic,Genic,1378107,yes
Genic,Dixon_TAD,270311,yes
Genic,Intergenic,2783583,yes
Dixon_TAD,Dixon_TAD,13981,yes
Dixon_TAD,Intergenic,285372,yes
Intergenic,Intergenic,1501472,yes
Active,Active,410630,yes
Active,Inactive,325604,yes
Active,Enhancer,415544,yes
Active,Genic,1107629,yes
Active,Dixon_TAD,150874,yes
Active,Intergenic,1456957,yes
Inactive,Inactive,70026,yes
Inactive,Enhancer,177090,yes
Inactive,Genic,547695,yes
Inactive,Dixon_TAD,63651,yes
Inactive,Intergenic,620839,yes
Enhancer,Enhancer,118102,yes
Enhancer,Genic,772689,yes
Enhancer,Dixon_TAD,83812,yes
Enhancer,Intergenic,808591,yes
Genic,Genic,1415994,yes
Genic,Dixon_TAD,282739,yes
Genic,Intergenic,2765640,yes
Dixon_TAD,Dixon_TAD,14797,yes
Dixon_TAD,Intergenic,289156,yes
Intergenic,Intergenic,1488259,yes
Active,Active,397578,yes
Active,Inactive,323958,yes
Active,Enhancer,410385,yes
Active,Genic,1086754,yes
Active,Dixon_TAD,152717,yes
Active,Intergenic,1482174,yes
Inactive,Inactive,72598,yes
Inactive,Enhancer,177004,yes
Inactive,Genic,549022,yes
Inactive,Dixon_TAD,64980,yes
Inactive,Intergenic,623778,yes
Enhancer,Enhancer,117624,yes
Enhancer,Genic,766977,yes
Enhancer,Dixon_TAD,85363,yes
Enhancer,Intergenic,817290,yes
Genic,Genic,1400155,yes
Genic,Dixon_TAD,286975,yes
Genic,Intergenic,2811206,yes
Dixon_TAD,Dixon_TAD,15441,yes
Dixon_TAD,Intergenic,300925,yes
Intergenic,Intergenic,1467390,yes
Active,Active,390988,yes
Active,Inactive,332946,yes
Active,Enhancer,402792,yes
Active,Genic,1079250,yes
Active,Dixon_TAD,146343,yes
Active,Intergenic,1468068,yes
Inactive,Inactive,77176,yes
Inactive,Enhancer,183302,yes
Inactive,Genic,565725,yes
Inactive,Dixon_TAD,66065,yes
Inactive,Intergenic,654038,yes
Enhancer,Enhancer,117116,yes
Enhancer,Genic,762118,yes
Enhancer,Dixon_TAD,82694,yes
Enhancer,Intergenic,809239,yes
Genic,Genic,1394938,yes
Genic,Dixon_TAD,279226,yes
Genic,Intergenic,2797102,yes
Dixon_TAD,Dixon_TAD,14682,yes
Dixon_TAD,Intergenic,295763,yes
Intergenic,Intergenic,1494751,yes
Active,Active,418172,yes
Active,Inactive,327501,yes
Active,Enhancer,421545,yes
Active,Genic,1135228,yes
