class1,class2,count,permuted
Active,Active,417761,yes
Active,Inactive,320127,yes
Active,Enhancer,421890,yes
Active,Genic,1121769,yes
Active,Dixon_TAD,154565,yes
Active,Intergenic,1464792,yes
Inactive,Inactive,68539,yes
Inactive,Enhancer,176547,yes
Inactive,Genic,543778,yes
Inactive,Dixon_TAD,62871,yes
Inactive,Intergenic,607643,yes
Enhancer,Enhancer,120950,yes
Enhancer,Genic,786041,yes
Enhancer,Dixon_TAD,86094,yes
Enhancer,Intergenic,813941,yes
Genic,Genic,1437099,yes
Genic,Dixon_TAD,289197,yes
Genic,Intergenic,2776355,yes
Dixon_TAD,Dixon_TAD,15347,yes
Dixon_TAD,Intergenic,294950,yes
Intergenic,Intergenic,1473726,yes
Active,Active,432386,yes
Active,Inactive,330987,yes
Active,Enhancer,434786,yes
Active,Genic,1141527,yes
Active,Dixon_TAD,159078,yes
Active,Intergenic,1474832,yes
Inactive,Inactive,69809,yes
Inactive,Enhancer,178311,yes
Inactive,Genic,553356,yes
Inactive,Dixon_TAD,64612,yes
Inactive,Intergenic,605217,yes
Enhancer,Enhancer,122714,yes
Enhancer,Genic,795594,yes
Enhancer,Dixon_TAD,87332,yes
Enhancer,Intergenic,808636,yes
Genic,Genic,1451858,yes
Genic,Dixon_TAD,293351,yes
Genic,Intergenic,2764220,yes
Dixon_TAD,Dixon_TAD,16005,yes
Dixon_TAD,Intergenic,297174,yes
Intergenic,Intergenic,1449893,yes
Active,Active,399396,yes
Active,Inactive,329766,yes
Active,Enhancer,411909,yes
Active,Genic,1100259,yes
Active,Dixon_TAD,152218,yes
Active,Intergenic,1473352,yes
Inactive,Inactive,70622,yes
Inactive,Enhancer,180820,yes
Inactive,Genic,557441,yes
Inactive,Dixon_TAD,65238,yes
Inactive,Intergenic,616565,yes
Enhancer,Enhancer,119298,yes
Enhancer,Genic,776929,yes
Enhancer,Dixon_TAD,85313,yes
Enhancer,Intergenic,818417,yes
Genic,Genic,1417827,yes
Genic,Dixon_TAD,288397,yes
Genic,Intergenic,2791414,yes
Dixon_TAD,Dixon_TAD,15289,yes
Dixon_TAD,Intergenic,293802,yes
Intergenic,Intergenic,1458819,yes
Active,Active,388846,yes
Active,Inactive,321079,yes
Active,Enhancer,400765,yes
Active,Genic,1057636,yes
Active,Dixon_TAD,149851,yes
Active,Intergenic,1486284,yes
Inactive,Inactive,72138,yes
Inactive,Enhancer,177779,yes
Inactive,Genic,539317,yes
Inactive,Dixon_TAD,64245,yes
Inactive,Intergenic,641440,yes
Enhancer,Enhancer,116114,yes
Enhancer,Genic,749415,yes
Enhancer,Dixon_TAD,83924,yes
Enhancer,Intergenic,825950,yes
Genic,Genic,1356416,yes
Genic,Dixon_TAD,279724,yes
Genic,Intergenic,2801023,yes
Dixon_TAD,Dixon_TAD,15196,yes
Dixon_TAD,Intergenic,301062,yes
Intergenic,Intergenic,1510913,yes
Active,Active,404879,yes
Active,Inactive,316749,yes
Active,Enhancer,404797,yes
Active,Genic,1084001,yes
Active,Dixon_TAD,153595,yes
Active,Intergenic,1468792,yes
Inactive,Inactive,69763,yes
Inactive,Enhancer,172622,yes
Inactive,Genic,534840,yes
Inactive,Dixon_TAD,63711,yes
Inactive,Intergenic,622253,yes
Enhancer,Enhancer,114664,yes
Enhancer,Genic,754676,yes
Enhancer,Dixon_TAD,84435,yes
Enhancer,Intergenic,804719,yes
Genic,Genic,1387060,yes
Genic,Dixon_TAD,287010,yes
Genic,Intergenic,2791189,yes
Dixon_TAD,Dixon_TAD,15652,yes
Dixon_TAD,Intergenic,302911,yes
Intergenic,Intergenic,1506330,yes
Active,Active,420998,yes
Active,Inactive,327731,yes
Active,Enhancer,436705,yes
Active,Genic,1136479,yes
Active,Dixon_TAD,154096,yes
Active,Intergenic,1466182,yes
Inactive,Inactive,70639,yes
Inactive,Enhancer,183980,yes
Inactive,Genic,554144,yes
Inactive,Dixon_TAD,63136,yes
Inactive,Intergenic,609549,yes
Enhancer,Enhancer,128172,yes
Enhancer,Genic,815887,yes
Enhancer,Dixon_TAD,87751,yes
Enhancer,Intergenic,825553,yes
Genic,Genic,1458566,yes
Genic,Dixon_TAD,287811,yes
Genic,Intergenic,2780246,yes
Dixon_TAD,Dixon_TAD,14894,yes
Dixon_TAD,Intergenic,290002,yes
Intergenic,Intergenic,1424092,yes
Active,Active,390678,yes
Active,Inactive,299684,yes
Active,Enhancer,412936,yes
Active,Genic,1071723,yes
Active,Dixon_TAD,147853,yes
Active,Intergenic,1478206,yes
Inactive,Inactive,64238,yes
Inactive,Enhancer,168694,yes
Inactive,Genic,513990,yes
Inactive,Dixon_TAD,59036,yes
Inactive,Intergenic,591352,yes
Enhancer,Enhancer,121726,yes
Enhancer,Genic,773008,yes
Enhancer,Dixon_TAD,84315,yes
Enhancer,Intergenic,830285,yes
Genic,Genic,1382701,yes
Genic,Dixon_TAD,277598,yes
Genic,Intergenic,2786636,yes
Dixon_TAD,Dixon_TAD,14646,yes
Dixon_TAD,Intergenic,290109,yes
Intergenic,Intergenic,1494487,yes
Active,Active,419514,yes
Active,Inactive,332149,yes
Active,Enhancer,418788,yes
Active,Genic,1120425,yes
Active,Dixon_TAD,159437,yes
Active,Intergenic,1468530,yes
Inactive,Inactive,74618,yes
Inactive,Enhancer,178464,yes
Inactive,Genic,558381,yes
Inactive,Dixon_TAD,66065,yes
Inactive,Intergenic,617437,yes
Enhancer,Enhancer,117479,yes
Enhancer,Genic,774611,yes
Enhancer,Dixon_TAD,87131,yes
Enhancer,Intergenic,802283,yes
Genic,Genic,1430725,yes
Genic,Dixon_TAD,296397,yes
Genic,Intergenic,2773345,yes
Dixon_TAD,Dixon_TAD,16178,yes
Dixon_TAD,Intergenic,301386,yes
Intergenic,Intergenic,1477776,yes
Active,Active,422834,yes
Active,Inactive,328970,yes
Active,Enhancer,417794,yes
Active,Genic,1125798,yes
Active,Dixon_TAD,156608,yes
Active,Intergenic,1477831,yes
Inactive,Inactive,72149,yes
Inactive,Enhancer,178008,yes
Inactive,Genic,555234,yes
Inactive,Dixon_TAD,64752,yes
Inactive,Intergenic,622570,yes
Enhancer,Enhancer,116864,yes
Enhancer,Genic,775511,yes
Enhancer,Dixon_TAD,85384,yes
Enhancer,Intergenic,801228,yes
Genic,Genic,1439400,yes
Genic,Dixon_TAD,292034,yes
Genic,Intergenic,2786137,yes
Dixon_TAD,Dixon_TAD,15658,yes
