class1,class2,count,permuted
Active,Active,398532,yes
Active,Inactive,326374,yes
Active,Enhancer,408797,yes
Active,Genic,1093804,yes
Active,Dixon_TAD,152716,yes
Active,Intergenic,1480619,yes
Inactive,Inactive,72863,yes
Inactive,Enhancer,177554,yes
Inactive,Genic,553237,yes
Inactive,Dixon_TAD,64415,yes
Inactive,Intergenic,622511,yes
Enhancer,Enhancer,116926,yes
Enhancer,Genic,767908,yes
Enhancer,Dixon_TAD,84366,yes
Enhancer,Intergenic,813252,yes
Genic,Genic,1408965,yes
Genic,Dixon_TAD,286310,yes
Genic,Intergenic,2809509,yes
Dixon_TAD,Dixon_TAD,15325,yes
Dixon_TAD,Intergenic,297762,yes
Intergenic,Intergenic,1465092,yes
Active,Active,414415,yes
Active,Inactive,322057,yes
Active,Enhancer,429913,yes
Active,Genic,1101492,yes
Active,Dixon_TAD,158227,yes
Active,Intergenic,1480704,yes
Inactive,Inactive,66880,yes
Inactive,Enhancer,178361,yes
Inactive,Genic,536432,yes
Inactive,Dixon_TAD,64441,yes
Inactive,Intergenic,601730,yes
Enhancer,Enhancer,125737,yes
Enhancer,Genic,789995,yes
Enhancer,Dixon_TAD,89591,yes
Enhancer,Intergenic,838583,yes
Genic,Genic,1401096,yes
Genic,Dixon_TAD,293506,yes
Genic,Intergenic,2771786,yes
Dixon_TAD,Dixon_TAD,16316,yes
Dixon_TAD,Intergenic,303341,yes
Intergenic,Intergenic,1482065,yes
Active,Active,412008,yes
Active,Inactive,344965,yes
Active,Enhancer,415250,yes
Active,Genic,1105675,yes
Active,Dixon_TAD,161798,yes
Active,Intergenic,1475154,yes
Inactive,Inactive,80186,yes
Inactive,Enhancer,190396,yes
Inactive,Genic,581014,yes
Inactive,Dixon_TAD,72292,yes
Inactive,Intergenic,658955,yes
Enhancer,Enhancer,118674,yes
Enhancer,Genic,776039,yes
Enhancer,Dixon_TAD,89866,yes
Enhancer,Intergenic,813936,yes
Genic,Genic,1422798,yes
Genic,Dixon_TAD,303762,yes
Genic,Intergenic,2805979,yes
Dixon_TAD,Dixon_TAD,17344,yes
Dixon_TAD,Intergenic,311077,yes
Intergenic,Intergenic,1454834,yes
Active,Active,392124,yes
Active,Inactive,330411,yes
Active,Enhancer,405573,yes
Active,Genic,1089027,yes
Active,Dixon_TAD,152432,yes
Active,Intergenic,1468612,yes
Inactive,Inactive,75498,yes
Inactive,Enhancer,180316,yes
Inactive,Genic,563899,yes
Inactive,Dixon_TAD,66721,yes
Inactive,Intergenic,627815,yes
Enhancer,Enhancer,116526,yes
Enhancer,Genic,767020,yes
Enhancer,Dixon_TAD,85292,yes
Enhancer,Intergenic,810230,yes
Genic,Genic,1412442,yes
Genic,Dixon_TAD,289812,yes
Genic,Intergenic,2803192,yes
Dixon_TAD,Dixon_TAD,15479,yes
Dixon_TAD,Intergenic,299623,yes
Intergenic,Intergenic,1463725,yes
Active,Active,399029,yes
Active,Inactive,316151,yes
Active,Enhancer,411599,yes
Active,Genic,1089078,yes
Active,Dixon_TAD,155920,yes
Active,Intergenic,1476048,yes
Inactive,Inactive,69397,yes
Inactive,Enhancer,173667,yes
Inactive,Genic,539373,yes
Inactive,Dixon_TAD,64559,yes
Inactive,Intergenic,611947,yes
Enhancer,Enhancer,117811,yes
Enhancer,Genic,768487,yes
Enhancer,Dixon_TAD,87341,yes
Enhancer,Intergenic,816173,yes
Genic,Genic,1402659,yes
Genic,Dixon_TAD,292424,yes
Genic,Intergenic,2790062,yes
Dixon_TAD,Dixon_TAD,16208,yes
Dixon_TAD,Intergenic,306822,yes
Intergenic,Intergenic,1477848,yes
Active,Active,407917,yes
Active,Inactive,325351,yes
Active,Enhancer,416298,yes
Active,Genic,1088846,yes
Active,Dixon_TAD,159674,yes
Active,Intergenic,1483426,yes
Inactive,Inactive,70280,yes
Inactive,Enhancer,178720,yes
Inactive,Genic,545229,yes
Inactive,Dixon_TAD,67261,yes
Inactive,Intergenic,625294,yes
Enhancer,Enhancer,120335,yes
Enhancer,Genic,771571,yes
Enhancer,Dixon_TAD,88553,yes
Enhancer,Intergenic,824257,yes
Genic,Genic,1390264,yes
Genic,Dixon_TAD,296378,yes
Genic,Intergenic,2778651,yes
Dixon_TAD,Dixon_TAD,16713,yes
Dixon_TAD,Intergenic,307587,yes
Intergenic,Intergenic,1480032,yes
Active,Active,437503,yes
Active,Inactive,342355,yes
Active,Enhancer,441217,yes
Active,Genic,1173789,yes
Active,Dixon_TAD,163052,yes
Active,Intergenic,1469420,yes
Inactive,Inactive,72912,yes
Inactive,Enhancer,185903,yes
Inactive,Genic,576050,yes
Inactive,Dixon_TAD,67815,yes
Inactive,Intergenic,614783,yes
Enhancer,Enhancer,125715,yes
Enhancer,Genic,820640,yes
Enhancer,Dixon_TAD,89738,yes
Enhancer,Intergenic,802804,yes
Genic,Genic,1503453,yes
Genic,Dixon_TAD,304723,yes
Genic,Intergenic,2780811,yes
Dixon_TAD,Dixon_TAD,16011,yes
Dixon_TAD,Intergenic,291050,yes
Intergenic,Intergenic,1378958,yes
Active,Active,423297,yes
Active,Inactive,323701,yes
Active,Enhancer,430306,yes
Active,Genic,1123741,yes
Active,Dixon_TAD,157334,yes
Active,Intergenic,1472322,yes
Inactive,Inactive,70578,yes
Inactive,Enhancer,178219,yes
Inactive,Genic,546726,yes
Inactive,Dixon_TAD,66095,yes
Inactive,Intergenic,618572,yes
Enhancer,Enhancer,122701,yes
Enhancer,Genic,793267,yes
Enhancer,Dixon_TAD,87885,yes
Enhancer,Intergenic,813269,yes
Genic,Genic,1436596,yes
Genic,Dixon_TAD,294384,yes
Genic,Intergenic,2781684,yes
Dixon_TAD,Dixon_TAD,15870,yes
Dixon_TAD,Intergenic,297212,yes
Intergenic,Intergenic,1427815,yes
Active,Active,404343,yes
Active,Inactive,311907,yes
Active,Enhancer,416030,yes
Active,Genic,1079545,yes
Active,Dixon_TAD,151543,yes
Active,Intergenic,1493820,yes
Inactive,Inactive,66824,yes
Inactive,Enhancer,170381,yes
Inactive,Genic,521073,yes
Inactive,Dixon_TAD,61321,yes
Inactive,Intergenic,607443,yes
Enhancer,Enhancer,119603,yes
Enhancer,Genic,763736,yes
Enhancer,Dixon_TAD,84651,yes
Enhancer,Intergenic,827604,yes
Genic,Genic,1374350,yes
Genic,Dixon_TAD,280157,yes
Genic,Intergenic,2793519,yes
Dixon_TAD,Dixon_TAD,15124,yes
Dixon_TAD,Intergenic,299684,yes
Intergenic,Intergenic,1498053,yes
Active,Active,407600,yes
Active,Inactive,325030,yes
Active,Enhancer,408330,yes
Active,Genic,1092339,yes
Active,Dixon_TAD,152552,yes
Active,Intergenic,1495883,yes
Inactive,Inactive,72614,yes
Inactive,Enhancer,174858,yes
Inactive,Genic,546875,yes
Inactive,Dixon_TAD,63328,yes
Inactive,Intergenic,623846,yes
Enhancer,Enhancer,114666,yes
Enhancer,Genic,755648,yes
Enhancer,Dixon_TAD,82551,yes
Enhancer,Intergenic,807277,yes
Genic,Genic,1395787,yes
Genic,Dixon_TAD,282134,yes
Genic,Intergenic,2804393,yes
Dixon_TAD,Dixon_TAD,15052,yes
Dixon_TAD,Intergenic,293752,yes
Intergenic,Intergenic,1486095,yes
Active,Active,412373,yes
Active,Inactive,316612,yes
Active,Enhancer,417250,yes
Active,Genic,1114948,yes
Active,Dixon_TAD,153739,yes
Active,Intergenic,1477164,yes
Inactive,Inactive,71008,yes
