class1,class2,count,permuted
Active,Active,987198,no
Active,Inactive,379708,no
Active,Enhancer,896780,no
Active,Genic,1897475,no
Active,Dixon_TAD,299231,no
Active,Intergenic,1545121,no
Inactive,Inactive,52498,no
Inactive,Enhancer,194541,no
Inactive,Genic,558152,no
Inactive,Dixon_TAD,65492,no
Inactive,Intergenic,400029,no
Enhancer,Enhancer,239284,no
Enhancer,Genic,1326605,no
Enhancer,Dixon_TAD,153952,no
Enhancer,Intergenic,810003,no
Genic,Genic,2161453,no
Genic,Dixon_TAD,449067,no
Genic,Intergenic,2468101,no
Dixon_TAD,Dixon_TAD,25134,no
Dixon_TAD,Intergenic,274589,no
Intergenic,Intergenic,901443,no
