class1,class2,count,permuted
Active,Active,405,yes
Active,Inactive,231,yes
Active,Enhancer,323,yes
Active,Genic,887,yes
Active,Dixon_TAD,93,yes
Active,Intergenic,927,yes
Inactive,Inactive,60,yes
Inactive,Enhancer,133,yes
Inactive,Genic,387,yes
Inactive,Dixon_TAD,29,yes
Inactive,Intergenic,319,yes
Enhancer,Enhancer,68,yes
Enhancer,Genic,560,yes
Enhancer,Dixon_TAD,49,yes
Enhancer,Intergenic,557,yes
Genic,Genic,1112,yes
Genic,Dixon_TAD,163,yes
Genic,Intergenic,1813,yes
Dixon_TAD,Dixon_TAD,4,yes
Dixon_TAD,Intergenic,156,yes
Intergenic,Intergenic,1202,yes
Active,Active,246,yes
Active,Inactive,211,yes
Active,Enhancer,258,yes
Active,Genic,723,yes
Active,Dixon_TAD,83,yes
Active,Intergenic,870,yes
Inactive,Inactive,60,yes
Inactive,Enhancer,109,yes
Inactive,Genic,413,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,432,yes
Enhancer,Enhancer,76,yes
Enhancer,Genic,527,yes
Enhancer,Dixon_TAD,52,yes
Enhancer,Intergenic,522,yes
Genic,Genic,996,yes
Genic,Dixon_TAD,195,yes
Genic,Intergenic,1827,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,193,yes
Intergenic,Intergenic,1383,yes
Active,Active,291,yes
Active,Inactive,257,yes
Active,Enhancer,245,yes
Active,Genic,748,yes
Active,Dixon_TAD,107,yes
Active,Intergenic,870,yes
Inactive,Inactive,188,yes
Inactive,Enhancer,166,yes
Inactive,Genic,578,yes
Inactive,Dixon_TAD,44,yes
Inactive,Intergenic,655,yes
Enhancer,Enhancer,80,yes
Enhancer,Genic,517,yes
Enhancer,Dixon_TAD,46,yes
Enhancer,Intergenic,534,yes
Genic,Genic,1171,yes
Genic,Dixon_TAD,192,yes
Genic,Intergenic,2035,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,221,yes
Intergenic,Intergenic,972,yes
Active,Active,364,yes
Active,Inactive,250,yes
Active,Enhancer,327,yes
Active,Genic,895,yes
Active,Dixon_TAD,108,yes
Active,Intergenic,956,yes
Inactive,Inactive,47,yes
Inactive,Enhancer,125,yes
Inactive,Genic,386,yes
Inactive,Dixon_TAD,44,yes
Inactive,Intergenic,471,yes
Enhancer,Enhancer,87,yes
Enhancer,Genic,578,yes
Enhancer,Dixon_TAD,49,yes
Enhancer,Intergenic,513,yes
Genic,Genic,1073,yes
Genic,Dixon_TAD,197,yes
Genic,Intergenic,1797,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,199,yes
Intergenic,Intergenic,1270,yes
Active,Active,361,yes
Active,Inactive,267,yes
Active,Enhancer,325,yes
Active,Genic,867,yes
Active,Dixon_TAD,123,yes
Active,Intergenic,1029,yes
Inactive,Inactive,59,yes
Inactive,Enhancer,116,yes
Inactive,Genic,434,yes
Inactive,Dixon_TAD,42,yes
Inactive,Intergenic,394,yes
Enhancer,Enhancer,94,yes
Enhancer,Genic,573,yes
Enhancer,Dixon_TAD,66,yes
Enhancer,Intergenic,502,yes
Genic,Genic,1113,yes
Genic,Dixon_TAD,209,yes
Genic,Intergenic,1865,yes
Dixon_TAD,Dixon_TAD,17,yes
Dixon_TAD,Intergenic,244,yes
Intergenic,Intergenic,1217,yes
Active,Active,266,yes
Active,Inactive,202,yes
Active,Enhancer,318,yes
Active,Genic,729,yes
Active,Dixon_TAD,111,yes
Active,Intergenic,1066,yes
Inactive,Inactive,54,yes
Inactive,Enhancer,108,yes
Inactive,Genic,353,yes
Inactive,Dixon_TAD,63,yes
Inactive,Intergenic,495,yes
Enhancer,Enhancer,90,yes
Enhancer,Genic,554,yes
Enhancer,Dixon_TAD,63,yes
Enhancer,Intergenic,602,yes
Genic,Genic,925,yes
Genic,Dixon_TAD,224,yes
Genic,Intergenic,2011,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,301,yes
Intergenic,Intergenic,1086,yes
Active,Active,229,yes
Active,Inactive,182,yes
Active,Enhancer,265,yes
Active,Genic,741,yes
Active,Dixon_TAD,79,yes
Active,Intergenic,886,yes
Inactive,Inactive,31,yes
Inactive,Enhancer,141,yes
Inactive,Genic,330,yes
Inactive,Dixon_TAD,25,yes
Inactive,Intergenic,419,yes
Enhancer,Enhancer,99,yes
Enhancer,Genic,582,yes
Enhancer,Dixon_TAD,65,yes
Enhancer,Intergenic,564,yes
Genic,Genic,996,yes
Genic,Dixon_TAD,153,yes
Genic,Intergenic,1835,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,188,yes
Intergenic,Intergenic,1177,yes
Active,Active,246,yes
Active,Inactive,214,yes
Active,Enhancer,271,yes
Active,Genic,630,yes
Active,Dixon_TAD,93,yes
Active,Intergenic,967,yes
Inactive,Inactive,60,yes
Inactive,Enhancer,129,yes
Inactive,Genic,378,yes
Inactive,Dixon_TAD,53,yes
Inactive,Intergenic,464,yes
Enhancer,Enhancer,92,yes
Enhancer,Genic,482,yes
Enhancer,Dixon_TAD,58,yes
Enhancer,Intergenic,579,yes
Genic,Genic,845,yes
Genic,Dixon_TAD,181,yes
Genic,Intergenic,1857,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,225,yes
Intergenic,Intergenic,1442,yes
Active,Active,291,yes
Active,Inactive,168,yes
Active,Enhancer,337,yes
Active,Genic,696,yes
Active,Dixon_TAD,110,yes
Active,Intergenic,1032,yes
Inactive,Inactive,55,yes
Inactive,Enhancer,100,yes
Inactive,Genic,299,yes
Inactive,Dixon_TAD,44,yes
Inactive,Intergenic,335,yes
Enhancer,Enhancer,103,yes
Enhancer,Genic,537,yes
Enhancer,Dixon_TAD,74,yes
Enhancer,Intergenic,613,yes
Genic,Genic,872,yes
Genic,Dixon_TAD,211,yes
Genic,Intergenic,1858,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,273,yes
Intergenic,Intergenic,1291,yes
Active,Active,326,yes
Active,Inactive,306,yes
Active,Enhancer,327,yes
Active,Genic,976,yes
Active,Dixon_TAD,138,yes
Active,Intergenic,1106,yes
Inactive,Inactive,72,yes
Inactive,Enhancer,150,yes
Inactive,Genic,506,yes
Inactive,Dixon_TAD,62,yes
Inactive,Intergenic,452,yes
Enhancer,Enhancer,71,yes
Enhancer,Genic,608,yes
Enhancer,Dixon_TAD,70,yes
Enhancer,Intergenic,568,yes
Genic,Genic,1235,yes
Genic,Dixon_TAD,252,yes
Genic,Intergenic,2002,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,214,yes
Intergenic,Intergenic,968,yes
Active,Active,351,yes
Active,Inactive,204,yes
Active,Enhancer,334,yes
Active,Genic,760,yes
Active,Dixon_TAD,92,yes
Active,Intergenic,930,yes
Inactive,Inactive,45,yes
Inactive,Enhancer,111,yes
Inactive,Genic,327,yes
Inactive,Dixon_TAD,30,yes
Inactive,Intergenic,436,yes
Enhancer,Enhancer,101,yes
Enhancer,Genic,593,yes
Enhancer,Dixon_TAD,54,yes
Enhancer,Intergenic,675,yes
Genic,Genic,944,yes
Genic,Dixon_TAD,169,yes
Genic,Intergenic,1852,yes
Dixon_TAD,Dixon_TAD,6,yes
Dixon_TAD,Intergenic,141,yes
Intergenic,Intergenic,1239,yes
Active,Active,373,yes
Active,Inactive,211,yes
Active,Enhancer,298,yes
Active,Genic,867,yes
Active,Dixon_TAD,127,yes
Active,Intergenic,1028,yes
Inactive,Inactive,45,yes
Inactive,Enhancer,100,yes
Inactive,Genic,377,yes
