class1,class2,count,permuted
Active,Active,423,yes
Active,Inactive,241,yes
Active,Enhancer,366,yes
Active,Genic,970,yes
Active,Dixon_TAD,122,yes
Active,Intergenic,1084,yes
Inactive,Inactive,76,yes
Inactive,Enhancer,112,yes
Inactive,Genic,382,yes
Inactive,Dixon_TAD,33,yes
Inactive,Intergenic,452,yes
Enhancer,Enhancer,99,yes
Enhancer,Genic,616,yes
Enhancer,Dixon_TAD,61,yes
Enhancer,Intergenic,515,yes
Genic,Genic,1170,yes
Genic,Dixon_TAD,190,yes
Genic,Intergenic,1966,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,184,yes
Intergenic,Intergenic,1006,yes
Active,Active,373,yes
Active,Inactive,201,yes
Active,Enhancer,333,yes
Active,Genic,822,yes
Active,Dixon_TAD,117,yes
Active,Intergenic,1098,yes
Inactive,Inactive,44,yes
Inactive,Enhancer,106,yes
Inactive,Genic,319,yes
Inactive,Dixon_TAD,47,yes
Inactive,Intergenic,417,yes
Enhancer,Enhancer,79,yes
Enhancer,Genic,568,yes
Enhancer,Dixon_TAD,75,yes
Enhancer,Intergenic,670,yes
Genic,Genic,988,yes
Genic,Dixon_TAD,210,yes
Genic,Intergenic,1921,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,245,yes
Intergenic,Intergenic,1131,yes
Active,Active,354,yes
Active,Inactive,237,yes
Active,Enhancer,314,yes
Active,Genic,846,yes
Active,Dixon_TAD,114,yes
Active,Intergenic,918,yes
Inactive,Inactive,35,yes
Inactive,Enhancer,106,yes
Inactive,Genic,417,yes
Inactive,Dixon_TAD,45,yes
Inactive,Intergenic,410,yes
Enhancer,Enhancer,68,yes
Enhancer,Genic,524,yes
Enhancer,Dixon_TAD,58,yes
Enhancer,Intergenic,540,yes
Genic,Genic,1100,yes
Genic,Dixon_TAD,198,yes
Genic,Intergenic,1782,yes
Dixon_TAD,Dixon_TAD,5,yes
Dixon_TAD,Intergenic,201,yes
Intergenic,Intergenic,1236,yes
Active,Active,288,yes
Active,Inactive,230,yes
Active,Enhancer,274,yes
Active,Genic,819,yes
Active,Dixon_TAD,113,yes
Active,Intergenic,1059,yes
Inactive,Inactive,40,yes
Inactive,Enhancer,107,yes
Inactive,Genic,368,yes
Inactive,Dixon_TAD,51,yes
Inactive,Intergenic,419,yes
Enhancer,Enhancer,79,yes
Enhancer,Genic,521,yes
Enhancer,Dixon_TAD,69,yes
Enhancer,Intergenic,553,yes
Genic,Genic,1042,yes
Genic,Dixon_TAD,233,yes
Genic,Intergenic,2010,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,276,yes
Intergenic,Intergenic,1064,yes
Active,Active,276,yes
Active,Inactive,215,yes
Active,Enhancer,303,yes
Active,Genic,727,yes
Active,Dixon_TAD,102,yes
Active,Intergenic,1002,yes
Inactive,Inactive,53,yes
Inactive,Enhancer,138,yes
Inactive,Genic,354,yes
Inactive,Dixon_TAD,51,yes
