class1,class2,count,permuted
Active,Active,287,yes
Active,Inactive,294,yes
Active,Enhancer,286,yes
Active,Genic,819,yes
Active,Dixon_TAD,129,yes
Active,Intergenic,973,yes
Inactive,Inactive,89,yes
Inactive,Enhancer,180,yes
Inactive,Genic,492,yes
Inactive,Dixon_TAD,50,yes
Inactive,Intergenic,478,yes
Enhancer,Enhancer,88,yes
Enhancer,Genic,592,yes
Enhancer,Dixon_TAD,61,yes
Enhancer,Intergenic,587,yes
Genic,Genic,1079,yes
Genic,Dixon_TAD,229,yes
Genic,Intergenic,1900,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,195,yes
Intergenic,Intergenic,1047,yes
Active,Active,237,yes
Active,Inactive,172,yes
Active,Enhancer,244,yes
Active,Genic,674,yes
Active,Dixon_TAD,113,yes
Active,Intergenic,909,yes
Inactive,Inactive,44,yes
Inactive,Enhancer,116,yes
Inactive,Genic,318,yes
Inactive,Dixon_TAD,55,yes
Inactive,Intergenic,418,yes
Enhancer,Enhancer,77,yes
Enhancer,Genic,490,yes
Enhancer,Dixon_TAD,62,yes
Enhancer,Intergenic,592,yes
Genic,Genic,883,yes
Genic,Dixon_TAD,229,yes
Genic,Intergenic,1874,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,291,yes
Intergenic,Intergenic,1356,yes
Active,Active,290,yes
Active,Inactive,235,yes
Active,Enhancer,287,yes
Active,Genic,718,yes
Active,Dixon_TAD,108,yes
Active,Intergenic,901,yes
Inactive,Inactive,91,yes
Inactive,Enhancer,108,yes
Inactive,Genic,390,yes
Inactive,Dixon_TAD,56,yes
Inactive,Intergenic,523,yes
Enhancer,Enhancer,83,yes
Enhancer,Genic,465,yes
Enhancer,Dixon_TAD,66,yes
Enhancer,Intergenic,493,yes
Genic,Genic,911,yes
Genic,Dixon_TAD,209,yes
Genic,Intergenic,1900,yes
Dixon_TAD,Dixon_TAD,18,yes
Dixon_TAD,Intergenic,220,yes
Intergenic,Intergenic,1343,yes
Active,Active,339,yes
Active,Inactive,245,yes
Active,Enhancer,325,yes
Active,Genic,857,yes
Active,Dixon_TAD,136,yes
Active,Intergenic,946,yes
Inactive,Inactive,91,yes
Inactive,Enhancer,113,yes
Inactive,Genic,407,yes
Inactive,Dixon_TAD,43,yes
Inactive,Intergenic,493,yes
Enhancer,Enhancer,87,yes
Enhancer,Genic,549,yes
Enhancer,Dixon_TAD,60,yes
Enhancer,Intergenic,517,yes
Genic,Genic,1132,yes
Genic,Dixon_TAD,227,yes
Genic,Intergenic,1956,yes
Dixon_TAD,Dixon_TAD,13,yes
Dixon_TAD,Intergenic,179,yes
Intergenic,Intergenic,1058,yes
Active,Active,286,yes
Active,Inactive,240,yes
Active,Enhancer,303,yes
Active,Genic,774,yes
Active,Dixon_TAD,109,yes
Active,Intergenic,1026,yes
Inactive,Inactive,40,yes
Inactive,Enhancer,123,yes
Inactive,Genic,367,yes
Inactive,Dixon_TAD,48,yes
Inactive,Intergenic,330,yes
Enhancer,Enhancer,86,yes
Enhancer,Genic,559,yes
Enhancer,Dixon_TAD,59,yes
Enhancer,Intergenic,588,yes
Genic,Genic,938,yes
Genic,Dixon_TAD,204,yes
Genic,Intergenic,1776,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,260,yes
Intergenic,Intergenic,1312,yes
Active,Active,239,yes
Active,Inactive,245,yes
Active,Enhancer,270,yes
Active,Genic,726,yes
Active,Dixon_TAD,92,yes
Active,Intergenic,1121,yes
Inactive,Inactive,38,yes
Inactive,Enhancer,146,yes
Inactive,Genic,366,yes
Inactive,Dixon_TAD,31,yes
Inactive,Intergenic,433,yes
Enhancer,Enhancer,78,yes
Enhancer,Genic,525,yes
Enhancer,Dixon_TAD,59,yes
Enhancer,Intergenic,589,yes
Genic,Genic,884,yes
Genic,Dixon_TAD,173,yes
Genic,Intergenic,2068,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,217,yes
Intergenic,Intergenic,1145,yes
Active,Active,254,yes
Active,Inactive,224,yes
Active,Enhancer,239,yes
Active,Genic,706,yes
Active,Dixon_TAD,105,yes
Active,Intergenic,796,yes
