class1,class2,count,permuted
Active,Active,293,yes
Active,Inactive,211,yes
Active,Enhancer,276,yes
Active,Genic,738,yes
Active,Dixon_TAD,133,yes
Active,Intergenic,1067,yes
Inactive,Inactive,38,yes
Inactive,Enhancer,140,yes
Inactive,Genic,360,yes
Inactive,Dixon_TAD,68,yes
Inactive,Intergenic,524,yes
Enhancer,Enhancer,91,yes
Enhancer,Genic,537,yes
Enhancer,Dixon_TAD,58,yes
Enhancer,Intergenic,522,yes
Genic,Genic,951,yes
Genic,Dixon_TAD,249,yes
Genic,Intergenic,1983,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,204,yes
Intergenic,Intergenic,1181,yes
Active,Active,336,yes
Active,Inactive,340,yes
Active,Enhancer,295,yes
Active,Genic,882,yes
Active,Dixon_TAD,102,yes
Active,Intergenic,766,yes
Inactive,Inactive,102,yes
Inactive,Enhancer,172,yes
Inactive,Genic,563,yes
Inactive,Dixon_TAD,71,yes
Inactive,Intergenic,509,yes
Enhancer,Enhancer,90,yes
Enhancer,Genic,557,yes
Enhancer,Dixon_TAD,66,yes
Enhancer,Intergenic,459,yes
Genic,Genic,1141,yes
Genic,Dixon_TAD,218,yes
Genic,Intergenic,1695,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,189,yes
Intergenic,Intergenic,1277,yes
Active,Active,339,yes
Active,Inactive,223,yes
Active,Enhancer,384,yes
Active,Genic,863,yes
Active,Dixon_TAD,121,yes
Active,Intergenic,884,yes
Inactive,Inactive,83,yes
Inactive,Enhancer,157,yes
Inactive,Genic,399,yes
Inactive,Dixon_TAD,55,yes
Inactive,Intergenic,527,yes
Enhancer,Enhancer,113,yes
Enhancer,Genic,706,yes
Enhancer,Dixon_TAD,92,yes
Enhancer,Intergenic,539,yes
Genic,Genic,1111,yes
Genic,Dixon_TAD,217,yes
Genic,Intergenic,1876,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,207,yes
Intergenic,Intergenic,971,yes
Active,Active,269,yes
Active,Inactive,221,yes
Active,Enhancer,307,yes
Active,Genic,749,yes
Active,Dixon_TAD,89,yes
Active,Intergenic,1012,yes
Inactive,Inactive,56,yes
Inactive,Enhancer,148,yes
Inactive,Genic,358,yes
Inactive,Dixon_TAD,52,yes
Inactive,Intergenic,431,yes
Enhancer,Enhancer,120,yes
Enhancer,Genic,602,yes
Enhancer,Dixon_TAD,54,yes
Enhancer,Intergenic,633,yes
Genic,Genic,977,yes
Genic,Dixon_TAD,187,yes
Genic,Intergenic,1940,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,184,yes
Intergenic,Intergenic,1152,yes
Active,Active,340,yes
Active,Inactive,169,yes
Active,Enhancer,237,yes
Active,Genic,763,yes
Active,Dixon_TAD,96,yes
Active,Intergenic,1064,yes
Inactive,Inactive,24,yes
Inactive,Enhancer,72,yes
Inactive,Genic,277,yes
Inactive,Dixon_TAD,28,yes
Inactive,Intergenic,360,yes
Enhancer,Enhancer,75,yes
Enhancer,Genic,433,yes
Enhancer,Dixon_TAD,44,yes
Enhancer,Intergenic,550,yes
Genic,Genic,934,yes
Genic,Dixon_TAD,163,yes
Genic,Intergenic,2028,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,235,yes
Intergenic,Intergenic,1192,yes
Active,Active,279,yes
Active,Inactive,267,yes
Active,Enhancer,334,yes
Active,Genic,795,yes
Active,Dixon_TAD,126,yes
Active,Intergenic,1086,yes
Inactive,Inactive,43,yes
Inactive,Enhancer,139,yes
Inactive,Genic,408,yes
Inactive,Dixon_TAD,62,yes
Inactive,Intergenic,479,yes
Enhancer,Enhancer,104,yes
Enhancer,Genic,617,yes
Enhancer,Dixon_TAD,67,yes
Enhancer,Intergenic,611,yes
Genic,Genic,984,yes
Genic,Dixon_TAD,228,yes
Genic,Intergenic,1985,yes
Dixon_TAD,Dixon_TAD,15,yes
Dixon_TAD,Intergenic,279,yes
Intergenic,Intergenic,1038,yes
Active,Active,273,yes
Active,Inactive,277,yes
Active,Enhancer,241,yes
Active,Genic,770,yes
Active,Dixon_TAD,110,yes
Active,Intergenic,1021,yes
Inactive,Inactive,56,yes
Inactive,Enhancer,117,yes
Inactive,Genic,453,yes
Inactive,Dixon_TAD,57,yes
Inactive,Intergenic,422,yes
Enhancer,Enhancer,67,yes
Enhancer,Genic,468,yes
Enhancer,Dixon_TAD,59,yes
Enhancer,Intergenic,506,yes
Genic,Genic,1000,yes
Genic,Dixon_TAD,215,yes
Genic,Intergenic,1829,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,221,yes
Intergenic,Intergenic,1378,yes
Active,Active,281,yes
Active,Inactive,240,yes
Active,Enhancer,266,yes
Active,Genic,681,yes
Active,Dixon_TAD,89,yes
Active,Intergenic,908,yes
Inactive,Inactive,73,yes
Inactive,Enhancer,136,yes
Inactive,Genic,435,yes
Inactive,Dixon_TAD,26,yes
Inactive,Intergenic,622,yes
Enhancer,Enhancer,72,yes
Enhancer,Genic,496,yes
Enhancer,Dixon_TAD,46,yes
Enhancer,Intergenic,516,yes
Genic,Genic,937,yes
Genic,Dixon_TAD,144,yes
Genic,Intergenic,2019,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,171,yes
Intergenic,Intergenic,1228,yes
Active,Active,308,yes
Active,Inactive,192,yes
Active,Enhancer,314,yes
Active,Genic,790,yes
Active,Dixon_TAD,107,yes
Active,Intergenic,996,yes
Inactive,Inactive,43,yes
Inactive,Enhancer,89,yes
Inactive,Genic,307,yes
Inactive,Dixon_TAD,45,yes
Inactive,Intergenic,363,yes
Enhancer,Enhancer,74,yes
Enhancer,Genic,523,yes
Enhancer,Dixon_TAD,38,yes
