class1,class2,count,permuted
Active,Active,252,yes
Active,Inactive,232,yes
Active,Enhancer,267,yes
Active,Genic,786,yes
Active,Dixon_TAD,82,yes
Active,Intergenic,935,yes
Inactive,Inactive,54,yes
Inactive,Enhancer,107,yes
Inactive,Genic,397,yes
Inactive,Dixon_TAD,43,yes
Inactive,Intergenic,469,yes
Enhancer,Enhancer,77,yes
Enhancer,Genic,478,yes
Enhancer,Dixon_TAD,38,yes
Enhancer,Intergenic,534,yes
Genic,Genic,1052,yes
Genic,Dixon_TAD,168,yes
Genic,Intergenic,1873,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,198,yes
Intergenic,Intergenic,1307,yes
Active,Active,241,yes
Active,Inactive,204,yes
Active,Enhancer,216,yes
Active,Genic,651,yes
Active,Dixon_TAD,88,yes
Active,Intergenic,813,yes
Inactive,Inactive,63,yes
Inactive,Enhancer,126,yes
Inactive,Genic,365,yes
Inactive,Dixon_TAD,41,yes
Inactive,Intergenic,640,yes
Enhancer,Enhancer,78,yes
Enhancer,Genic,464,yes
Enhancer,Dixon_TAD,48,yes
Enhancer,Intergenic,497,yes
Genic,Genic,902,yes
Genic,Dixon_TAD,196,yes
Genic,Intergenic,2008,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,208,yes
Intergenic,Intergenic,1213,yes
Active,Active,306,yes
Active,Inactive,174,yes
Active,Enhancer,304,yes
Active,Genic,737,yes
Active,Dixon_TAD,130,yes
Active,Intergenic,985,yes
Inactive,Inactive,63,yes
Inactive,Enhancer,103,yes
Inactive,Genic,302,yes
Inactive,Dixon_TAD,38,yes
Inactive,Intergenic,369,yes
Enhancer,Enhancer,88,yes
Enhancer,Genic,504,yes
Enhancer,Dixon_TAD,61,yes
Enhancer,Intergenic,508,yes
Genic,Genic,911,yes
Genic,Dixon_TAD,226,yes
Genic,Intergenic,1854,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,207,yes
Intergenic,Intergenic,1281,yes
Active,Active,429,yes
Active,Inactive,231,yes
Active,Enhancer,372,yes
Active,Genic,887,yes
Active,Dixon_TAD,130,yes
Active,Intergenic,1086,yes
Inactive,Inactive,49,yes
Inactive,Enhancer,109,yes
Inactive,Genic,368,yes
Inactive,Dixon_TAD,36,yes
Inactive,Intergenic,355,yes
Enhancer,Enhancer,92,yes
Enhancer,Genic,584,yes
Enhancer,Dixon_TAD,56,yes
Enhancer,Intergenic,586,yes
Genic,Genic,1102,yes
Genic,Dixon_TAD,205,yes
Genic,Intergenic,1844,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,179,yes
Intergenic,Intergenic,1102,yes
Active,Active,310,yes
Active,Inactive,190,yes
Active,Enhancer,282,yes
Active,Genic,833,yes
Active,Dixon_TAD,111,yes
Active,Intergenic,912,yes
Inactive,Inactive,29,yes
Inactive,Enhancer,87,yes
Inactive,Genic,325,yes
Inactive,Dixon_TAD,44,yes
Inactive,Intergenic,352,yes
Enhancer,Enhancer,75,yes
Enhancer,Genic,523,yes
Enhancer,Dixon_TAD,64,yes
Enhancer,Intergenic,520,yes
Genic,Genic,1045,yes
Genic,Dixon_TAD,228,yes
Genic,Intergenic,1732,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,286,yes
Intergenic,Intergenic,1264,yes
Active,Active,462,yes
Active,Inactive,236,yes
Active,Enhancer,420,yes
Active,Genic,1026,yes
Active,Dixon_TAD,148,yes
Active,Intergenic,1145,yes
Inactive,Inactive,33,yes
Inactive,Enhancer,118,yes
Inactive,Genic,359,yes
Inactive,Dixon_TAD,25,yes
Inactive,Intergenic,382,yes
Enhancer,Enhancer,110,yes
Enhancer,Genic,679,yes
Enhancer,Dixon_TAD,69,yes
Enhancer,Intergenic,532,yes
Genic,Genic,1190,yes
Genic,Dixon_TAD,219,yes
Genic,Intergenic,1884,yes
Dixon_TAD,Dixon_TAD,15,yes
Dixon_TAD,Intergenic,183,yes
Intergenic,Intergenic,1053,yes
Active,Active,512,yes
Active,Inactive,203,yes
Active,Enhancer,428,yes
Active,Genic,1035,yes
Active,Dixon_TAD,144,yes
Active,Intergenic,932,yes
Inactive,Inactive,78,yes
Inactive,Enhancer,97,yes
Inactive,Genic,396,yes
Inactive,Dixon_TAD,45,yes
Inactive,Intergenic,404,yes
Enhancer,Enhancer,93,yes
Enhancer,Genic,647,yes
Enhancer,Dixon_TAD,75,yes
Enhancer,Intergenic,502,yes
Genic,Genic,1294,yes
Genic,Dixon_TAD,261,yes
Genic,Intergenic,1778,yes
Dixon_TAD,Dixon_TAD,13,yes
Dixon_TAD,Intergenic,206,yes
Intergenic,Intergenic,1090,yes
Active,Active,338,yes
Active,Inactive,220,yes
Active,Enhancer,289,yes
Active,Genic,850,yes
Active,Dixon_TAD,103,yes
Active,Intergenic,926,yes
Inactive,Inactive,47,yes
Inactive,Enhancer,115,yes
Inactive,Genic,370,yes
Inactive,Dixon_TAD,35,yes
Inactive,Intergenic,508,yes
Enhancer,Enhancer,79,yes
Enhancer,Genic,505,yes
Enhancer,Dixon_TAD,57,yes
Enhancer,Intergenic,538,yes
Genic,Genic,1034,yes
Genic,Dixon_TAD,184,yes
Genic,Intergenic,1861,yes
Dixon_TAD,Dixon_TAD,6,yes
Dixon_TAD,Intergenic,190,yes
Intergenic,Intergenic,1275,yes
Active,Active,287,yes
Active,Inactive,205,yes
Active,Enhancer,284,yes
Active,Genic,681,yes
Active,Dixon_TAD,131,yes
Active,Intergenic,1096,yes
Inactive,Inactive,54,yes
Inactive,Enhancer,100,yes
Inactive,Genic,334,yes
Inactive,Dixon_TAD,47,yes
Inactive,Intergenic,494,yes
Enhancer,Enhancer,76,yes
Enhancer,Genic,476,yes
Enhancer,Dixon_TAD,66,yes
Enhancer,Intergenic,556,yes
Genic,Genic,846,yes
Genic,Dixon_TAD,223,yes
Genic,Intergenic,1944,yes
Dixon_TAD,Dixon_TAD,25,yes
Dixon_TAD,Intergenic,272,yes
Intergenic,Intergenic,1281,yes
Active,Active,262,yes
Active,Inactive,180,yes
Active,Enhancer,296,yes
Active,Genic,697,yes
Active,Dixon_TAD,87,yes
Active,Intergenic,929,yes
Inactive,Inactive,30,yes
Inactive,Enhancer,94,yes
Inactive,Genic,298,yes
Inactive,Dixon_TAD,44,yes
Inactive,Intergenic,326,yes
Enhancer,Enhancer,98,yes
Enhancer,Genic,528,yes
Enhancer,Dixon_TAD,60,yes
Enhancer,Intergenic,567,yes
Genic,Genic,866,yes
Genic,Dixon_TAD,191,yes
Genic,Intergenic,1769,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,232,yes
Intergenic,Intergenic,1371,yes
Active,Active,259,yes
Active,Inactive,180,yes
Active,Enhancer,273,yes
Active,Genic,693,yes
Active,Dixon_TAD,85,yes
Active,Intergenic,924,yes
Inactive,Inactive,68,yes
Inactive,Enhancer,106,yes
Inactive,Genic,328,yes
Inactive,Dixon_TAD,48,yes
Inactive,Intergenic,428,yes
Enhancer,Enhancer,76,yes
Enhancer,Genic,552,yes
Enhancer,Dixon_TAD,51,yes
Enhancer,Intergenic,617,yes
Genic,Genic,948,yes
Genic,Dixon_TAD,188,yes
Genic,Intergenic,1899,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,195,yes
Intergenic,Intergenic,1197,yes
Active,Active,274,yes
Active,Inactive,228,yes
Active,Enhancer,282,yes
Active,Genic,744,yes
Active,Dixon_TAD,113,yes
Active,Intergenic,1051,yes
Inactive,Inactive,49,yes
Inactive,Enhancer,122,yes
Inactive,Genic,376,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,456,yes
Enhancer,Enhancer,76,yes
Enhancer,Genic,545,yes
Enhancer,Dixon_TAD,53,yes
Enhancer,Intergenic,535,yes
Genic,Genic,949,yes
Genic,Dixon_TAD,211,yes
Genic,Intergenic,2007,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,208,yes
Intergenic,Intergenic,1112,yes
Active,Active,282,yes
Active,Inactive,170,yes
Active,Enhancer,284,yes
Active,Genic,679,yes
Active,Dixon_TAD,109,yes
Active,Intergenic,1064,yes
Inactive,Inactive,39,yes
Inactive,Enhancer,110,yes
Inactive,Genic,368,yes
Inactive,Dixon_TAD,32,yes
Inactive,Intergenic,310,yes
Enhancer,Enhancer,78,yes
Enhancer,Genic,539,yes
Enhancer,Dixon_TAD,49,yes
Enhancer,Intergenic,550,yes
Genic,Genic,949,yes
Genic,Dixon_TAD,195,yes
Genic,Intergenic,1872,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,255,yes
Intergenic,Intergenic,1225,yes
Active,Active,364,yes
Active,Inactive,216,yes
Active,Enhancer,333,yes
Active,Genic,847,yes
Active,Dixon_TAD,114,yes
Active,Intergenic,977,yes
Inactive,Inactive,68,yes
Inactive,Enhancer,119,yes
Inactive,Genic,373,yes
Inactive,Dixon_TAD,37,yes
Inactive,Intergenic,383,yes
Enhancer,Enhancer,101,yes
Enhancer,Genic,572,yes
Enhancer,Dixon_TAD,64,yes
Enhancer,Intergenic,506,yes
Genic,Genic,1057,yes
Genic,Dixon_TAD,202,yes
Genic,Intergenic,1880,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,211,yes
Intergenic,Intergenic,1235,yes
Active,Active,400,yes
Active,Inactive,226,yes
Active,Enhancer,388,yes
Active,Genic,908,yes
Active,Dixon_TAD,137,yes
Active,Intergenic,1078,yes
Inactive,Inactive,34,yes
Inactive,Enhancer,131,yes
Inactive,Genic,388,yes
Inactive,Dixon_TAD,43,yes
Inactive,Intergenic,324,yes
Enhancer,Enhancer,112,yes
Enhancer,Genic,680,yes
Enhancer,Dixon_TAD,79,yes
Enhancer,Intergenic,575,yes
Genic,Genic,1150,yes
Genic,Dixon_TAD,239,yes
Genic,Intergenic,1978,yes
Dixon_TAD,Dixon_TAD,13,yes
Dixon_TAD,Intergenic,198,yes
Intergenic,Intergenic,952,yes
Active,Active,322,yes
Active,Inactive,230,yes
Active,Enhancer,295,yes
Active,Genic,809,yes
Active,Dixon_TAD,126,yes
Active,Intergenic,1080,yes
Inactive,Inactive,62,yes
Inactive,Enhancer,106,yes
Inactive,Genic,388,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,400,yes
Enhancer,Enhancer,90,yes
Enhancer,Genic,513,yes
Enhancer,Dixon_TAD,63,yes
Enhancer,Intergenic,554,yes
Genic,Genic,1000,yes
Genic,Dixon_TAD,221,yes
Genic,Intergenic,1920,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,195,yes
Intergenic,Intergenic,1157,yes
Active,Active,403,yes
Active,Inactive,273,yes
Active,Enhancer,354,yes
Active,Genic,1014,yes
Active,Dixon_TAD,148,yes
Active,Intergenic,1167,yes
Inactive,Inactive,52,yes
Inactive,Enhancer,96,yes
Inactive,Genic,440,yes
Inactive,Dixon_TAD,44,yes
Inactive,Intergenic,395,yes
Enhancer,Enhancer,81,yes
Enhancer,Genic,579,yes
Enhancer,Dixon_TAD,57,yes
Enhancer,Intergenic,476,yes
Genic,Genic,1245,yes
Genic,Dixon_TAD,233,yes
Genic,Intergenic,1976,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,220,yes
Intergenic,Intergenic,925,yes
Active,Active,341,yes
Active,Inactive,387,yes
Active,Enhancer,344,yes
Active,Genic,953,yes
Active,Dixon_TAD,115,yes
Active,Intergenic,937,yes
Inactive,Inactive,106,yes
Inactive,Enhancer,178,yes
Inactive,Genic,625,yes
Inactive,Dixon_TAD,34,yes
Inactive,Intergenic,567,yes
Enhancer,Enhancer,88,yes
Enhancer,Genic,649,yes
Enhancer,Dixon_TAD,60,yes
Enhancer,Intergenic,562,yes
Genic,Genic,1249,yes
Genic,Dixon_TAD,204,yes
Genic,Intergenic,1899,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,191,yes
Intergenic,Intergenic,934,yes
Active,Active,317,yes
Active,Inactive,296,yes
Active,Enhancer,344,yes
Active,Genic,848,yes
Active,Dixon_TAD,104,yes
Active,Intergenic,1105,yes
Inactive,Inactive,67,yes
Inactive,Enhancer,152,yes
Inactive,Genic,442,yes
Inactive,Dixon_TAD,43,yes
Inactive,Intergenic,421,yes
Enhancer,Enhancer,102,yes
Enhancer,Genic,636,yes
Enhancer,Dixon_TAD,54,yes
Enhancer,Intergenic,562,yes
Genic,Genic,1100,yes
Genic,Dixon_TAD,192,yes
