class1,class2,count,permuted
Active,Active,311,yes
Active,Inactive,246,yes
Active,Enhancer,307,yes
Active,Genic,782,yes
Active,Dixon_TAD,131,yes
Active,Intergenic,1080,yes
Inactive,Inactive,50,yes
Inactive,Enhancer,110,yes
Inactive,Genic,382,yes
Inactive,Dixon_TAD,52,yes
Inactive,Intergenic,375,yes
Enhancer,Enhancer,108,yes
Enhancer,Genic,536,yes
Enhancer,Dixon_TAD,84,yes
Enhancer,Intergenic,639,yes
Genic,Genic,979,yes
Genic,Dixon_TAD,228,yes
Genic,Intergenic,1846,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,256,yes
Intergenic,Intergenic,1114,yes
Active,Active,341,yes
Active,Inactive,260,yes
Active,Enhancer,378,yes
Active,Genic,867,yes
Active,Dixon_TAD,110,yes
Active,Intergenic,940,yes
Inactive,Inactive,85,yes
Inactive,Enhancer,143,yes
Inactive,Genic,460,yes
Inactive,Dixon_TAD,61,yes
Inactive,Intergenic,558,yes
Enhancer,Enhancer,102,yes
Enhancer,Genic,643,yes
Enhancer,Dixon_TAD,63,yes
Enhancer,Intergenic,578,yes
Genic,Genic,1099,yes
Genic,Dixon_TAD,213,yes
Genic,Intergenic,1949,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,161,yes
Intergenic,Intergenic,1052,yes
Active,Active,247,yes
Active,Inactive,288,yes
Active,Enhancer,260,yes
Active,Genic,752,yes
Active,Dixon_TAD,108,yes
Active,Intergenic,770,yes
Inactive,Inactive,77,yes
Inactive,Enhancer,140,yes
Inactive,Genic,444,yes
Inactive,Dixon_TAD,61,yes
Inactive,Intergenic,478,yes
Enhancer,Enhancer,91,yes
Enhancer,Genic,528,yes
Enhancer,Dixon_TAD,61,yes
Enhancer,Intergenic,498,yes
Genic,Genic,966,yes
Genic,Dixon_TAD,217,yes
Genic,Intergenic,1713,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,248,yes
Intergenic,Intergenic,1291,yes
Active,Active,283,yes
Active,Inactive,209,yes
Active,Enhancer,306,yes
Active,Genic,759,yes
Active,Dixon_TAD,99,yes
Active,Intergenic,1037,yes
Inactive,Inactive,36,yes
Inactive,Enhancer,119,yes
Inactive,Genic,374,yes
Inactive,Dixon_TAD,49,yes
Inactive,Intergenic,380,yes
Enhancer,Enhancer,84,yes
Enhancer,Genic,546,yes
Enhancer,Dixon_TAD,53,yes
Enhancer,Intergenic,611,yes
Genic,Genic,1011,yes
Genic,Dixon_TAD,207,yes
Genic,Intergenic,2018,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,220,yes
Intergenic,Intergenic,1057,yes
Active,Active,328,yes
Active,Inactive,230,yes
Active,Enhancer,342,yes
Active,Genic,749,yes
Active,Dixon_TAD,114,yes
Active,Intergenic,920,yes
Inactive,Inactive,88,yes
Inactive,Enhancer,134,yes
Inactive,Genic,391,yes
Inactive,Dixon_TAD,34,yes
Inactive,Intergenic,531,yes
Enhancer,Enhancer,111,yes
Enhancer,Genic,610,yes
Enhancer,Dixon_TAD,69,yes
Enhancer,Intergenic,666,yes
Genic,Genic,964,yes
Genic,Dixon_TAD,174,yes
Genic,Intergenic,1927,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,195,yes
Intergenic,Intergenic,1128,yes
Active,Active,363,yes
Active,Inactive,239,yes
Active,Enhancer,296,yes
Active,Genic,907,yes
Active,Dixon_TAD,94,yes
Active,Intergenic,871,yes
Inactive,Inactive,81,yes
Inactive,Enhancer,141,yes
Inactive,Genic,438,yes
Inactive,Dixon_TAD,43,yes
Inactive,Intergenic,384,yes
Enhancer,Enhancer,77,yes
Enhancer,Genic,592,yes
Enhancer,Dixon_TAD,47,yes
Enhancer,Intergenic,591,yes
Genic,Genic,1153,yes
