class1,class2,count,permuted
Active,Active,280,yes
Active,Inactive,172,yes
Active,Enhancer,288,yes
Active,Genic,715,yes
Active,Dixon_TAD,109,yes
Active,Intergenic,941,yes
Inactive,Inactive,43,yes
Inactive,Enhancer,109,yes
Inactive,Genic,308,yes
Inactive,Dixon_TAD,34,yes
Inactive,Intergenic,435,yes
Enhancer,Enhancer,81,yes
Enhancer,Genic,527,yes
Enhancer,Dixon_TAD,73,yes
Enhancer,Intergenic,559,yes
Genic,Genic,903,yes
Genic,Dixon_TAD,181,yes
Genic,Intergenic,1913,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,237,yes
Intergenic,Intergenic,1273,yes
Active,Active,400,yes
Active,Inactive,256,yes
Active,Enhancer,343,yes
Active,Genic,903,yes
Active,Dixon_TAD,117,yes
Active,Intergenic,906,yes
Inactive,Inactive,129,yes
Inactive,Enhancer,147,yes
Inactive,Genic,485,yes
Inactive,Dixon_TAD,53,yes
Inactive,Intergenic,514,yes
Enhancer,Enhancer,84,yes
Enhancer,Genic,618,yes
Enhancer,Dixon_TAD,60,yes
Enhancer,Intergenic,577,yes
Genic,Genic,1207,yes
Genic,Dixon_TAD,224,yes
Genic,Intergenic,1917,yes
Dixon_TAD,Dixon_TAD,5,yes
Dixon_TAD,Intergenic,198,yes
Intergenic,Intergenic,987,yes
Active,Active,261,yes
Active,Inactive,295,yes
Active,Enhancer,288,yes
Active,Genic,766,yes
Active,Dixon_TAD,101,yes
Active,Intergenic,896,yes
Inactive,Inactive,92,yes
Inactive,Enhancer,178,yes
Inactive,Genic,550,yes
Inactive,Dixon_TAD,53,yes
Inactive,Intergenic,442,yes
Enhancer,Enhancer,90,yes
Enhancer,Genic,571,yes
Enhancer,Dixon_TAD,60,yes
Enhancer,Intergenic,610,yes
Genic,Genic,1067,yes
Genic,Dixon_TAD,213,yes
Genic,Intergenic,1820,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,216,yes
Intergenic,Intergenic,1090,yes
Active,Active,369,yes
Active,Inactive,223,yes
Active,Enhancer,343,yes
Active,Genic,883,yes
Active,Dixon_TAD,109,yes
Active,Intergenic,914,yes
Inactive,Inactive,40,yes
Inactive,Enhancer,120,yes
Inactive,Genic,331,yes
Inactive,Dixon_TAD,49,yes
Inactive,Intergenic,490,yes
Enhancer,Enhancer,77,yes
Enhancer,Genic,616,yes
Enhancer,Dixon_TAD,76,yes
Enhancer,Intergenic,603,yes
Genic,Genic,1066,yes
Genic,Dixon_TAD,204,yes
Genic,Intergenic,1895,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,172,yes
Intergenic,Intergenic,1128,yes
Active,Active,209,yes
Active,Inactive,261,yes
Active,Enhancer,230,yes
Active,Genic,683,yes
Active,Dixon_TAD,80,yes
Active,Intergenic,977,yes
Inactive,Inactive,51,yes
Inactive,Enhancer,86,yes
Inactive,Genic,412,yes
Inactive,Dixon_TAD,36,yes
Inactive,Intergenic,452,yes
Enhancer,Enhancer,67,yes
Enhancer,Genic,419,yes
Enhancer,Dixon_TAD,51,yes
Enhancer,Intergenic,508,yes
Genic,Genic,935,yes
Genic,Dixon_TAD,168,yes
Genic,Intergenic,1972,yes
Dixon_TAD,Dixon_TAD,3,yes
Dixon_TAD,Intergenic,156,yes
Intergenic,Intergenic,1286,yes
Active,Active,331,yes
Active,Inactive,242,yes
Active,Enhancer,328,yes
Active,Genic,836,yes
Active,Dixon_TAD,98,yes
Active,Intergenic,1102,yes
Inactive,Inactive,69,yes
Inactive,Enhancer,111,yes
Inactive,Genic,432,yes
Inactive,Dixon_TAD,41,yes
Inactive,Intergenic,418,yes
Enhancer,Enhancer,94,yes
Enhancer,Genic,575,yes
Enhancer,Dixon_TAD,58,yes
Enhancer,Intergenic,516,yes
Genic,Genic,1093,yes
Genic,Dixon_TAD,198,yes
Genic,Intergenic,2049,yes
