class1,class2,count,permuted
Active,Active,315,yes
Active,Inactive,349,yes
Active,Enhancer,316,yes
Active,Genic,887,yes
Active,Dixon_TAD,134,yes
Active,Intergenic,1017,yes
Inactive,Inactive,107,yes
Inactive,Enhancer,194,yes
Inactive,Genic,600,yes
Inactive,Dixon_TAD,70,yes
Inactive,Intergenic,623,yes
Enhancer,Enhancer,94,yes
Enhancer,Genic,606,yes
Enhancer,Dixon_TAD,52,yes
Enhancer,Intergenic,566,yes
Genic,Genic,1180,yes
Genic,Dixon_TAD,238,yes
Genic,Intergenic,2073,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,186,yes
Intergenic,Intergenic,880,yes
Active,Active,380,yes
Active,Inactive,152,yes
Active,Enhancer,366,yes
Active,Genic,788,yes
Active,Dixon_TAD,122,yes
Active,Intergenic,1144,yes
Inactive,Inactive,44,yes
Inactive,Enhancer,105,yes
Inactive,Genic,264,yes
Inactive,Dixon_TAD,24,yes
Inactive,Intergenic,356,yes
Enhancer,Enhancer,93,yes
Enhancer,Genic,607,yes
Enhancer,Dixon_TAD,77,yes
Enhancer,Intergenic,619,yes
Genic,Genic,965,yes
Genic,Dixon_TAD,192,yes
Genic,Intergenic,1957,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,207,yes
Intergenic,Intergenic,1132,yes
Active,Active,324,yes
Active,Inactive,264,yes
Active,Enhancer,372,yes
Active,Genic,804,yes
Active,Dixon_TAD,108,yes
Active,Intergenic,853,yes
Inactive,Inactive,54,yes
Inactive,Enhancer,171,yes
Inactive,Genic,425,yes
Inactive,Dixon_TAD,46,yes
Inactive,Intergenic,526,yes
Enhancer,Enhancer,142,yes
Enhancer,Genic,661,yes
Enhancer,Dixon_TAD,89,yes
Enhancer,Intergenic,546,yes
Genic,Genic,1009,yes
Genic,Dixon_TAD,213,yes
Genic,Intergenic,1794,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,205,yes
Intergenic,Intergenic,1213,yes
Active,Active,264,yes
Active,Inactive,239,yes
Active,Enhancer,262,yes
Active,Genic,790,yes
Active,Dixon_TAD,86,yes
Active,Intergenic,949,yes
Inactive,Inactive,47,yes
Inactive,Enhancer,127,yes
Inactive,Genic,412,yes
Inactive,Dixon_TAD,42,yes
Inactive,Intergenic,392,yes
Enhancer,Enhancer,75,yes
Enhancer,Genic,508,yes
Enhancer,Dixon_TAD,57,yes
Enhancer,Intergenic,550,yes
Genic,Genic,1048,yes
