class1,class2,count,permuted
Active,Active,255,yes
Active,Inactive,207,yes
Active,Enhancer,244,yes
Active,Genic,688,yes
Active,Dixon_TAD,131,yes
Active,Intergenic,958,yes
Inactive,Inactive,54,yes
Inactive,Enhancer,132,yes
Inactive,Genic,361,yes
Inactive,Dixon_TAD,37,yes
Inactive,Intergenic,478,yes
Enhancer,Enhancer,75,yes
Enhancer,Genic,500,yes
Enhancer,Dixon_TAD,65,yes
Enhancer,Intergenic,588,yes
Genic,Genic,922,yes
Genic,Dixon_TAD,221,yes
Genic,Intergenic,2002,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,222,yes
Intergenic,Intergenic,1185,yes
Active,Active,271,yes
Active,Inactive,228,yes
Active,Enhancer,293,yes
Active,Genic,785,yes
Active,Dixon_TAD,112,yes
Active,Intergenic,912,yes
Inactive,Inactive,93,yes
Inactive,Enhancer,125,yes
Inactive,Genic,383,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,349,yes
Enhancer,Enhancer,95,yes
Enhancer,Genic,563,yes
Enhancer,Dixon_TAD,55,yes
Enhancer,Intergenic,570,yes
Genic,Genic,1032,yes
Genic,Dixon_TAD,200,yes
Genic,Intergenic,1853,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,208,yes
Intergenic,Intergenic,1256,yes
Active,Active,434,yes
Active,Inactive,249,yes
Active,Enhancer,347,yes
Active,Genic,1041,yes
Active,Dixon_TAD,129,yes
Active,Intergenic,927,yes
Inactive,Inactive,87,yes
Inactive,Enhancer,113,yes
Inactive,Genic,457,yes
Inactive,Dixon_TAD,45,yes
Inactive,Intergenic,378,yes
Enhancer,Enhancer,82,yes
Enhancer,Genic,608,yes
Enhancer,Dixon_TAD,47,yes
Enhancer,Intergenic,410,yes
Genic,Genic,1358,yes
Genic,Dixon_TAD,241,yes
Genic,Intergenic,1898,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,183,yes
Intergenic,Intergenic,983,yes
Active,Active,262,yes
