class1,class2,count,permuted
Active,Active,454,yes
Active,Inactive,309,yes
Active,Enhancer,404,yes
Active,Genic,1087,yes
Active,Dixon_TAD,160,yes
Active,Intergenic,1088,yes
Inactive,Inactive,54,yes
Inactive,Enhancer,144,yes
Inactive,Genic,467,yes
Inactive,Dixon_TAD,77,yes
Inactive,Intergenic,402,yes
Enhancer,Enhancer,127,yes
Enhancer,Genic,708,yes
Enhancer,Dixon_TAD,92,yes
Enhancer,Intergenic,574,yes
Genic,Genic,1323,yes
Genic,Dixon_TAD,297,yes
Genic,Intergenic,1895,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,207,yes
Intergenic,Intergenic,828,yes
Active,Active,335,yes
Active,Inactive,270,yes
Active,Enhancer,309,yes
Active,Genic,910,yes
Active,Dixon_TAD,146,yes
Active,Intergenic,1046,yes
Inactive,Inactive,90,yes
Inactive,Enhancer,113,yes
Inactive,Genic,419,yes
Inactive,Dixon_TAD,50,yes
Inactive,Intergenic,395,yes
Enhancer,Enhancer,62,yes
Enhancer,Genic,526,yes
Enhancer,Dixon_TAD,59,yes
Enhancer,Intergenic,403,yes
Genic,Genic,1112,yes
Genic,Dixon_TAD,251,yes
Genic,Intergenic,1987,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,196,yes
Intergenic,Intergenic,1133,yes
Active,Active,285,yes
Active,Inactive,231,yes
Active,Enhancer,232,yes
Active,Genic,721,yes
Active,Dixon_TAD,100,yes
Active,Intergenic,1038,yes
Inactive,Inactive,62,yes
Inactive,Enhancer,120,yes
Inactive,Genic,358,yes
Inactive,Dixon_TAD,47,yes
Inactive,Intergenic,501,yes
Enhancer,Enhancer,59,yes
Enhancer,Genic,461,yes
Enhancer,Dixon_TAD,58,yes
Enhancer,Intergenic,534,yes
Genic,Genic,888,yes
Genic,Dixon_TAD,195,yes
Genic,Intergenic,1993,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,242,yes
Intergenic,Intergenic,1230,yes
Active,Active,291,yes
Active,Inactive,314,yes
Active,Enhancer,324,yes
Active,Genic,864,yes
Active,Dixon_TAD,110,yes
Active,Intergenic,1127,yes
Inactive,Inactive,65,yes
Inactive,Enhancer,138,yes
Inactive,Genic,480,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,444,yes
Enhancer,Enhancer,116,yes
Enhancer,Genic,610,yes
Enhancer,Dixon_TAD,66,yes
Enhancer,Intergenic,507,yes
Genic,Genic,1099,yes
Genic,Dixon_TAD,191,yes
Genic,Intergenic,2048,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,188,yes
Intergenic,Intergenic,1018,yes
Active,Active,363,yes
Active,Inactive,230,yes
Active,Enhancer,359,yes
Active,Genic,846,yes
Active,Dixon_TAD,163,yes
Active,Intergenic,1100,yes
Inactive,Inactive,50,yes
Inactive,Enhancer,105,yes
Inactive,Genic,391,yes
