class1,class2,count,permuted
Active,Active,253,yes
Active,Inactive,274,yes
Active,Enhancer,276,yes
Active,Genic,818,yes
Active,Dixon_TAD,109,yes
Active,Intergenic,1028,yes
Inactive,Inactive,113,yes
Inactive,Enhancer,132,yes
Inactive,Genic,496,yes
Inactive,Dixon_TAD,64,yes
Inactive,Intergenic,476,yes
Enhancer,Enhancer,72,yes
Enhancer,Genic,513,yes
Enhancer,Dixon_TAD,61,yes
Enhancer,Intergenic,470,yes
Genic,Genic,1091,yes
Genic,Dixon_TAD,231,yes
Genic,Intergenic,1966,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,253,yes
Intergenic,Intergenic,1145,yes
Active,Active,301,yes
Active,Inactive,213,yes
Active,Enhancer,225,yes
Active,Genic,781,yes
Active,Dixon_TAD,112,yes
Active,Intergenic,1100,yes
Inactive,Inactive,63,yes
Inactive,Enhancer,106,yes
Inactive,Genic,358,yes
Inactive,Dixon_TAD,43,yes
Inactive,Intergenic,426,yes
Enhancer,Enhancer,48,yes
Enhancer,Genic,421,yes
Enhancer,Dixon_TAD,42,yes
Enhancer,Intergenic,566,yes
Genic,Genic,956,yes
Genic,Dixon_TAD,191,yes
Genic,Intergenic,1967,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,207,yes
Intergenic,Intergenic,1270,yes
Active,Active,288,yes
Active,Inactive,229,yes
Active,Enhancer,314,yes
Active,Genic,753,yes
Active,Dixon_TAD,103,yes
Active,Intergenic,1029,yes
Inactive,Inactive,70,yes
Inactive,Enhancer,138,yes
Inactive,Genic,400,yes
Inactive,Dixon_TAD,43,yes
Inactive,Intergenic,532,yes
Enhancer,Enhancer,84,yes
Enhancer,Genic,606,yes
Enhancer,Dixon_TAD,58,yes
Enhancer,Intergenic,579,yes
Genic,Genic,966,yes
Genic,Dixon_TAD,182,yes
Genic,Intergenic,2040,yes
Dixon_TAD,Dixon_TAD,4,yes
Dixon_TAD,Intergenic,227,yes
Intergenic,Intergenic,1092,yes
Active,Active,467,yes
Active,Inactive,217,yes
Active,Enhancer,339,yes
Active,Genic,945,yes
Active,Dixon_TAD,131,yes
Active,Intergenic,1063,yes
Inactive,Inactive,58,yes
Inactive,Enhancer,92,yes
Inactive,Genic,369,yes
Inactive,Dixon_TAD,31,yes
Inactive,Intergenic,348,yes
Enhancer,Enhancer,88,yes
Enhancer,Genic,536,yes
Enhancer,Dixon_TAD,57,yes
Enhancer,Intergenic,560,yes
Genic,Genic,1158,yes
Genic,Dixon_TAD,202,yes
Genic,Intergenic,1918,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,178,yes
Intergenic,Intergenic,1118,yes
Active,Active,201,yes
Active,Inactive,212,yes
Active,Enhancer,196,yes
Active,Genic,581,yes
Active,Dixon_TAD,92,yes
Active,Intergenic,892,yes
Inactive,Inactive,70,yes
Inactive,Enhancer,91,yes
Inactive,Genic,369,yes
Inactive,Dixon_TAD,36,yes
Inactive,Intergenic,519,yes
Enhancer,Enhancer,40,yes
Enhancer,Genic,386,yes
Enhancer,Dixon_TAD,47,yes
Enhancer,Intergenic,543,yes
Genic,Genic,782,yes
Genic,Dixon_TAD,169,yes
Genic,Intergenic,1892,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,209,yes
Intergenic,Intergenic,1479,yes
Active,Active,489,yes
Active,Inactive,262,yes
Active,Enhancer,386,yes
Active,Genic,1062,yes
Active,Dixon_TAD,138,yes
Active,Intergenic,961,yes
Inactive,Inactive,39,yes
Inactive,Enhancer,136,yes
Inactive,Genic,435,yes
Inactive,Dixon_TAD,55,yes
Inactive,Intergenic,427,yes
Enhancer,Enhancer,100,yes
Enhancer,Genic,679,yes
Enhancer,Dixon_TAD,76,yes
Enhancer,Intergenic,534,yes
Genic,Genic,1311,yes
Genic,Dixon_TAD,260,yes
Genic,Intergenic,1893,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,228,yes
Intergenic,Intergenic,987,yes
Active,Active,327,yes
Active,Inactive,224,yes
Active,Enhancer,307,yes
Active,Genic,855,yes
Active,Dixon_TAD,108,yes
Active,Intergenic,1032,yes
Inactive,Inactive,45,yes
Inactive,Enhancer,134,yes
Inactive,Genic,402,yes
Inactive,Dixon_TAD,49,yes
Inactive,Intergenic,419,yes
Enhancer,Enhancer,117,yes
Enhancer,Genic,604,yes
Enhancer,Dixon_TAD,65,yes
Enhancer,Intergenic,527,yes
Genic,Genic,1108,yes
Genic,Dixon_TAD,222,yes
Genic,Intergenic,2003,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,232,yes
Intergenic,Intergenic,964,yes
Active,Active,358,yes
