class1,class2,count,permuted
Active,Active,250,yes
Active,Inactive,230,yes
Active,Enhancer,278,yes
Active,Genic,693,yes
Active,Dixon_TAD,121,yes
Active,Intergenic,983,yes
Inactive,Inactive,62,yes
Inactive,Enhancer,128,yes
Inactive,Genic,393,yes
Inactive,Dixon_TAD,54,yes
Inactive,Intergenic,492,yes
Enhancer,Enhancer,95,yes
Enhancer,Genic,520,yes
Enhancer,Dixon_TAD,70,yes
Enhancer,Intergenic,619,yes
Genic,Genic,912,yes
Genic,Dixon_TAD,224,yes
Genic,Intergenic,1909,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,185,yes
Intergenic,Intergenic,1264,yes
Active,Active,237,yes
Active,Inactive,173,yes
Active,Enhancer,242,yes
Active,Genic,635,yes
Active,Dixon_TAD,98,yes
Active,Intergenic,874,yes
Inactive,Inactive,81,yes
Inactive,Enhancer,90,yes
Inactive,Genic,352,yes
Inactive,Dixon_TAD,58,yes
Inactive,Intergenic,557,yes
Enhancer,Enhancer,69,yes
Enhancer,Genic,432,yes
Enhancer,Dixon_TAD,52,yes
Enhancer,Intergenic,517,yes
Genic,Genic,849,yes
Genic,Dixon_TAD,184,yes
Genic,Intergenic,1869,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,210,yes
Intergenic,Intergenic,1411,yes
Active,Active,328,yes
Active,Inactive,217,yes
Active,Enhancer,312,yes
Active,Genic,826,yes
Active,Dixon_TAD,111,yes
Active,Intergenic,813,yes
Inactive,Inactive,62,yes
Inactive,Enhancer,128,yes
Inactive,Genic,359,yes
Inactive,Dixon_TAD,51,yes
Inactive,Intergenic,411,yes
Enhancer,Enhancer,109,yes
Enhancer,Genic,603,yes
Enhancer,Dixon_TAD,71,yes
Enhancer,Intergenic,578,yes
Genic,Genic,1032,yes
Genic,Dixon_TAD,214,yes
Genic,Intergenic,1657,yes
Dixon_TAD,Dixon_TAD,8,yes
Dixon_TAD,Intergenic,192,yes
Intergenic,Intergenic,1388,yes
Active,Active,400,yes
Active,Inactive,304,yes
Active,Enhancer,330,yes
Active,Genic,951,yes
Active,Dixon_TAD,136,yes
Active,Intergenic,925,yes
Inactive,Inactive,70,yes
Inactive,Enhancer,138,yes
Inactive,Genic,456,yes
Inactive,Dixon_TAD,54,yes
Inactive,Intergenic,407,yes
Enhancer,Enhancer,87,yes
Enhancer,Genic,569,yes
Enhancer,Dixon_TAD,63,yes
Enhancer,Intergenic,527,yes
Genic,Genic,1187,yes
Genic,Dixon_TAD,241,yes
Genic,Intergenic,1857,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,208,yes
Intergenic,Intergenic,1044,yes
Active,Active,288,yes
Active,Inactive,303,yes
Active,Enhancer,242,yes
Active,Genic,874,yes
Active,Dixon_TAD,137,yes
Active,Intergenic,945,yes
Inactive,Inactive,82,yes
Inactive,Enhancer,107,yes
Inactive,Genic,479,yes
Inactive,Dixon_TAD,35,yes
Inactive,Intergenic,436,yes
Enhancer,Enhancer,64,yes
Enhancer,Genic,516,yes
Enhancer,Dixon_TAD,64,yes
Enhancer,Intergenic,492,yes
Genic,Genic,1100,yes
Genic,Dixon_TAD,219,yes
Genic,Intergenic,1772,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,193,yes
Intergenic,Intergenic,1320,yes
Active,Active,396,yes
Active,Inactive,212,yes
Active,Enhancer,429,yes
Active,Genic,946,yes
