class1,class2,count,permuted
Active,Active,299,yes
Active,Inactive,262,yes
Active,Enhancer,276,yes
Active,Genic,766,yes
Active,Dixon_TAD,98,yes
Active,Intergenic,870,yes
Inactive,Inactive,87,yes
Inactive,Enhancer,151,yes
Inactive,Genic,476,yes
Inactive,Dixon_TAD,58,yes
Inactive,Intergenic,470,yes
Enhancer,Enhancer,86,yes
Enhancer,Genic,535,yes
Enhancer,Dixon_TAD,71,yes
Enhancer,Intergenic,550,yes
Genic,Genic,1016,yes
Genic,Dixon_TAD,200,yes
Genic,Intergenic,1762,yes
Dixon_TAD,Dixon_TAD,13,yes
Dixon_TAD,Intergenic,233,yes
Intergenic,Intergenic,1316,yes
Active,Active,237,yes
Active,Inactive,238,yes
Active,Enhancer,237,yes
Active,Genic,733,yes
Active,Dixon_TAD,82,yes
Active,Intergenic,979,yes
Inactive,Inactive,92,yes
Inactive,Enhancer,121,yes
Inactive,Genic,448,yes
Inactive,Dixon_TAD,49,yes
Inactive,Intergenic,520,yes
Enhancer,Enhancer,71,yes
Enhancer,Genic,515,yes
Enhancer,Dixon_TAD,45,yes
Enhancer,Intergenic,481,yes
Genic,Genic,1028,yes
Genic,Dixon_TAD,178,yes
Genic,Intergenic,2064,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,205,yes
Intergenic,Intergenic,1159,yes
Active,Active,280,yes
Active,Inactive,269,yes
Active,Enhancer,322,yes
Active,Genic,794,yes
Active,Dixon_TAD,102,yes
Active,Intergenic,1075,yes
Inactive,Inactive,46,yes
Inactive,Enhancer,153,yes
Inactive,Genic,415,yes
Inactive,Dixon_TAD,51,yes
Inactive,Intergenic,583,yes
Enhancer,Enhancer,100,yes
Enhancer,Genic,615,yes
Enhancer,Dixon_TAD,58,yes
Enhancer,Intergenic,640,yes
Genic,Genic,992,yes
Genic,Dixon_TAD,192,yes
Genic,Intergenic,1998,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,251,yes
Intergenic,Intergenic,1069,yes
Active,Active,299,yes
Active,Inactive,237,yes
Active,Enhancer,327,yes
Active,Genic,724,yes
Active,Dixon_TAD,85,yes
Active,Intergenic,911,yes
Inactive,Inactive,57,yes
Inactive,Enhancer,157,yes
Inactive,Genic,427,yes
Inactive,Dixon_TAD,29,yes
Inactive,Intergenic,608,yes
Enhancer,Enhancer,122,yes
Enhancer,Genic,596,yes
Enhancer,Dixon_TAD,56,yes
Enhancer,Intergenic,634,yes
Genic,Genic,946,yes
Genic,Dixon_TAD,154,yes
Genic,Intergenic,1967,yes
Dixon_TAD,Dixon_TAD,6,yes
Dixon_TAD,Intergenic,164,yes
Intergenic,Intergenic,1170,yes
Active,Active,326,yes
Active,Inactive,247,yes
Active,Enhancer,285,yes
Active,Genic,818,yes
Active,Dixon_TAD,141,yes
Active,Intergenic,1145,yes
Inactive,Inactive,67,yes
Inactive,Enhancer,82,yes
Inactive,Genic,385,yes
Inactive,Dixon_TAD,52,yes
Inactive,Intergenic,460,yes
Enhancer,Enhancer,77,yes
Enhancer,Genic,464,yes
Enhancer,Dixon_TAD,60,yes
Enhancer,Intergenic,509,yes
Genic,Genic,1016,yes
Genic,Dixon_TAD,247,yes
Genic,Intergenic,2041,yes
Dixon_TAD,Dixon_TAD,18,yes
Dixon_TAD,Intergenic,251,yes
Intergenic,Intergenic,1096,yes
Active,Active,230,yes
Active,Inactive,188,yes
Active,Enhancer,231,yes
Active,Genic,661,yes
Active,Dixon_TAD,73,yes
Active,Intergenic,1015,yes
Inactive,Inactive,57,yes
Inactive,Enhancer,103,yes
Inactive,Genic,369,yes
Inactive,Dixon_TAD,35,yes
Inactive,Intergenic,479,yes
Enhancer,Enhancer,55,yes
Enhancer,Genic,437,yes
Enhancer,Dixon_TAD,39,yes
Enhancer,Intergenic,516,yes
Genic,Genic,908,yes
Genic,Dixon_TAD,160,yes
Genic,Intergenic,2014,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,219,yes
Intergenic,Intergenic,1307,yes
Active,Active,354,yes
Active,Inactive,195,yes
Active,Enhancer,379,yes
Active,Genic,1002,yes
Active,Dixon_TAD,136,yes
Active,Intergenic,871,yes
Inactive,Inactive,30,yes
Inactive,Enhancer,121,yes
Inactive,Genic,364,yes
Inactive,Dixon_TAD,44,yes
Inactive,Intergenic,370,yes
Enhancer,Enhancer,125,yes
Enhancer,Genic,733,yes
Enhancer,Dixon_TAD,77,yes
Enhancer,Intergenic,529,yes
Genic,Genic,1334,yes
Genic,Dixon_TAD,249,yes
Genic,Intergenic,1738,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,210,yes
Intergenic,Intergenic,1007,yes
Active,Active,320,yes
Active,Inactive,294,yes
Active,Enhancer,314,yes
Active,Genic,949,yes
Active,Dixon_TAD,104,yes
Active,Intergenic,909,yes
Inactive,Inactive,59,yes
Inactive,Enhancer,130,yes
Inactive,Genic,505,yes
Inactive,Dixon_TAD,63,yes
Inactive,Intergenic,395,yes
Enhancer,Enhancer,89,yes
Enhancer,Genic,583,yes
Enhancer,Dixon_TAD,63,yes
Enhancer,Intergenic,536,yes
Genic,Genic,1229,yes
Genic,Dixon_TAD,223,yes
Genic,Intergenic,1842,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,189,yes
Intergenic,Intergenic,1145,yes
Active,Active,301,yes
Active,Inactive,254,yes
Active,Enhancer,271,yes
Active,Genic,817,yes
Active,Dixon_TAD,121,yes
Active,Intergenic,993,yes
Inactive,Inactive,47,yes
Inactive,Enhancer,102,yes
Inactive,Genic,372,yes
Inactive,Dixon_TAD,37,yes
Inactive,Intergenic,403,yes
Enhancer,Enhancer,75,yes
Enhancer,Genic,499,yes
Enhancer,Dixon_TAD,43,yes
Enhancer,Intergenic,502,yes
Genic,Genic,1066,yes
Genic,Dixon_TAD,219,yes
Genic,Intergenic,1861,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,229,yes
Intergenic,Intergenic,1227,yes
Active,Active,275,yes
Active,Inactive,224,yes
Active,Enhancer,291,yes
Active,Genic,735,yes
Active,Dixon_TAD,109,yes
Active,Intergenic,920,yes
Inactive,Inactive,169,yes
Inactive,Enhancer,128,yes
Inactive,Genic,488,yes
Inactive,Dixon_TAD,50,yes
Inactive,Intergenic,508,yes
Enhancer,Enhancer,94,yes
Enhancer,Genic,553,yes
Enhancer,Dixon_TAD,59,yes
Enhancer,Intergenic,569,yes
Genic,Genic,1089,yes
Genic,Dixon_TAD,209,yes
Genic,Intergenic,1913,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,207,yes
Intergenic,Intergenic,1065,yes
Active,Active,352,yes
Active,Inactive,286,yes
Active,Enhancer,349,yes
Active,Genic,939,yes
Active,Dixon_TAD,111,yes
Active,Intergenic,1116,yes
Inactive,Inactive,63,yes
Inactive,Enhancer,137,yes
Inactive,Genic,414,yes
Inactive,Dixon_TAD,36,yes
Inactive,Intergenic,386,yes
Enhancer,Enhancer,102,yes
Enhancer,Genic,636,yes
Enhancer,Dixon_TAD,53,yes
Enhancer,Intergenic,583,yes
Genic,Genic,1138,yes
Genic,Dixon_TAD,190,yes
Genic,Intergenic,1962,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,165,yes
Intergenic,Intergenic,1042,yes
Active,Active,289,yes
Active,Inactive,261,yes
Active,Enhancer,270,yes
Active,Genic,784,yes
Active,Dixon_TAD,112,yes
Active,Intergenic,1087,yes
Inactive,Inactive,62,yes
Inactive,Enhancer,117,yes
Inactive,Genic,436,yes
Inactive,Dixon_TAD,48,yes
Inactive,Intergenic,434,yes
Enhancer,Enhancer,60,yes
Enhancer,Genic,491,yes
Enhancer,Dixon_TAD,44,yes
Enhancer,Intergenic,523,yes
Genic,Genic,1007,yes
Genic,Dixon_TAD,189,yes
Genic,Intergenic,1908,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,203,yes
Intergenic,Intergenic,1203,yes
Active,Active,318,yes
Active,Inactive,164,yes
Active,Enhancer,274,yes
Active,Genic,702,yes
Active,Dixon_TAD,105,yes
Active,Intergenic,1118,yes
Inactive,Inactive,54,yes
Inactive,Enhancer,97,yes
Inactive,Genic,301,yes
Inactive,Dixon_TAD,56,yes
Inactive,Intergenic,482,yes
Enhancer,Enhancer,84,yes
Enhancer,Genic,476,yes
Enhancer,Dixon_TAD,57,yes
Enhancer,Intergenic,580,yes
Genic,Genic,898,yes
Genic,Dixon_TAD,205,yes
Genic,Intergenic,2087,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,217,yes
Intergenic,Intergenic,1093,yes
Active,Active,270,yes
Active,Inactive,190,yes
Active,Enhancer,318,yes
Active,Genic,672,yes
Active,Dixon_TAD,90,yes
Active,Intergenic,1029,yes
Inactive,Inactive,78,yes
Inactive,Enhancer,110,yes
Inactive,Genic,363,yes
Inactive,Dixon_TAD,32,yes
Inactive,Intergenic,451,yes
Enhancer,Enhancer,98,yes
Enhancer,Genic,517,yes
Enhancer,Dixon_TAD,56,yes
Enhancer,Intergenic,540,yes
Genic,Genic,877,yes
Genic,Dixon_TAD,159,yes
Genic,Intergenic,1847,yes
Dixon_TAD,Dixon_TAD,6,yes
Dixon_TAD,Intergenic,153,yes
Intergenic,Intergenic,1442,yes
Active,Active,325,yes
Active,Inactive,249,yes
Active,Enhancer,313,yes
Active,Genic,818,yes
Active,Dixon_TAD,133,yes
Active,Intergenic,1059,yes
Inactive,Inactive,39,yes
Inactive,Enhancer,109,yes
Inactive,Genic,413,yes
Inactive,Dixon_TAD,47,yes
Inactive,Intergenic,472,yes
Enhancer,Enhancer,71,yes
Enhancer,Genic,523,yes
Enhancer,Dixon_TAD,64,yes
Enhancer,Intergenic,490,yes
Genic,Genic,1037,yes
Genic,Dixon_TAD,231,yes
Genic,Intergenic,2027,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,177,yes
Intergenic,Intergenic,1028,yes
Active,Active,340,yes
Active,Inactive,270,yes
Active,Enhancer,266,yes
