class1,class2,count,permuted
Active,Active,276,yes
Active,Inactive,203,yes
Active,Enhancer,316,yes
Active,Genic,691,yes
Active,Dixon_TAD,118,yes
Active,Intergenic,846,yes
Inactive,Inactive,47,yes
Inactive,Enhancer,104,yes
Inactive,Genic,364,yes
Inactive,Dixon_TAD,36,yes
Inactive,Intergenic,361,yes
Enhancer,Enhancer,97,yes
Enhancer,Genic,535,yes
Enhancer,Dixon_TAD,65,yes
Enhancer,Intergenic,575,yes
Genic,Genic,905,yes
Genic,Dixon_TAD,196,yes
Genic,Intergenic,1714,yes
Dixon_TAD,Dixon_TAD,15,yes
Dixon_TAD,Intergenic,221,yes
Intergenic,Intergenic,1472,yes
Active,Active,299,yes
Active,Inactive,239,yes
Active,Enhancer,302,yes
Active,Genic,759,yes
Active,Dixon_TAD,117,yes
Active,Intergenic,872,yes
Inactive,Inactive,79,yes
Inactive,Enhancer,149,yes
Inactive,Genic,427,yes
Inactive,Dixon_TAD,41,yes
Inactive,Intergenic,521,yes
Enhancer,Enhancer,82,yes
Enhancer,Genic,549,yes
Enhancer,Dixon_TAD,56,yes
Enhancer,Intergenic,539,yes
Genic,Genic,984,yes
Genic,Dixon_TAD,213,yes
Genic,Intergenic,1768,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,208,yes
Intergenic,Intergenic,1352,yes
Active,Active,341,yes
Active,Inactive,387,yes
Active,Enhancer,344,yes
Active,Genic,953,yes
Active,Dixon_TAD,115,yes
Active,Intergenic,937,yes
Inactive,Inactive,106,yes
Inactive,Enhancer,178,yes
Inactive,Genic,625,yes
Inactive,Dixon_TAD,34,yes
Inactive,Intergenic,567,yes
Enhancer,Enhancer,88,yes
Enhancer,Genic,649,yes
Enhancer,Dixon_TAD,60,yes
Enhancer,Intergenic,562,yes
Genic,Genic,1249,yes
Genic,Dixon_TAD,204,yes
Genic,Intergenic,1899,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,191,yes
Intergenic,Intergenic,934,yes
Active,Active,227,yes
Active,Inactive,253,yes
Active,Enhancer,264,yes
Active,Genic,687,yes
Active,Dixon_TAD,97,yes
Active,Intergenic,997,yes
Inactive,Inactive,116,yes
Inactive,Enhancer,169,yes
Inactive,Genic,451,yes
Inactive,Dixon_TAD,53,yes
Inactive,Intergenic,486,yes
Enhancer,Enhancer,58,yes
Enhancer,Genic,548,yes
Enhancer,Dixon_TAD,59,yes
Enhancer,Intergenic,635,yes
Genic,Genic,945,yes
Genic,Dixon_TAD,197,yes
Genic,Intergenic,1895,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,219,yes
Intergenic,Intergenic,1134,yes
Active,Active,325,yes
Active,Inactive,257,yes
Active,Enhancer,335,yes
Active,Genic,835,yes
Active,Dixon_TAD,115,yes
Active,Intergenic,953,yes
Inactive,Inactive,88,yes
Inactive,Enhancer,147,yes
Inactive,Genic,454,yes
