class1,class2,count,permuted
Active,Active,496,yes
Active,Inactive,181,yes
Active,Enhancer,351,yes
Active,Genic,1022,yes
Active,Dixon_TAD,124,yes
Active,Intergenic,972,yes
Inactive,Inactive,71,yes
Inactive,Enhancer,81,yes
Inactive,Genic,365,yes
Inactive,Dixon_TAD,25,yes
Inactive,Intergenic,444,yes
Enhancer,Enhancer,92,yes
Enhancer,Genic,562,yes
Enhancer,Dixon_TAD,65,yes
Enhancer,Intergenic,473,yes
Genic,Genic,1291,yes
Genic,Dixon_TAD,202,yes
Genic,Intergenic,1998,yes
Dixon_TAD,Dixon_TAD,6,yes
Dixon_TAD,Intergenic,160,yes
Intergenic,Intergenic,895,yes
Active,Active,430,yes
Active,Inactive,301,yes
Active,Enhancer,336,yes
Active,Genic,1042,yes
Active,Dixon_TAD,162,yes
Active,Intergenic,1116,yes
Inactive,Inactive,58,yes
Inactive,Enhancer,134,yes
Inactive,Genic,463,yes
Inactive,Dixon_TAD,45,yes
Inactive,Intergenic,449,yes
Enhancer,Enhancer,95,yes
Enhancer,Genic,598,yes
Enhancer,Dixon_TAD,71,yes
Enhancer,Intergenic,501,yes
Genic,Genic,1284,yes
Genic,Dixon_TAD,243,yes
Genic,Intergenic,2006,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,224,yes
Intergenic,Intergenic,890,yes
Active,Active,208,yes
Active,Inactive,177,yes
Active,Enhancer,231,yes
Active,Genic,614,yes
Active,Dixon_TAD,71,yes
Active,Intergenic,885,yes
Inactive,Inactive,59,yes
Inactive,Enhancer,117,yes
Inactive,Genic,367,yes
Inactive,Dixon_TAD,33,yes
Inactive,Intergenic,500,yes
Enhancer,Enhancer,70,yes
Enhancer,Genic,481,yes
Enhancer,Dixon_TAD,49,yes
Enhancer,Intergenic,598,yes
Genic,Genic,862,yes
Genic,Dixon_TAD,149,yes
Genic,Intergenic,1937,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,208,yes
Intergenic,Intergenic,1282,yes
Active,Active,276,yes
Active,Inactive,238,yes
Active,Enhancer,269,yes
Active,Genic,773,yes
Active,Dixon_TAD,120,yes
Active,Intergenic,1054,yes
Inactive,Inactive,67,yes
Inactive,Enhancer,120,yes
Inactive,Genic,442,yes
Inactive,Dixon_TAD,38,yes
Inactive,Intergenic,450,yes
Enhancer,Enhancer,60,yes
Enhancer,Genic,519,yes
Enhancer,Dixon_TAD,72,yes
Enhancer,Intergenic,593,yes
Genic,Genic,1030,yes
Genic,Dixon_TAD,215,yes
Genic,Intergenic,1963,yes
Dixon_TAD,Dixon_TAD,13,yes
Dixon_TAD,Intergenic,268,yes
Intergenic,Intergenic,1061,yes
Active,Active,332,yes
Active,Inactive,183,yes
Active,Enhancer,335,yes
Active,Genic,862,yes
Active,Dixon_TAD,118,yes
Active,Intergenic,1092,yes
Inactive,Inactive,34,yes
Inactive,Enhancer,98,yes
Inactive,Genic,349,yes
Inactive,Dixon_TAD,35,yes
Inactive,Intergenic,354,yes
Enhancer,Enhancer,78,yes
Enhancer,Genic,582,yes
Enhancer,Dixon_TAD,66,yes
Enhancer,Intergenic,589,yes
Genic,Genic,1102,yes
Genic,Dixon_TAD,208,yes
Genic,Intergenic,1912,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,213,yes
Intergenic,Intergenic,1081,yes
Active,Active,335,yes
Active,Inactive,254,yes
Active,Enhancer,317,yes
Active,Genic,800,yes
Active,Dixon_TAD,93,yes
Active,Intergenic,941,yes
Inactive,Inactive,80,yes
Inactive,Enhancer,116,yes
Inactive,Genic,440,yes
Inactive,Dixon_TAD,35,yes
Inactive,Intergenic,341,yes
Enhancer,Enhancer,98,yes
Enhancer,Genic,526,yes
Enhancer,Dixon_TAD,54,yes
Enhancer,Intergenic,632,yes
Genic,Genic,1028,yes
Genic,Dixon_TAD,162,yes
Genic,Intergenic,1733,yes
Dixon_TAD,Dixon_TAD,4,yes
Dixon_TAD,Intergenic,219,yes
Intergenic,Intergenic,1376,yes
Active,Active,366,yes
Active,Inactive,234,yes
Active,Enhancer,422,yes
Active,Genic,898,yes
Active,Dixon_TAD,150,yes
Active,Intergenic,1099,yes
Inactive,Inactive,56,yes
Inactive,Enhancer,127,yes
Inactive,Genic,373,yes
Inactive,Dixon_TAD,46,yes
Inactive,Intergenic,452,yes
Enhancer,Enhancer,111,yes
Enhancer,Genic,672,yes
Enhancer,Dixon_TAD,91,yes
Enhancer,Intergenic,507,yes
Genic,Genic,1080,yes
Genic,Dixon_TAD,245,yes
Genic,Intergenic,1938,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,219,yes
Intergenic,Intergenic,1137,yes
Active,Active,289,yes
Active,Inactive,239,yes
Active,Enhancer,257,yes
Active,Genic,798,yes
Active,Dixon_TAD,98,yes
Active,Intergenic,893,yes
Inactive,Inactive,103,yes
Inactive,Enhancer,117,yes
Inactive,Genic,430,yes
Inactive,Dixon_TAD,49,yes
Inactive,Intergenic,456,yes
Enhancer,Enhancer,61,yes
Enhancer,Genic,523,yes
Enhancer,Dixon_TAD,55,yes
Enhancer,Intergenic,440,yes
Genic,Genic,1050,yes
Genic,Dixon_TAD,194,yes
Genic,Intergenic,1733,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,201,yes
Intergenic,Intergenic,1277,yes
Active,Active,404,yes
Active,Inactive,264,yes
Active,Enhancer,395,yes
Active,Genic,942,yes
Active,Dixon_TAD,156,yes
Active,Intergenic,875,yes
Inactive,Inactive,82,yes
Inactive,Enhancer,156,yes
Inactive,Genic,452,yes
Inactive,Dixon_TAD,46,yes
Inactive,Intergenic,545,yes
Enhancer,Enhancer,94,yes
Enhancer,Genic,677,yes
Enhancer,Dixon_TAD,92,yes
Enhancer,Intergenic,556,yes
Genic,Genic,1161,yes
Genic,Dixon_TAD,257,yes
Genic,Intergenic,1873,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,208,yes
Intergenic,Intergenic,1053,yes
Active,Active,357,yes
Active,Inactive,205,yes
Active,Enhancer,302,yes
Active,Genic,809,yes
Active,Dixon_TAD,113,yes
Active,Intergenic,1091,yes
Inactive,Inactive,45,yes
Inactive,Enhancer,108,yes
Inactive,Genic,318,yes
Inactive,Dixon_TAD,36,yes
Inactive,Intergenic,441,yes
Enhancer,Enhancer,92,yes
Enhancer,Genic,506,yes
Enhancer,Dixon_TAD,58,yes
Enhancer,Intergenic,598,yes
Genic,Genic,984,yes
Genic,Dixon_TAD,187,yes
Genic,Intergenic,1936,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,171,yes
Intergenic,Intergenic,1196,yes
Active,Active,267,yes
Active,Inactive,168,yes
Active,Enhancer,256,yes
Active,Genic,651,yes
Active,Dixon_TAD,86,yes
Active,Intergenic,1099,yes
Inactive,Inactive,32,yes
Inactive,Enhancer,94,yes
Inactive,Genic,286,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,351,yes
Enhancer,Enhancer,61,yes
