class1,class2,count,permuted
Active,Active,500,yes
Active,Inactive,228,yes
Active,Enhancer,423,yes
Active,Genic,1014,yes
Active,Dixon_TAD,158,yes
Active,Intergenic,1011,yes
Inactive,Inactive,39,yes
Inactive,Enhancer,122,yes
Inactive,Genic,357,yes
Inactive,Dixon_TAD,48,yes
Inactive,Intergenic,432,yes
Enhancer,Enhancer,133,yes
Enhancer,Genic,649,yes
Enhancer,Dixon_TAD,74,yes
Enhancer,Intergenic,529,yes
Genic,Genic,1191,yes
Genic,Dixon_TAD,268,yes
Genic,Intergenic,1872,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,233,yes
Intergenic,Intergenic,1105,yes
Active,Active,240,yes
Active,Inactive,165,yes
Active,Enhancer,192,yes
Active,Genic,615,yes
Active,Dixon_TAD,93,yes
Active,Intergenic,1043,yes
Inactive,Inactive,39,yes
Inactive,Enhancer,70,yes
Inactive,Genic,262,yes
Inactive,Dixon_TAD,35,yes
Inactive,Intergenic,286,yes
Enhancer,Enhancer,41,yes
Enhancer,Genic,364,yes
Enhancer,Dixon_TAD,51,yes
Enhancer,Intergenic,502,yes
Genic,Genic,779,yes
Genic,Dixon_TAD,190,yes
Genic,Intergenic,1861,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,282,yes
Intergenic,Intergenic,1487,yes
Active,Active,331,yes
Active,Inactive,226,yes
Active,Enhancer,296,yes
Active,Genic,810,yes
Active,Dixon_TAD,98,yes
Active,Intergenic,1009,yes
Inactive,Inactive,64,yes
Inactive,Enhancer,119,yes
Inactive,Genic,394,yes
Inactive,Dixon_TAD,29,yes
Inactive,Intergenic,453,yes
Enhancer,Enhancer,84,yes
Enhancer,Genic,533,yes
Enhancer,Dixon_TAD,41,yes
Enhancer,Intergenic,488,yes
Genic,Genic,1082,yes
Genic,Dixon_TAD,182,yes
Genic,Intergenic,1982,yes
Dixon_TAD,Dixon_TAD,4,yes
Dixon_TAD,Intergenic,186,yes
Intergenic,Intergenic,1052,yes
Active,Active,288,yes
Active,Inactive,252,yes
Active,Enhancer,275,yes
Active,Genic,765,yes
Active,Dixon_TAD,105,yes
Active,Intergenic,926,yes
Inactive,Inactive,56,yes
Inactive,Enhancer,151,yes
Inactive,Genic,403,yes
Inactive,Dixon_TAD,42,yes
Inactive,Intergenic,447,yes
Enhancer,Enhancer,82,yes
Enhancer,Genic,546,yes
Enhancer,Dixon_TAD,44,yes
Enhancer,Intergenic,549,yes
Genic,Genic,980,yes
Genic,Dixon_TAD,196,yes
Genic,Intergenic,1862,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,187,yes
Intergenic,Intergenic,1144,yes
Active,Active,345,yes
Active,Inactive,234,yes
Active,Enhancer,294,yes
Active,Genic,874,yes
Active,Dixon_TAD,131,yes
Active,Intergenic,961,yes
Inactive,Inactive,70,yes
Inactive,Enhancer,109,yes
Inactive,Genic,428,yes
Inactive,Dixon_TAD,52,yes
Inactive,Intergenic,460,yes
Enhancer,Enhancer,66,yes
Enhancer,Genic,546,yes
Enhancer,Dixon_TAD,85,yes
Enhancer,Intergenic,461,yes
Genic,Genic,1182,yes
Genic,Dixon_TAD,275,yes
Genic,Intergenic,1894,yes
Dixon_TAD,Dixon_TAD,9,yes
Dixon_TAD,Intergenic,262,yes
Intergenic,Intergenic,1155,yes
Active,Active,258,yes
Active,Inactive,188,yes
Active,Enhancer,277,yes
Active,Genic,705,yes
Active,Dixon_TAD,107,yes
Active,Intergenic,998,yes
Inactive,Inactive,64,yes
Inactive,Enhancer,111,yes
Inactive,Genic,349,yes
Inactive,Dixon_TAD,42,yes
Inactive,Intergenic,432,yes
Enhancer,Enhancer,78,yes
Enhancer,Genic,524,yes
Enhancer,Dixon_TAD,56,yes
Enhancer,Intergenic,602,yes
Genic,Genic,923,yes
Genic,Dixon_TAD,203,yes
Genic,Intergenic,1922,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,267,yes
Intergenic,Intergenic,1177,yes
Active,Active,300,yes
Active,Inactive,221,yes
Active,Enhancer,302,yes
Active,Genic,812,yes
Active,Dixon_TAD,85,yes
Active,Intergenic,1029,yes
Inactive,Inactive,105,yes
Inactive,Enhancer,117,yes
Inactive,Genic,458,yes
Inactive,Dixon_TAD,41,yes
Inactive,Intergenic,509,yes
Enhancer,Enhancer,90,yes
Enhancer,Genic,584,yes
Enhancer,Dixon_TAD,50,yes
Enhancer,Intergenic,562,yes
Genic,Genic,1140,yes
Genic,Dixon_TAD,179,yes
Genic,Intergenic,2016,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,193,yes
Intergenic,Intergenic,955,yes
Active,Active,306,yes
Active,Inactive,277,yes
Active,Enhancer,258,yes
Active,Genic,823,yes
