class1,class2,count,permuted
Active,Active,337,yes
Active,Inactive,186,yes
Active,Enhancer,309,yes
Active,Genic,801,yes
Active,Dixon_TAD,128,yes
Active,Intergenic,1106,yes
Inactive,Inactive,37,yes
Inactive,Enhancer,95,yes
Inactive,Genic,337,yes
Inactive,Dixon_TAD,32,yes
Inactive,Intergenic,488,yes
Enhancer,Enhancer,97,yes
Enhancer,Genic,520,yes
Enhancer,Dixon_TAD,62,yes
Enhancer,Intergenic,580,yes
Genic,Genic,998,yes
Genic,Dixon_TAD,190,yes
Genic,Intergenic,2052,yes
Dixon_TAD,Dixon_TAD,16,yes
Dixon_TAD,Intergenic,235,yes
Intergenic,Intergenic,1059,yes
Active,Active,330,yes
Active,Inactive,219,yes
Active,Enhancer,332,yes
Active,Genic,837,yes
Active,Dixon_TAD,83,yes
Active,Intergenic,993,yes
Inactive,Inactive,71,yes
Inactive,Enhancer,167,yes
Inactive,Genic,417,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,445,yes
Enhancer,Enhancer,102,yes
Enhancer,Genic,663,yes
Enhancer,Dixon_TAD,46,yes
Enhancer,Intergenic,556,yes
Genic,Genic,1114,yes
Genic,Dixon_TAD,159,yes
Genic,Intergenic,1955,yes
Dixon_TAD,Dixon_TAD,4,yes
Dixon_TAD,Intergenic,202,yes
Intergenic,Intergenic,1093,yes
Active,Active,334,yes
Active,Inactive,233,yes
Active,Enhancer,285,yes
Active,Genic,901,yes
Active,Dixon_TAD,125,yes
Active,Intergenic,951,yes
Inactive,Inactive,51,yes
Inactive,Enhancer,102,yes
Inactive,Genic,376,yes
Inactive,Dixon_TAD,41,yes
Inactive,Intergenic,341,yes
Enhancer,Enhancer,85,yes
Enhancer,Genic,530,yes
Enhancer,Dixon_TAD,65,yes
Enhancer,Intergenic,546,yes
Genic,Genic,1148,yes
Genic,Dixon_TAD,228,yes
Genic,Intergenic,1764,yes
Dixon_TAD,Dixon_TAD,17,yes
Dixon_TAD,Intergenic,230,yes
Intergenic,Intergenic,1165,yes
Active,Active,287,yes
Active,Inactive,187,yes
Active,Enhancer,301,yes
Active,Genic,731,yes
Active,Dixon_TAD,101,yes
Active,Intergenic,999,yes
Inactive,Inactive,62,yes
Inactive,Enhancer,85,yes
Inactive,Genic,324,yes
Inactive,Dixon_TAD,29,yes
Inactive,Intergenic,476,yes
Enhancer,Enhancer,82,yes
Enhancer,Genic,519,yes
Enhancer,Dixon_TAD,61,yes
Enhancer,Intergenic,527,yes
Genic,Genic,925,yes
Genic,Dixon_TAD,180,yes
Genic,Intergenic,1986,yes
Dixon_TAD,Dixon_TAD,5,yes
Dixon_TAD,Intergenic,197,yes
Intergenic,Intergenic,1160,yes
Active,Active,308,yes
Active,Inactive,295,yes
Active,Enhancer,332,yes
Active,Genic,869,yes
Active,Dixon_TAD,99,yes
Active,Intergenic,1108,yes
Inactive,Inactive,59,yes
Inactive,Enhancer,122,yes
Inactive,Genic,429,yes
Inactive,Dixon_TAD,53,yes
Inactive,Intergenic,412,yes
Enhancer,Enhancer,102,yes
Enhancer,Genic,600,yes
Enhancer,Dixon_TAD,62,yes
Enhancer,Intergenic,527,yes
Genic,Genic,1087,yes
Genic,Dixon_TAD,189,yes
Genic,Intergenic,1959,yes
Dixon_TAD,Dixon_TAD,5,yes
Dixon_TAD,Intergenic,172,yes
Intergenic,Intergenic,1050,yes
Active,Active,331,yes
Active,Inactive,210,yes
Active,Enhancer,271,yes
Active,Genic,747,yes
Active,Dixon_TAD,106,yes
Active,Intergenic,1020,yes
Inactive,Inactive,52,yes
Inactive,Enhancer,113,yes
Inactive,Genic,363,yes
Inactive,Dixon_TAD,31,yes
Inactive,Intergenic,484,yes
Enhancer,Enhancer,80,yes
Enhancer,Genic,499,yes
Enhancer,Dixon_TAD,54,yes
Enhancer,Intergenic,566,yes
Genic,Genic,1002,yes
Genic,Dixon_TAD,177,yes
Genic,Intergenic,1990,yes
Dixon_TAD,Dixon_TAD,6,yes
Dixon_TAD,Intergenic,185,yes
Intergenic,Intergenic,1229,yes
Active,Active,273,yes
Active,Inactive,273,yes
Active,Enhancer,234,yes
Active,Genic,897,yes
Active,Dixon_TAD,131,yes
Active,Intergenic,775,yes
Inactive,Inactive,46,yes
Inactive,Enhancer,121,yes
Inactive,Genic,460,yes
Inactive,Dixon_TAD,49,yes
Inactive,Intergenic,411,yes
Enhancer,Enhancer,73,yes
Enhancer,Genic,505,yes
Enhancer,Dixon_TAD,62,yes
Enhancer,Intergenic,526,yes
Genic,Genic,1179,yes
Genic,Dixon_TAD,238,yes
Genic,Intergenic,1810,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,198,yes
Intergenic,Intergenic,1180,yes
Active,Active,302,yes
Active,Inactive,179,yes
Active,Enhancer,262,yes
Active,Genic,696,yes
Active,Dixon_TAD,119,yes
Active,Intergenic,1061,yes
Inactive,Inactive,40,yes
Inactive,Enhancer,92,yes
Inactive,Genic,302,yes
Inactive,Dixon_TAD,38,yes
Inactive,Intergenic,356,yes
Enhancer,Enhancer,61,yes
Enhancer,Genic,448,yes
Enhancer,Dixon_TAD,54,yes
Enhancer,Intergenic,532,yes
Genic,Genic,878,yes
Genic,Dixon_TAD,204,yes
Genic,Intergenic,1927,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,235,yes
Intergenic,Intergenic,1303,yes
Active,Active,256,yes
Active,Inactive,273,yes
Active,Enhancer,264,yes
Active,Genic,742,yes
Active,Dixon_TAD,106,yes
Active,Intergenic,1072,yes
Inactive,Inactive,34,yes
Inactive,Enhancer,119,yes
Inactive,Genic,372,yes
Inactive,Dixon_TAD,38,yes
Inactive,Intergenic,326,yes
Enhancer,Enhancer,89,yes
Enhancer,Genic,498,yes
Enhancer,Dixon_TAD,66,yes
Enhancer,Intergenic,595,yes
Genic,Genic,887,yes
Genic,Dixon_TAD,187,yes
Genic,Intergenic,1807,yes
Dixon_TAD,Dixon_TAD,14,yes
Dixon_TAD,Intergenic,230,yes
Intergenic,Intergenic,1319,yes
Active,Active,275,yes
Active,Inactive,224,yes
Active,Enhancer,291,yes
Active,Genic,735,yes
Active,Dixon_TAD,109,yes
Active,Intergenic,920,yes
Inactive,Inactive,169,yes
Inactive,Enhancer,128,yes
Inactive,Genic,488,yes
Inactive,Dixon_TAD,50,yes
Inactive,Intergenic,508,yes
Enhancer,Enhancer,94,yes
Enhancer,Genic,553,yes
Enhancer,Dixon_TAD,59,yes
Enhancer,Intergenic,569,yes
Genic,Genic,1089,yes
Genic,Dixon_TAD,209,yes
Genic,Intergenic,1913,yes
Dixon_TAD,Dixon_TAD,7,yes
Dixon_TAD,Intergenic,207,yes
Intergenic,Intergenic,1065,yes
Active,Active,452,yes
Active,Inactive,229,yes
Active,Enhancer,350,yes
Active,Genic,889,yes
Active,Dixon_TAD,128,yes
Active,Intergenic,1274,yes
Inactive,Inactive,45,yes
Inactive,Enhancer,96,yes
Inactive,Genic,349,yes
Inactive,Dixon_TAD,29,yes
Inactive,Intergenic,360,yes
Enhancer,Enhancer,87,yes
Enhancer,Genic,512,yes
Enhancer,Dixon_TAD,45,yes
Enhancer,Intergenic,530,yes
Genic,Genic,1062,yes
Genic,Dixon_TAD,203,yes
Genic,Intergenic,1983,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,241,yes
Intergenic,Intergenic,1167,yes
Active,Active,314,yes
Active,Inactive,222,yes
Active,Enhancer,269,yes
Active,Genic,799,yes
Active,Dixon_TAD,116,yes
Active,Intergenic,1043,yes
Inactive,Inactive,61,yes
Inactive,Enhancer,101,yes
Inactive,Genic,387,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,357,yes
Enhancer,Enhancer,64,yes
Enhancer,Genic,485,yes
Enhancer,Dixon_TAD,52,yes
Enhancer,Intergenic,460,yes
Genic,Genic,1017,yes
Genic,Dixon_TAD,203,yes
Genic,Intergenic,1836,yes
Dixon_TAD,Dixon_TAD,5,yes
Dixon_TAD,Intergenic,194,yes
Intergenic,Intergenic,1266,yes
Active,Active,421,yes
Active,Inactive,224,yes
Active,Enhancer,400,yes
Active,Genic,913,yes
Active,Dixon_TAD,145,yes
Active,Intergenic,1220,yes
Inactive,Inactive,54,yes
Inactive,Enhancer,140,yes
Inactive,Genic,377,yes
Inactive,Dixon_TAD,34,yes
Inactive,Intergenic,452,yes
Enhancer,Enhancer,122,yes
Enhancer,Genic,661,yes
Enhancer,Dixon_TAD,73,yes
Enhancer,Intergenic,558,yes
Genic,Genic,1124,yes
Genic,Dixon_TAD,215,yes
Genic,Intergenic,2061,yes
Dixon_TAD,Dixon_TAD,12,yes
Dixon_TAD,Intergenic,204,yes
Intergenic,Intergenic,988,yes
Active,Active,463,yes
Active,Inactive,305,yes
Active,Enhancer,309,yes
Active,Genic,1053,yes
Active,Dixon_TAD,109,yes
Active,Intergenic,1125,yes
Inactive,Inactive,58,yes
Inactive,Enhancer,115,yes
Inactive,Genic,440,yes
