class1,class2,count,permuted
Active,Active,282,yes
Active,Inactive,144,yes
Active,Enhancer,301,yes
Active,Genic,643,yes
Active,Dixon_TAD,111,yes
Active,Intergenic,935,yes
Inactive,Inactive,52,yes
Inactive,Enhancer,78,yes
Inactive,Genic,256,yes
Inactive,Dixon_TAD,40,yes
Inactive,Intergenic,387,yes
Enhancer,Enhancer,91,yes
Enhancer,Genic,495,yes
Enhancer,Dixon_TAD,76,yes
Enhancer,Intergenic,687,yes
Genic,Genic,807,yes
Genic,Dixon_TAD,213,yes
Genic,Intergenic,1879,yes
Dixon_TAD,Dixon_TAD,11,yes
Dixon_TAD,Intergenic,282,yes
Intergenic,Intergenic,1318,yes
Active,Active,289,yes
Active,Inactive,214,yes
Active,Enhancer,289,yes
Active,Genic,861,yes
Active,Dixon_TAD,111,yes
Active,Intergenic,923,yes
Inactive,Inactive,57,yes
Inactive,Enhancer,133,yes
Inactive,Genic,404,yes
Inactive,Dixon_TAD,54,yes
Inactive,Intergenic,432,yes
Enhancer,Enhancer,87,yes
Enhancer,Genic,581,yes
Enhancer,Dixon_TAD,64,yes
Enhancer,Intergenic,504,yes
Genic,Genic,1133,yes
Genic,Dixon_TAD,232,yes
Genic,Intergenic,1914,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,190,yes
Intergenic,Intergenic,1073,yes
Active,Active,553,yes
Active,Inactive,190,yes
Active,Enhancer,366,yes
Active,Genic,1066,yes
Active,Dixon_TAD,155,yes
Active,Intergenic,1036,yes
Inactive,Inactive,55,yes
Inactive,Enhancer,67,yes
Inactive,Genic,352,yes
Inactive,Dixon_TAD,39,yes
Inactive,Intergenic,406,yes
Enhancer,Enhancer,86,yes
Enhancer,Genic,603,yes
Enhancer,Dixon_TAD,57,yes
Enhancer,Intergenic,549,yes
Genic,Genic,1294,yes
Genic,Dixon_TAD,240,yes
Genic,Intergenic,1903,yes
Dixon_TAD,Dixon_TAD,10,yes
Dixon_TAD,Intergenic,170,yes
Intergenic,Intergenic,961,yes
Active,Active,356,yes
Active,Inactive,279,yes
Active,Enhancer,324,yes
Active,Genic,907,yes
Active,Dixon_TAD,162,yes
Active,Intergenic,1042,yes
Inactive,Inactive,81,yes
Inactive,Enhancer,155,yes
Inactive,Genic,465,yes
Inactive,Dixon_TAD,83,yes
Inactive,Intergenic,394,yes
Enhancer,Enhancer,93,yes
Enhancer,Genic,584,yes
Enhancer,Dixon_TAD,85,yes
Enhancer,Intergenic,576,yes
Genic,Genic,1164,yes
Genic,Dixon_TAD,319,yes
Genic,Intergenic,1898,yes
Dixon_TAD,Dixon_TAD,19,yes
Dixon_TAD,Intergenic,299,yes
Intergenic,Intergenic,989,yes
Active,Active,214,yes
Active,Inactive,228,yes
Active,Enhancer,189,yes
Active,Genic,678,yes
Active,Dixon_TAD,70,yes
Active,Intergenic,857,yes
Inactive,Inactive,62,yes
Inactive,Enhancer,113,yes
Inactive,Genic,409,yes
Inactive,Dixon_TAD,47,yes
Inactive,Intergenic,446,yes
Enhancer,Enhancer,57,yes
Enhancer,Genic,452,yes
Enhancer,Dixon_TAD,43,yes
Enhancer,Intergenic,488,yes
Genic,Genic,945,yes
