class1,class2,count,permuted
Active,Active,798,no
Active,Inactive,224,no
Active,Enhancer,595,no
Active,Genic,1386,no
Active,Dixon_TAD,230,no
Active,Intergenic,991,no
Inactive,Inactive,66,no
Inactive,Enhancer,112,no
Inactive,Genic,400,no
Inactive,Dixon_TAD,50,no
Inactive,Intergenic,251,no
Enhancer,Enhancer,147,no
Enhancer,Genic,814,no
Enhancer,Dixon_TAD,106,no
Enhancer,Intergenic,493,no
Genic,Genic,1632,no
Genic,Dixon_TAD,350,no
Genic,Intergenic,1587,no
Dixon_TAD,Dixon_TAD,20,no
Dixon_TAD,Intergenic,208,no
Intergenic,Intergenic,769,no
