Sample	Reads_sequenced	Reads_mapped	Unique_reads_mapped	Percent_mapped_reads
1np_f7f6	1954835	1439382	1022464	73.63
1np_f5c1	1869547	1309746	807081	70.05
1np_f16e2	1699754	983289	505333	57.84
1np_f5g1	579986	43044	38035	7.42
1np_f5f4	1637147	1001320	611430	61.16
1np_f11f1	932785	700418	610250	75.08
1np_f11g4	1193988	757202	547199	63.41
1np_f12b3	1704124	1116556	839283	65.52
1np_f9f3	503336	341788	285997	67.90
1np_f17d4	3029142	2129361	1092550	70.29
1np_f14b4	21355	13373	13047	62.62
1np_f10f3	950855	589901	390085	62.03
1np_f12c4	1320538	468147	306715	35.45
1np_f7b4	1735061	1239347	872998	71.42
1np_f16e6	1811913	872179	594397	48.13
1np_f17f4	54500	28690	27845	52.64
1np_f8a2	1215127	549570	440729	45.22
1np_f8a5	763646	113461	107158	14.85
1np_f13a5	933618	622421	373312	66.66
1np_f17g4	764326	186616	135002	24.41
1np_f9c5	674509	200572	179189	29.73
water-control_f11h1	895695	19448	19259	2.17
1np_f5f2	679851	172279	100449	25.34
1np_f6c4	1661718	1233353	911658	74.22
1np_f6d3	1304338	912233	612026	69.93
1np_f16g6	1529611	1091985	810653	71.38
1np_f17c6	673794	232074	116574	34.44
1np_f15b2	3298537	312808	179889	9.48
1np_f6b3	1706405	1218256	755050	71.39
1np_f18g4	395661	226570	137373	57.26
1np_f10f6	205025	142712	102099	69.60
1np_f16f6	1596932	1156238	850485	72.40
water-control_f12h2	1091902	24602	24198	2.25
1np_f7e1	1002497	634386	381397	63.28
1np_f9b3	524727	100484	66462	19.14
1np_f7a6	2329394	1621572	1145683	69.61
1np_f17g3	1406670	598660	368919	42.55
1np_f7b2	1345606	507210	452326	37.69
1np_f11f5	1283406	927067	678095	72.23
1np_f14e3	956471	500183	303663	52.29
1np_f7e6	1701635	1314567	752329	77.25
1np_f7b6	1607953	1032577	708537	64.21
1np_f7e2	1380980	1019100	705985	73.79
1np_f6b4	1257589	922490	689649	73.35
1np_f10g2	1114463	762399	593259	68.40
1np_f6f3	774212	132569	129211	17.12
1np_f10e5	1755078	1356970	910160	77.31
1np_f12f2	1304192	766073	561755	58.73
1np_f11b3	900818	169244	145955	18.78
