Sample	Reads_sequenced	Reads_mapped	Unique_reads_mapped	Percent_mapped_reads	avg_quality	dinucleotide_repeats	mononucleotide_repeats	Ecoli_screen_result	Human_screen_result	Mouse_screen_result	Rat_screen_result	Unmapped_screen_result	Yeast_screen_result	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours	sample_id	treatment	tube_contents	expt	filename
1np_f10a2	898821	299491	270886	33.32	32.1426746816	0.0	0.0	0.094123301525	15.685548068	44.4562376713	11.1145600737	43.29	1.89748570628	0.0760394354626	8	0.868415975304	f10a2	none	1np	differentiation-16	1np_f10a2
1np_f10a3	877666	569733	474998	64.91	33.1244892704	0.0	0.0	0.140485443862	6.57923071401	88.5929921349	18.3953896164	10.46	3.26705565069	0.0878348640005	8	0.949724402873	f10a3	none	1np	differentiation-16	1np_f10a3
1np_f10a4	1338154	790758	576690	59.09	32.7946215458	0.0	0.0	0.926798465051	10.2229562345	75.3864088988	17.7354641278	20.17	4.19196580366	0.0595786508612	11	0.91701551342	f10a4	none	1np	differentiation-16	1np_f10a4
1np_f10a5	866075	459784	282045	53.08	37.4913142626	0.0	0.0	0.35955149588	13.6868576654	78.0444970955	18.3672621089	11.85	0.733651318182	0.0487955165635	8	0.872218881539	f10a5	none	1np	differentiation-16	1np_f10a5
1np_f10a6	846945	309251	187637	36.51	31.8679713559	0.0	0.0	1.31388791809	25.0809963256	53.7437776875	21.1572792791	34.51	13.3259027666	0.0108418180218	2	0.779431664411	f10a6	none	1np	differentiation-16	1np_f10a6
1np_f10b1	1353084	514057	204248	37.99	32.1689806398	0.0	0.0	2.75326180302	23.9060931825	64.8977226872	29.1373940755	29.5	20.1398876346	0.00344766878906	2	0.723404255319	f10b1	none	1np	differentiation-16	1np_f10b1
1np_f10b2	1002409	725839	603584	72.4	32.2604086755	0.0	0.0	0.104747558384	5.45684899392	90.2963857104	19.0909907124	9.16	2.18972276813	0.102212376397	9	0.892349648342	f10b2	none	1np	differentiation-16	1np_f10b2
1np_f10b3	1108746	812831	636942	73.31	32.9913632157	0.0	0.0	0.201396880829	7.52807651097	87.5947458232	19.7716179213	10.94	3.64498591214	0.0761714738417	9	0.909283513097	f10b3	none	1np	differentiation-16	1np_f10b3
1np_f10b4	1195302	765507	520075	64.04	32.6706254988	0.0	0.0	0.294150126997	8.92790812075	80.798923792	20.6668072162	17.68	4.84795550603	0.0552213843491	7	0.897715196599	f10b4	none	1np	differentiation-16	1np_f10b4
1np_f10b5	1117677	779307	487043	69.72	37.5933789458	0.0	0.0	0.379895085968	4.85891720059	89.020441505	19.697461789	9.67	0.721406989676	0.0722249933981	10	0.911436116189	f10b5	none	1np	differentiation-16	1np_f10b5
1np_f10b6	698817	550603	376580	78.79	36.6964827702	0.0	0.0	0.21436227224	5.26489767707	94.5227434364	22.5060351995	4.76	1.01872163957	0.0796484844928	11	0.933136857617	f10b6	none	1np	differentiation-16	1np_f10b6
1np_f10c1	1476019	1015070	790163	68.77	33.0755776179	0.0	0.0	0.191053027377	6.24580801203	89.9036604947	19.1987967724	9.44	3.22960915429	0.0903435932044	10	0.938291653134	f10c1	none	1np	differentiation-16	1np_f10c1
1np_f10c2	426674	265879	208359	62.31	31.5685558529	0.0	0.0	0.554050380148	11.3331895865	81.4022818251	22.7629395607	16.79	7.42390010219	0.0235028314897	6	0.857677902622	f10c2	none	1np	differentiation-16	1np_f10c2
