Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
1np_f17e4	31.4862528706	0.0	0.0
1np_f18g4	36.69889375	0.0	0.0
1np_f9e5	30.5484374936	0.0	0.0
1np_f17b6	36.4371900052	0.0	0.0
1np_f8e2	32.9401689304	0.0	0.0
1np_f6d2	36.5696536771	0.0	0.0
1np_f15f5	36.0769454143	0.0	0.0
1np_f11f4	33.0547457325	0.0	0.0
1np_f10g5	35.469081608	0.0	0.0
1np_f15g1	36.1685805738	0.0	0.0
1np_f5e2	35.6836433815	0.0	0.0
1np_f10a2	32.1426746816	0.0	0.0
1np_f13c2	35.24920696	0.0	0.0
1np_f11e5	33.1500262216	0.0	0.0
1np_f8g5	33.1603631383	0.0	0.0
1np_f14f7	36.2631931273	0.0	0.0
1np_f14d1	36.5510912041	0.0	0.0
1np_f14b5	35.7378428403	0.0	0.0
1np_f15g3	27.5690419182	0.0	0.0
1np_f6c2	36.0775387764	0.0	0.0
1np_f16a2	34.9009230929	0.0	0.0
1np_f15c5	36.2492793432	0.0	0.0
1np_f13d1	37.4738720551	0.0	0.0
1np_f8f2	31.3146547116	0.0	0.0
1np_f17c4	36.7031678762	0.0	0.0
1np_f15h5	36.9275646769	0.0	0.0
1np_f12e4	32.8519032382	0.0	0.0
1np_f8c1	33.0607604212	0.0	0.0
1np_f18g1	36.6469906667	0.0	0.0
1np_f7f6	37.7020009361	0.0	0.0
1np_f18d2	36.8995010992	0.0	0.0
1np_f13b6	37.4928763238	0.0	0.0
1np_f13e5	31.9963650104	0.0	0.0
1np_f12f5	32.855427382	0.0	0.0
1np_f8e4	33.2068834971	0.0	0.0
1np_f6a4	37.7214842609	0.0	0.0
1np_f11a5	33.0347555887	0.0	0.0
1np_f7a2	37.7296988254	0.0	0.0
1np_f8f4	33.0585521944	0.0	0.0
1np_f14a1	37.5097427748	0.0	0.0
1np_f12g1	32.6912310773	0.0	0.0
1np_f16d2	36.6563617354	0.0	0.0
1np_f13d2	37.6126494221	0.0	0.0
1np_f12d1	32.5687552257	0.0	0.0
1np_f11d3	33.1311460824	0.0	0.0
1np_f10d6	36.5687976946	0.0	0.0
1np_f10f3	32.3014939186	0.0	0.0
1np_f11b2	33.2265707867	0.0	0.0
1np_f10f5	36.7322956766	0.0	0.0
1np_f15f7	36.8084512402	0.0	0.0
1np_f17a6	37.0308069101	0.0	0.0
1np_f9a5	31.9459715741	0.0	0.0
1np_f14c1	37.4330361006	0.0	0.0
1np_f16b1	36.3867111882	0.0	0.0
1np_f15f8	36.8228689388	0.0	0.0
1np_f16a5	37.1814740958	0.0	0.0
1np_f10e1	32.3219862212	0.0	0.0
1np_f16g1	37.2073315446	0.0	0.0
1np_f7a3	37.4155378767	0.0	0.0
1np_f17g6	37.2034535829	0.0	0.0
1np_f17d2	34.5590825584	0.0	0.0
1np_f9f5	28.1182551581	0.0	0.0
1np_f16d1	37.2046731123	0.0	0.0
1np_f14d5	37.4924568837	0.0	0.0
1np_f7e2	37.684649307	0.0	0.0
1np_f6a2	36.5701980813	0.0	0.0
1np_f11g5	31.2503845608	0.0	0.0
1np_f5c3	27.3983207541	0.0	0.0
1np_f9g1	31.3262165042	0.0	0.0
1np_f16a1	37.1811350664	0.0	0.0
1np_f14f3	37.440795456	0.0	0.0
1np_f17a5	37.1926164025	0.0	0.0
1np_f7b6	37.6626425026	0.0	0.0
1np_f8f5	32.6861823652	0.0	0.0
1np_f18c1	36.7636135061	0.0	0.0
1np_f16b5	36.9993752091	0.0	0.0
1np_f15c7	36.5194090859	0.0	0.0
1np_f15b8	36.7672946244	0.0	0.0
1np_f15a2	36.0515763865	0.0	0.0
1np_f16f2	37.4365311078	0.0	0.0
1np_f8c6	33.0637673952	0.0	0.0
1np_f14g3	35.4956580153	0.0	0.0
1np_f14e3	35.980192813	0.0	0.0
1np_f14d2	34.4809703895	0.0	0.0
1np_f8c5	32.9826262299	0.0	0.0
1np_f16g2	31.0625560117	0.0	0.0
1np_f18e1	36.7606353744	0.0	0.0
1np_f12c6	32.7620255816	0.0	0.0
1np_f14d4	37.6312712292	0.0	0.0
1np_f8b4	31.4624814353	0.0	0.0
1np_f17a4	37.2986612	0.0	0.0
1np_f7a1	37.0217735015	0.0	0.0
1np_f8e1	32.3037204449	0.0	0.0
1np_f17f2	36.7391092565	0.0	0.0
1np_f9d1	31.6563076675	0.0	0.0
1np_f12g2	32.857548145	0.0	0.0
1np_f16e7	37.5380607497	0.0	0.0
1np_f14f4	37.6363894489	0.0	0.0
1np_f14c2	32.9935338457	0.0	0.0
1np_f9a6	28.5635035123	0.0	0.0
1np_f13a2	36.2455863466	0.0	0.0
1np_f7b1	37.7196075238	0.0	0.0
