Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
1np_f12g2	0.0472403978756	8	0.806832298137
1np_f18b1	0.0665620140254	9	0.900374696936
1np_f18a2	0.0197617440803	5	0.755011135857
1np_f6c4	0.147398843931	10	0.934209216682
1np_f8f4	0.0623954696165	8	0.821772866212
1np_f16c2	0.014436196121	4	0.585365853659
1np_f18f1	0.0491916317009	7	0.883388010737
1np_f13a1	0.0606642997565	10	0.658524788392
1np_f16g1	0.099322202987	11	0.894830132939
1np_f12d5	0.0134385728118	1	0.21943231441
1np_f14c2	0.028857721311	6	0.473309608541
1np_f12e2	0.000806901205951	1	0.0363636363636
1np_f16g4	0.0938499457176	10	0.827262779428
1np_f12b5	0.0538423168334	9	0.817438692098
1np_f10b2	0.102212376397	9	0.892349648342
1np_f7c5	0.033919192512	4	0.875432525952
1np_f8d6	0.00605909451014	2	0.598062953995
1np_f8b3	0.00178985358411	1	0.131147540984
1np_f8d4	0.110149350078	12	0.858684070325
1np_f17a7	0.104823802118	13	0.806717984605
1np_f10d4	0.00149643496376	1	0.519607843137
1np_f10b6	0.0796484844928	11	0.933136857617
1np_f15e3	0.026304979314	8	0.633017289459
1np_f5c3	0.0190722103225	5	0.602307692308
1np_f5b2	0.0506000410786	10	0.858799652073
1np_f17b6	0.0236201989378	6	0.492546583851
1np_f10g3	0.0232534256624	6	0.425867507886
1np_f8c2	0.0482086793228	8	0.841144248326
1np_f3f1	0.122927730994	10	0.913474161594
1np_f15e6	0.0564537425545	9	0.862266112266
1np_f8b1	0.0187201079781	4	0.797021943574
1np_f8b6	0.0232240838004	5	0.486418193304
1np_f15b4	0.0787975704938	11	0.930366784584
1np_f13g3	0.0402276928494	7	0.534646243618
1np_f5e4	0.0638919045803	9	0.803214695752
1np_f8a3	0.0632317126845	12	0.739675174014
1np_f12e4	0.0964026877146	15	0.264343326739
1np_f9g3	0.0446143012236	10	0.767510687274
1np_f17c2	0.0653003139579	10	0.765895304426
1np_f16c4	0.0835509521434	10	0.853731343284
1np_f16f6	0.169141163698	13	0.924191170093
1np_f16b6	0.132595874534	13	0.918566054437
1np_f15h5	0.0753792435668	10	0.878357337485
1np_f14a5	0.0351955635105	6	0.378491037932
1np_f16a4	0.113553006074	10	0.870930232558
1np_f6g2	0.127578416126	10	0.955726770929
1np_f7b1	0.12950030809	9	0.895434462445
1np_f11d2	0.0702737595728	7	0.937160751566
1np_f12b3	0.0955077609225	11	0.92089093702
1np_f5e2	0.00487074909774	2	0.665662650602
1np_f14d6	0.055148029694	9	0.780526735834
1np_f18c4	0.0545758633843	8	0.783602150538
1np_f17b2	0.00660191895778	3	0.642222222222
1np_f14b1	0.118012969103	13	0.864619592243
1np_f11a6	0.0648455150964	11	0.822398190045
1np_f17a5	0.0290337724832	4	0.742294087923
1np_f8f2	0.0113553006074	3	0.359173126615
1np_f10a4	0.0595786508612	11	0.91701551342
1np_f10c6	0.0487515037704	5	0.868793259103
1np_f8e2	0.0801032833544	9	0.860073260073
1np_f10c1	0.0903435932044	10	0.938291653134
1np_f17b5	0.0206566708723	7	0.828835227273
1np_f15c5	0.0361198321645	8	0.837124289196
1np_f14g5	0.0465068513248	8	0.58832807571
1np_f12d6	0.0688506792641	9	0.91135734072
1np_f13c6	0.0330242657199	7	0.761439360284
1np_f8c4	0.0513482585605	7	0.834857142857
1np_f5a4	0.00833308881782	1	0.457746478873
1np_f10b4	0.0552213843491	7	0.897715196599
1np_f15a3	0.142322701799	13	0.867745593238
1np_f13a5	0.0829347730407	10	0.828055899522
