Sample	Ecoli_screen_result	Human_screen_result	Mouse_screen_result	Rat_screen_result	Unmapped_screen_result	Yeast_screen_result
expt11_G1F1	1.74463685707	8.35338091735	86.366980138	19.2257987554	7.38	0.271387955544
expt09_A1-2	52.2427231581	6.21366530984	18.0111121015	4.98955145537	24.6	0.219865109784
expt11_G1D11	1.10244284466	7.63175597659	87.0006124682	19.5056075986	8.3	0.325311003343
expt08_E4-1	20.6812007806	3.82770896467	59.8036619691	13.7260093952	17.99	0.107878038973
expt04_F40G6	22.6973034861	3.74866753524	52.0470606814	13.1825180623	23.79	0.312882466738
expt01_F38C2	5.71909421641	7.21361698697	85.4387326286	19.0579366919	5.39	0.482721784962
expt11_G1H3	2.9934630102	11.8761957908	79.7383211097	18.3065609056	9.72	0.368702168367
expt01_F38F2	5.80082754188	6.9858996505	85.8012292612	18.9983127787	5.32	0.566424295987
expt11_G1F3	4.86278913543	18.7834003429	66.8678624783	15.9850406569	13.19	0.262690877007
expt03_F41D4	9.80927238751	15.4955061846	68.8873728235	15.5726277697	8.84	0.233342231978
expt11_G1E9	1.24982403925	8.45717618195	87.1407887063	19.5658294287	7.15	0.284553663
expt02_F37A2	4.96341204214	8.37930022368	73.7912816412	17.2950214062	16.8	0.507069623392
expt07_D2	61.8303279924	2.46923501934	15.9807122407	4.15189110453	20.65	0.0753428097845
expt08_A5-1	40.5318988487	6.09823538284	31.6555225982	7.40334824795	23.5	0.177969936152
expt05_F42G3	7.37881382238	4.09644827621	85.1071925661	18.9441957804	6.92	0.297395536063
expt01_F38C3	2.3694676327	6.19093558041	90.2957158608	20.0494172311	5.26	0.582768939991
expt08_F2-1	67.5430625391	3.40764524141	3.64592799015	1.2045394883	25.86	0.0605803598473
expt01_F38E7	47.0200573066	19.6808615749	14.432368343	4.93133089616	20.61	0.164015413497
expt01_F38C9	44.9037361423	28.4649070896	2.15212845702	2.08900461593	26.04	0.113425651951
expt10_D3	20.1144497837	67.2292784081	3.10649412797	3.73556915838	12.44	0.105676629514
expt06_F43B2	12.4759692406	4.39462512015	76.2485982057	17.8438401153	9.97	0.264338353092
expt02_F37B3	3.13346385206	5.53960702367	91.2721518345	20.8620322374	5.11	0.476765299601
expt01_F38F8	26.8135337314	14.5857231095	47.0053040776	12.211143465	14.58	0.346088610449
expt01_F38A9	14.6658207268	26.3130241688	10.5388901005	3.77897178659	50.07	0.0872375438666
expt02_F37D5	5.12265441271	3.50595806233	88.6083422712	18.7194347959	5.97	0.321764885316
expt01_F38G1	9.60965138928	9.59872003816	77.7576817586	18.2513813253	6.8	0.422347656716
expt02_F37A4	12.011025984	27.5953626008	25.9972029673	7.60873971381	37.07	0.240179982975
expt10_C1	13.1849025861	59.0762322037	21.9198632927	8.12097006547	9.18	0.169890614289
expt11_G1E1	2.20629908509	9.05088656789	73.5142903409	16.8326451299	18.54	0.366367095782
expt04_F40E1	21.2931794502	4.79983169031	62.4048248778	15.6307605995	14.3	0.286527210067
expt02_F37A6	2.68636938583	17.2194671432	49.1647760355	11.5827092577	33.8	0.364406609513
expt08_G2-1	51.8775588215	4.40896882639	14.8927181097	4.147428353	30.03	0.163965758316
expt11_G1F12	0.566082945628	1.72820031549	1.33483756315	0.224636089535	96.5	0.00199676524031
expt07_C3	10.1681552817	43.2353674966	43.8071952497	12.6919814381	7.04	0.231525372985
expt07_D4	16.2715300919	4.46661581082	51.0197936323	11.8390412334	30.75	0.164612357972
expt10_C3	17.5938880892	70.4117889821	3.57333387017	4.47119691586	11.65	0.147966219413
expt11_G1D8	21.2757267239	52.6488812735	2.81923053934	3.47671893367	25.89	0.126516706182
expt11_G1D2	11.3600319186	28.6579222981	48.528252955	12.4193307067	14.83	0.248366665004
expt11_G1B11	5.14360391457	19.8741034108	65.3465148991	15.5056314283	13.61	0.303269121417
expt11_G1G8	17.4984429309	57.0540252747	2.91824884978	3.99111968336	25.29	0.0964378277379
expt11_G1D6	7.19934250749	28.9286680765	52.4159842843	12.7178695639	14.96	0.220500536217
expt11_G1H9	12.4073499845	34.5433266982	31.028377662	8.99642903584	24.98	0.181048883198
expt11_G1F2	0.463482021302	71.3772323216	23.6836309762	8.20152959077	8.25	0.145150956995
expt10_E2	12.8131725139	50.7992592963	29.2257644763	9.08362944798	10.5	0.223212051449
expt02_F37D2	2.48123940934	3.97603485839	92.0983619785	20.2684983458	5.24	0.398410392964
expt05_F42C2	15.1464990881	5.48826421378	73.6410673222	17.4659027833	8.7	0.26663230513
expt10_E6	11.8468209809	58.3519790904	23.6748311981	8.40049105994	9.54	0.179197275409
expt11_G1G4	14.3412218274	43.6236070986	20.4815638747	6.8208127397	24.32	0.188236715219
