Sample	Reads_sequenced	Reads_mapped	Unique_reads_mapped	Percent_mapped_reads
expt01_F38D8	2388839	36015	25610	1.50
expt11_G1B2	4646228	33509	10678	.72
expt04_F40F6	5568909	771412	218912	13.85
expt01_F38G2	2815830	1898394	1525946	67.41
expt01_F38A3	1442082	1050586	990767	72.85
expt05_F42B3	6845234	2910039	1583185	42.51
expt02_F37D4	4952729	1719948	591083	34.72
expt03_F41F3	6565409	3220087	1552647	49.04
expt10_E5	5776663	1182623	894906	20.47
expt01_F38F4	2900606	841437	458684	29.00
expt04_F40B6	4625688	226	163	0
expt03_F41D4	3742125	1812756	1123169	48.44
expt01_F38A7	1938199	12285	11303	.63
expt11_G1H7	4687835	2933978	1585120	62.58
expt07_F1	7421781	320092	97635	4.31
expt11_G1G6	5204091	5655	1966	.10
expt11_G1F11	5993909	1905	897	.03
expt08_H2-1	4613540	431335	197045	9.34
expt11_G1E1	3952305	2074799	1368901	52.49
expt08_G3-1	5161657	767066	410148	14.86
expt08_G4-1	4896259	2082591	1209492	42.53
expt11_G1C3	4727406	2623911	1378190	55.50
expt10_F1	6597444	1229531	982814	18.63
expt03_F41E1	4504801	2268323	1253744	50.35
expt09_E1-2	4656140	2338788	1471143	50.23
expt08_B5-1	5517178	2936687	1422016	53.22
expt11_G1B1	4169683	3338	1329	.08
expt02_F37A3	1235327	438461	375152	35.49
expt10_F2	6153630	1623403	1267346	26.38
expt10_A1	5478406	1544763	1247757	28.19
expt03_F41E4	5133370	1841661	1162629	35.87
expt08_A3-1	4937581	1112642	495207	22.53
expt11_G1D9	5257696	2518	1064	.04
expt02_F37A4	2466889	474208	293298	19.22
expt09_E2-2	4834296	2736562	1861082	56.60
expt10_G4	5860552	9784	7597	.16
expt01_F38C5	2702230	480147	298135	17.76
expt03_F41A1	5762388	2429114	1791652	42.15
expt02_F37E6	5477856	3560904	1549828	65.00
expt06_F43F2	4818032	2582648	1696313	53.60
expt05_F42F3	4629970	2382270	1639678	51.45
expt02_F37H5	1318785	866344	629423	65.69
expt09_G2-2	4481048	2161	1214	.04
expt10_E2	6194068	1201791	869121	19.40
expt04_F40A5	4208050	624982	243111	14.85
expt01_F38H4	2393133	892	512	.03
expt11_G1B6	5297550	1703720	612219	32.16
expt07_E3	7837288	4819511	2675798	61.49
expt06_F43A2	6435870	40203	37802	.62
expt08_C3-1	4734078	988975	520522	20.89
expt07_D2	8560855	885649	292702	10.34
expt11_G1D4	5839211	3290341	1849091	56.34
expt05_F42B1	4322710	2558168	1992333	59.17
expt01_F38E9	3278250	155633	86082	4.74
expt01_F38D9	4370870	26310	17719	.60
expt07_B3	8481956	2620922	826270	30.89
expt04_F40C5	4500125	2354537	1000877	52.32
expt11_G1G7	5220379	3414371	2291657	65.40
expt11_G1F9	6022791	3975763	2414478	66.01
expt11_G1G3	4422188	1363441	556995	30.83
expt07_F4	11628388	6374346	2706634	54.81
expt02_F37D2	4263188	2960864	1908597	69.45
expt09_F2-2	4842782	2460125	1594862	50.79
expt02_F37D3	3308864	1980088	1259414	59.84
expt04_F40C6	4292602	2415500	1125125	56.27
expt10_B5	6065585	1796399	1403795	29.61
expt04_F40D6	1846768	70135	56953	3.79
expt11_G1B3	6325007	3293097	1449073	52.06
expt01_F38F1	3975883	2208103	1485549	55.53
expt09_B4-2	4874830	1781258	985259	36.53
expt06_F43C3	4411683	1130021	615628	25.61
expt09_F3-2	4897666	23288	9954	.47
expt01_F38C2	2877616	1735968	1334653	60.32
expt01_F38G7	2317913	390195	244172	16.83
expt05_F42A1	3965480	629453	505992	15.87
expt05_F42E2	4725628	1051326	636239	22.24
expt01_F38B7	2275240	467017	308701	20.52
expt04_F40D3	4006558	1614636	697741	40.29
expt02_F37A1	1858156	446409	351127	24.02
expt11_G1C4	4072169	483737	153063	11.87
expt11_G1A9	5987029	4071624	2649451	68.00
expt01_F38H8	2618683	146995	89682	5.61
expt05_F42B2	5982286	3310974	2148084	55.34
expt11_G1B8	5123847	3077	1169	.06
expt11_G1F7	5220134	456324	401784	8.74
expt07_E2	8676337	552112	175816	6.36
expt11_G1G9	5578777	3776528	2508774	67.69
expt01_F38E8	3711357	1375468	824137	37.06
expt05_F42H3	5189740	2858153	2028479	55.07
expt11_G1G1	4239770	2480833	1569300	58.51
expt11_G1C5	5145267	2771838	1401676	53.87
expt11_G1H4	3948803	4297	1613	.10
expt04_F40D2	3800756	1951670	1137191	51.34
expt11_G1C6	4935167	6369	2461	.12
expt10_B2	13151419	3162650	1947734	24.04
expt11_G1B10	5747169	6259	1698	.10
expt02_F37H1	2287176	1560877	1158745	68.24
expt03_F41D2	4709292	1981484	899623	42.07
expt08_G2-1	4672287	458879	241977	9.82
expt07_G2	10282789	195655	61196	1.90
expt03_F41C4	5693655	2463032	1031552	43.25
expt11_G1D3	5608492	2995051	1489486	53.40
expt05_F42C1	1569315	586384	426223	37.36
expt01_F38E6	1079617	136124	95448	12.60
expt02_F37D5	1829285	1183720	888079	64.70
expt10_H6	5320878	1396886	1054928	26.25
expt09_C4-2	4783004	3022752	2247679	63.19
expt11_G1C12	1663826	1407	188	.08
expt06_F43D2	4924076	2615213	1807096	53.11
expt02_F37A5	1057846	37923	24880	3.58
expt07_A2	8973819	3367	1883	.03
expt04_F40A4	4627803	61620	19802	1.33
expt11_G1D5	5363759	2780284	1302305	51.83
expt10_D2	4760303	40371	29604	.84
expt10_H3	5875028	9658	7492	.16
expt04_F40A6	2211648	6626	4462	.29
expt01_F38D2	1808957	1199661	998873	66.31
expt05_F42A2	6394310	636477	454930	9.95
expt05_F42D4	6738693	4083274	2897284	60.59
expt04_F40F3	4684080	2278425	985957	48.64
expt07_E4	8392886	5360219	3025961	63.86
expt08_F5-1	4903443	2351990	1373904	47.96
expt04_F40F5	5959309	2712767	867811	45.52
expt02_F37E2	4081060	2354694	993942	57.69
expt10_G6	4001091	1319761	1069259	32.98
expt11_G1A3	6058290	3408215	2026961	56.25
expt05_F42D2	3976956	1610974	1004869	40.50
expt01_F38D1	2223441	963916	597683	43.35
expt04_F40D4	3977775	1171796	434710	29.45
expt04_F40G1	4452472	2508454	1299978	56.33
expt01_F38A2	1791649	1161972	1020009	64.85
expt04_F40B2	1851416	1888	1832	.10
expt03_F41B2	2996098	1277778	753646	42.64
expt10_D6	3930682	1052446	831085	26.77
expt11_G1A12	7171723	17787	2582	.24
expt01_F38B2	2739704	1924500	1692446	70.24
expt01_F38A5	1741144	71847	62731	4.12
expt01_F38E2	2401219	1403912	1081626	58.46
expt07_A4	8284553	449395	130833	5.42
expt01_F38D7	2061890	141009	91717	6.83
expt01_F38D3	2904674	1989706	1724042	68.50
expt01_F38E1	3067894	1617673	1098162	52.72
expt01_F38E5	2944087	761751	455435	25.87
expt11_G1E4	1302287	535331	356139	41.10
expt05_F42G3	6890809	4285832	3248900	62.19
expt11_G1H11	4911468	198800	57018	4.04
expt08_F4-1	5000548	2486956	1664369	49.73
expt08_H3-1	4985919	62670	29969	1.25
expt05_F42D1	3476814	1879873	1349761	54.06
expt07_E1	8267736	197588	62438	2.38
expt08_B3-1	5581925	491274	236162	8.80
expt03_F41B4	4907254	832218	644428	16.95
expt08_C6-1	4925920	3115878	969943	63.25
expt02_F37F1	819860	64208	63047	7.83
expt10_E1	7339482	1984568	1493622	27.03
expt10_A6	4521403	1473528	1197496	32.59
expt11_G1A4	5568241	5737	1957	.10
expt01_F38F5	1900354	259523	162049	13.65
expt03_F41A4	5650325	29264	22618	.51
expt01_F38B8	2050136	22645	14831	1.10
expt11_G1F1	4526726	3010396	2088519	66.50
expt02_F37C4	2369284	1284906	824538	54.23
expt02_F37B2	2849373	1788197	1009736	62.75
expt02_F37A2	2964067	1695532	1097240	57.20
expt08_H5-1	4566704	2425511	1502868	53.11
expt02_F37C2	20493	3028	2047	14.77
expt02_F37D1	2118072	1060615	545073	50.07
expt09_H1-2	3769262	2265693	1895809	60.10
expt03_F41A3	3613168	27666	25518	.76
expt10_C2	6624675	1644578	1203298	24.82
expt08_F3-1	4915325	363100	176061	7.38
expt01_F38H2	3452199	1905760	1651472	55.20
expt10_H5	5781412	951237	680295	16.45
expt02_F37B4	2101160	487767	199230	23.21
expt11_G1D11	5178995	3286753	2063707	63.46
expt10_D5	4650564	1774066	1462391	38.14
expt10_E3	5081533	7416	6055	.14
expt10_D1	4754558	1049795	833171	22.07
expt09_E3-2	4914744	1314750	638415	26.75
expt02_F37C5	1314073	734943	452001	55.92
expt04_F40D1	4621748	1977067	750706	42.77
expt01_F38E7	2024191	180751	111655	8.92
expt04_F40E4	4497087	2426988	1165724	53.96
expt11_G1E10	5530599	1333353	324001	24.10
expt05_F42C2	5044365	2550920	1668386	50.56
expt11_G1F12	1802901	7298	366	.40
expt07_D4	6675064	2602717	1287147	38.99
expt09_H2-2	4651379	1284338	736639	27.61
expt08_E3-1	5659517	715058	334846	12.63
expt02_F37G1	2531072	1709671	1149813	67.54
expt01_F38A6	2111217	119289	96273	5.65
expt09_C2-2	4885509	2863399	1925512	58.61
expt01_F38B6	2250765	268206	158649	11.91
expt01_F38B5	2505942	393164	235640	15.68
expt07_A1	8167340	457	350	0
expt07_C3	10020473	3230596	1735055	32.23
expt11_G1C11	5300277	3051	1132	.05
expt05_F42F1	2311123	1168205	870485	50.54
expt11_G1H1	3588317	2076289	1326284	57.86
expt03_F41E3	5409022	3081184	1642161	56.96
expt06_F43E2	7343509	3917023	2409085	53.33
expt06_F43B3	6032734	1718431	977858	28.48
expt09_G3-2	4896531	2438481	1476237	49.80
expt08_F2-1	4258768	94493	53033	2.21
expt07_D1	5867815	142269	61320	2.42
expt08_B6-1	5308732	3323806	709970	62.61
expt04_F40D5	3749790	2275424	1156437	60.68
expt01_F38B3	2435252	1536871	1330017	63.10
expt07_B1	8518268	156576	44133	1.83
expt04_F40B3	4195404	2268131	1036416	54.06
expt11_G1E9	5768293	3855193	2476734	66.83
expt07_C2	10352162	26370	9171	.25
expt02_F37C6	3144539	1799294	1049653	57.21
expt01_F38B4	2398362	941288	572734	39.24
expt08_D3-1	5021168	549976	274974	10.95
expt11_G1C9	6022530	4059602	2611993	67.40
expt11_G1B7	5725711	11475	3073	.20
expt02_F37E1	2805035	882	415	.03
expt01_F38A8	2911252	67197	48736	2.30
expt10_C5	6596227	1338698	962196	20.29
expt10_C6	5290907	1742792	1312007	32.93
expt09_C1-2	4385747	537452	214874	12.25
expt11_G1C1	4665362	2670095	1711290	57.23
expt06_F43A1	6984968	170906	151491	2.44
expt01_F38G8	910382	57136	41676	6.27
expt10_G5	6062207	1398890	1064729	23.07
expt04_F40E1	4691306	2238432	914385	47.71
expt09_D3-2	4893161	1737490	899475	35.50
expt01_F38F2	3982850	2532340	1847961	63.58
expt10_C3	6656194	9582	7023	.14
expt11_G1D1	5385559	2961750	1652744	54.99
expt11_G1C2	5366546	2122892	904922	39.55
expt11_G1E3	5570023	286385	241129	5.14
expt09_B3-2	5404468	2149528	1251864	39.77
expt09_A2-2	4828343	2646497	1879565	54.81
expt07_C1	8468756	98908	33231	1.16
expt10_C4	5844392	19334	14761	.33
expt09_C3-2	4846678	1115688	521600	23.01
expt08_D2-1	4822771	494398	257691	10.25
expt05_F42D3	4652733	2917729	2431146	62.71
expt11_G1B4	5191558	2274209	962924	43.80
expt11_G1E7	5707969	2990735	1295814	52.39
expt05_F42E4	4516559	2765846	2121223	61.23
expt02_F37A6	3187629	1236213	874766	38.78
expt01_F38C6	3182704	800172	436842	25.14
expt03_F41E2	5336118	2513	1023	.04
expt01_F38A1	1315615	1304	873	.09
expt11_G1H10	4874633	11740	3648	.24
expt11_G1H5	3914243	1691974	854144	43.22
expt04_F40E5	5275435	2702943	1067790	51.23
expt09_A3-2	4993493	1611998	774745	32.28
expt08_A2-1	4232323	455110	191292	10.75
expt10_G2	6488205	231723	169860	3.57
expt11_G1D10	5040243	23718	19247	.47
expt11_G1H12	2434848	3027	2746	.12
expt08_D5-1	4982332	2746177	1816589	55.11
expt08_E2-1	4811429	312793	140763	6.50
expt11_G1C10	5605569	3457	1311	.06
expt09_D4-2	4951170	4876	2527	.09
expt11_G1E12	5068084	2568227	940596	50.67
expt08_B4-1	5522857	2783436	1543129	50.39
expt04_F40A2	3709232	1447473	860755	39.02
expt05_F42H1	1543859	712982	561229	46.18
expt11_G1G5	4111432	2409362	1521220	58.60
expt07_A3	7533237	4300384	2004160	57.08
expt11_G1G12	5702503	7424	6028	.13
expt05_F42B4	11495415	6901920	4126815	60.04
expt07_H3	9757409	5827671	2856284	59.72
expt08_C5-1	4876401	2243815	1246810	46.01
expt09_A1-2	4947540	641361	249040	12.96
expt10_H1	6119593	1906903	1538140	31.16
expt01_F38H1	2602676	1609930	1295482	61.85
expt10_B6	4128681	912430	725058	22.09
expt11_G1D2	5513989	1858191	747723	33.69
expt03_F41G3	4217233	2111019	1121524	50.05
expt03_F41D1	3324211	1896078	1293931	57.03
