Sample	filename	run_id	sample_id	treatment	tube_contents	expt	directory	expt_no	new_filename	optimization_only	Reads_sequenced	Reads_mapped	Unique_reads_mapped	Percent_mapped_reads	avg_quality	dinucleotide_repeats	mononucleotide_repeats	Ecoli_screen_result	Human_screen_result	Mouse_screen_result	Rat_screen_result	Unmapped_screen_result	Yeast_screen_result	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
expt11_G1E2	4np_g1e2.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1E2	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1E2.fastq.gz	False	4876035	3089404	1859741	63.35	32.9734538411	0	0.0	2.67206640472	11.1063098552	83.0762428274	18.5286048779	7.13	0.321572489474	0.143745782107	14	0.865686874872
expt03_F41E2	unfrozen_4np_f41e2.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F41E2	unfrozen	4np	freezing-after-incubation	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/freezing-after-incubation	3	expt03_F41E2.fastq.gz	False	5336118	2513	1023	0.04	33.7385496348	0	0.0	48.641266562	27.1985061878	1.41236765261	1.90997397747	24.0	0.038735821696	0.000249405827294	9	0.117647058824
expt09_H1-2	small-kit_4np_h1-2.fastq.gz	160719_NS500648_0078_AHFC7KBGXY	H1-2	small-kit	4np	large-vs-small-kit	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/large-vs-small-kit	9	expt09_H1-2.fastq.gz	False	3769262	2265693	1895809	60.1	33.2544972995	0	0.0	4.01645293975	4.26344866521	88.5081458182	20.4391483184	6.74	0.246995725462	0.306329039641	18	0.923084291188
expt04_F40A4	3ul-mdc-pk_4np_f40a4.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F40A4	3ul-mdc-pk	4np	pk-volume-titration	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pk-volume-titration	4	expt04_F40A4.fastq.gz	True	4627803	61620	19802	1.33	33.6927801378	0	0.0	51.4437652204	3.23045574276	2.45117041897	1.23055514139	43.02	0.187863426271	0.00360904903025	1	0.0894308943089
expt01_F38A1	unstained_4np_f38a1.fastq.gz	160324_NB501326_0019_AHT23WBGXX	F38A1	unstained	4np	pi-staining-and-freezing	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/pi-staining-and-freezing	1	expt01_F38A1.fastq.gz	False	1315615	1304	873	0.09	34.4122254611	0	0.0	37.3619098437	30.923301911	1.62546194739	1.94067310923	31.57	0.0592873658623	0.000396115137467	1	0.0
expt11_G1D10	4np_g1d10.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1D10	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1D10.fastq.gz	False	5040243	23718	19247	0.47	32.9262739912	0	0.0	0.497991171073	2.5534447696	2.00486087	1.62690342741	95.83	0.0853132285105	0.00937472492004	1	0.112676056338
expt02_F37D4	protocol-b_4np_f37d4.fastq.gz	160415_NS500648_0055_AH27MCBGXY	F37D4	protocol-b	4np	wga-reagent-volumes	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/wga-reagent-volumes	2	expt02_F37D4.fastq.gz	False	4952729	1719948	591083	34.72	33.6686614592	0	0.0	29.2473878149	4.86699308465	47.9117661905	10.5375801322	20.12	0.238251476452	0.123426542648	13	0.566028765007
expt05_F42F3	frozen-early_4np_f42f3.fastq.gz	160601_NS500648_0064_AH2CNWBGXY	F42F3	frozen-early	4np	early-freezing-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/early-freezing-test	5	expt05_F42F3.fastq.gz	False	4629970	2382270	1639678	51.45	33.3561807096	0	0.0	18.7517386639	4.52450025832	69.4521718396	16.12287883	10.14	0.245399992052	0.191866435844	14	0.88423306316
expt11_G1F9	4np_g1f9.fastq.gz	161102_NS500648_0108_AHTKH2BGXY	G1F9	none	4np	full-collection-4np	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/full-collection-4np	11	expt11_G1F9.fastq.gz	False	6022791	3975763	2414478	66.01	32.9299685146	0	0.0	1.58796573023	8.29248854353	86.238294481	18.7866108787	7.57	0.257023311417	0.220166661776	15	0.860398480709
expt10_E4	crystal-violet_4np_e4.fastq.gz	160902_NB501326_0060_AHFCC7BGXY	E4	crystal-violet	4np	cresyl-violet-test	/data/pombo/data_raw/mESC-46C/GAM/gam-natmeth-optimization/cresyl-violet-test	10	expt10_E4.fastq.gz	True	5375896	9022	7128	0.16	33.9113306879	0	0.0	14.3590413243	74.1487032163	3.45541113366	4.34839383651	11.14	0.1406271973	0.00529620609724	17	0.0443213296399
