Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
expt10_C6	33.9313964506	0	0.0
expt09_E1-2	33.4758243953	0	0.0
expt07_B2	33.7141022146	0	0.0
expt04_F40D1	33.441084845	0	0.0
expt01_F38G4	34.1501022421	0	0.0
expt03_F41D4	33.7937238868	0	0.0
expt07_C4	33.8490059879	0	0.0
expt11_G1D5	33.0172559953	0	0.0
expt11_G1G2	32.8569034691	0	0.0
expt05_F42B4	33.3705939281	0	0.0
expt11_G1D6	32.9204742379	0	0.0
expt11_G1G1	32.9391695776	0	0.0
expt10_A3	33.7800374004	0	0.0
expt06_F43D2	33.0375288684	0	0.0
expt01_F38G7	34.3982021758	0	0.0
expt05_F42B2	33.3932591989	0	0.0
expt02_F37A6	34.4669354558	0	0.0
expt04_F40B1	33.7438674223	0	0.0
expt10_G6	33.9540792749	0	0.0
expt02_F37B2	34.2353619551	0	0.0
expt11_G1A11	32.8680837742	0	0.0
expt11_G1E4	31.7404266494	0	0.0
expt04_F40F1	33.5972845223	0	0.0
expt01_F38D7	34.3017168714	0	0.0
expt11_G1E9	32.9193537846	0	0.0
expt01_F38E9	34.3989939754	0	0.0
expt05_F42A4	33.3919572587	0	0.0
expt11_G1H4	32.7289783765	0	0.0
expt11_G1E5	32.9284528515	0	0.0
expt02_F37E1	34.4545675901	0	0.0
expt06_F43A1	33.404574366	0	0.0
expt04_F40F5	33.7362593549	0	0.0
expt10_A5	33.8518041582	0	0.0
expt01_F38B1	34.3467407888	0	0.0
expt07_C1	33.683448549	0	0.0
expt08_A5-1	33.633759008	0	0.0
expt11_G1H5	32.8309008919	0	0.0
expt06_F43C3	31.9754968795	0	0.0
expt10_B2	33.9028536769	0	0.0
expt10_A6	33.8833311253	0	0.0
expt11_G1C2	32.9317123155	0	0.0
expt08_G3-1	33.4680415611	0	0.0
expt10_B1	33.904819488	0	0.0
expt11_G1E7	32.9681792245	0	0.0
expt01_F38F8	34.3638453016	0	0.0
expt06_F43A2	33.3565233605	0	0.0
expt05_F42D1	33.1084699958	0	0.0
expt04_F40E4	33.6080949735	0	0.0
expt04_F40G2	33.7112543603	0	0.0
expt03_F41E3	33.8439695753	0	0.0
expt11_G1B3	32.9510977616	0	0.0
expt11_G1F6	32.8699990775	0	0.0
expt03_F41A2	33.7901520571	0	0.0
expt02_F37A2	34.3600974607	0	0.0
expt01_F38G5	34.4289957956	0	0.0
expt11_G1A3	32.9445569624	0	0.0
expt09_A4-2	33.5129305058	0	0.0
expt10_E1	33.9036013713	0	0.0
expt07_D3	33.6747517624	0	0.0
expt01_F38B2	34.3891044434	0	0.0
expt11_G1C1	32.8849133251	0	0.0
expt07_C2	33.7294009696	0	0.0
expt08_H2-1	33.3927886179	0	0.0
expt07_F1	33.645587225	0	0.0
expt08_A6-1	33.6591153872	0	0.0
expt01_F38C9	34.4851493843	0	0.0
expt01_F38E6	34.3235740082	0	0.0
expt08_F3-1	33.4608047281	0	0.0
expt07_D2	33.5866183927	0	0.0
expt05_F42A3	33.3583931282	0	0.0
expt01_F38H8	34.4351863131	0	0.0
expt04_F40E1	33.6618525843	0	0.0
expt10_H2	33.8982993254	0	0.0
expt10_F2	33.884570083	0	0.0
expt11_G1F5	32.979903557	0	0.0
expt11_G1D2	32.9724881569	0	0.0
expt02_F37E3	34.3709740062	0	0.0
expt03_F41A1	33.7959708718	0	0.0
expt11_G1G12	32.9524284336	0	0.0
expt11_G1H2	32.7351963301	0	0.0
expt09_H1-2	33.2544972995	0	0.0
expt07_D1	33.5159114594	0	0.0
expt07_A4	33.7933765407	0	0.0
expt04_F40E2	32.4852096118	0	0.0
expt10_G3	33.5662328503	0	0.0
expt07_E4	33.8807889205	0	0.0
expt05_F42C1	33.3741014392	0	0.0
expt01_F38A6	34.3871548969	0	0.0
expt11_G1H12	32.9348776597	0	0.0
expt10_D3	33.7725278461	0	0.0
expt11_G1E11	32.8983973438	0	0.0
expt01_F38H4	34.4340264415	0	0.0
expt10_F1	33.8637937662	0	0.0
expt11_G1D1	32.9816342185	0	0.0
expt01_F38C7	34.4108290532	0	0.0
expt11_G1F8	32.8834528538	0	0.0
expt05_F42F3	33.3561807096	0	0.0
expt01_F38B9	34.3857433938	0	0.0
expt03_F41E1	33.7456149561	0	0.0
expt01_F38B8	34.4419262917	0	0.0
expt11_G1A4	32.9233163579	0	0.0
expt03_F41D2	33.6229284572	0	0.0
expt05_F42D2	33.1006684509	0	0.0
expt05_F42G3	33.3530177661	0	0.0
expt05_F42E3	33.3256226562	0	0.0
expt10_C5	33.9055584351	0	0.0
expt06_F43D3	28.4881783097	0	0.0
expt11_G1H11	32.8063159528	0	0.0
expt02_F37D5	34.2250163315	0	0.0
expt05_F42D4	33.121471033	0	0.0
expt11_G1F3	32.9086065332	0	0.0
expt11_G1B10	32.847687444	0	0.0
expt02_F37F1	27.6266935818	0	0.0
expt04_F40D6	25.675477916	0	0.0
expt01_F38A2	34.3777737715	0	0.0
expt02_F37D3	34.2381935311	0	0.0
expt04_F40C1	33.6687557112	0	0.0
expt09_A2-2	33.442387378	0	0.0
expt02_F37B1	34.3786181196	0	0.0
expt07_H2	33.6891771278	0	0.0
expt04_F40A2	31.0905513594	0	0.0
expt11_G1G3	32.8499437383	0	0.0
expt06_F43E3	31.5341454277	0	0.0
expt03_F41A3	33.858096828	0	0.0
expt05_F42C2	33.4243521236	0	0.0
expt10_A1	33.8995806444	0	0.0
expt01_F38E7	34.3920509478	0	0.0
expt08_C2-1	33.4674727846	0	0.0
expt02_F37B5	28.3754946662	0	0.0
expt11_G1F7	33.0047814865	0	0.0
expt08_F4-1	33.4862213101	0	0.0
expt03_F41G1	33.7726878934	0	0.0
expt08_H5-1	33.4720682575	0	0.0
expt08_D4-1	33.542194092	0	0.0
expt04_F40G3	33.7026228097	0	0.0
expt10_D4	33.8278185746	0	0.0
expt01_F38H2	34.3864742444	0	0.0
expt09_D3-2	33.4909362271	0	0.0
expt04_F40A1	33.580287927	0	0.0
expt01_F38F4	34.3824611133	0	0.0
expt10_B4	33.9361022501	0	0.0
expt10_E2	33.8649394873	0	0.0
expt08_F5-1	33.5981201372	0	0.0
expt02_F37A4	34.3846358713	0	0.0
expt03_F41G3	33.6387548423	0	0.0
expt01_F38A9	34.4747437071	0	0.0
expt02_F37C2	33.8568779583	0	0.0
expt09_E3-2	33.5087215122	0	0.0
expt04_F40B3	33.7620655841	0	0.0
expt10_B3	33.867334767	0	0.0
expt11_G1B5	32.9501986101	0	0.0
expt07_A3	33.8090206109	0	0.0
expt01_F38D8	34.3428071126	0	0.0
expt06_F43F1	33.3874157971	0	0.0
expt07_G1	33.6466922858	0	0.0
expt11_G1C6	32.8262727482	0	0.0
expt06_F43B3	32.2462013077	0	0.0
expt04_F40C3	33.7220233944	0	0.0
expt11_G1C8	32.8089829594	0	0.0
expt11_G1G10	32.9610757289	0	0.0
expt04_F40G6	32.7129351421	0	0.0
expt01_F38A8	34.4511660275	0	0.0
expt02_F37A1	34.3424863144	0	0.0
expt09_B3-2	33.4988853667	0	0.0
expt11_G1F4	32.8976874536	0	0.0
expt07_C3	33.8734104668	0	0.0
expt08_B5-1	33.682936639	0	0.0
expt11_G1A2	32.9598080304	0	0.0
expt08_B4-1	33.6051367979	0	0.0
expt04_F40B5	33.7759834668	0	0.0
expt10_H3	33.9630813674	0	0.0
expt10_H5	33.9129693577	0	0.0
expt11_G1A10	32.7041850213	0	0.0
expt07_G2	33.6966018655	0	0.0
expt01_F38C6	34.3614681101	0	0.0
expt02_F37D1	34.3250805449	0	0.0
expt01_F38D5	34.2805590047	0	0.0
expt05_F42A2	33.3147933084	0	0.0
expt06_F43A3	33.4088003296	0	0.0
expt09_C2-2	33.4094965335	0	0.0
expt10_G5	33.9181174447	0	0.0
expt05_F42G1	33.4226789434	0	0.0
expt04_F40B6	33.7578020826	0	0.0
expt10_H1	33.9541688475	0	0.0
expt04_F40C6	33.721460783	0	0.0
expt11_G1D11	32.9008377108	0	0.0
