Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
expt11_G1E2	0.143745782107	14	0.865686874872
expt03_F41E2	0.000249405827294	9	0.117647058824
expt09_H1-2	0.306329039641	18	0.923084291188
expt04_F40A4	0.00360904903025	1	0.0894308943089
expt01_F38A1	0.000396115137467	1	0.0
expt11_G1D10	0.00937472492004	1	0.112676056338
expt02_F37D4	0.123426542648	13	0.566028765007
expt05_F42F3	0.191866435844	14	0.88423306316
expt11_G1F9	0.220166661776	15	0.860398480709
expt10_E4	0.00529620609724	17	0.0443213296399
expt04_F40D1	0.0723717027083	11	0.812284613825
expt01_F38E4	0.168789061354	15	0.783050847458
expt08_D4-1	0.177034124586	14	0.830529543383
expt06_F43C2	0.227120683079	16	0.888508494283
expt01_F38C9	0.00591238519996	1	0.124069478908
expt01_F38C1	0.154881018749	13	0.878185090461
expt01_F38H1	0.153854053578	15	0.91446552875
expt10_C1	0.132610545465	13	0.859055205222
expt05_F42E4	0.286112496699	17	0.915085632243
expt07_H2	0.0315865144802	17	0.215513237343
expt11_G1G8	0.000660191895778	16	0.0
expt11_G1E9	0.204688829553	13	0.896645642202
expt03_F41C4	0.115768316657	12	0.800532251933
expt02_F37E4	0.218640884951	16	0.831980138227
expt08_F4-1	0.224758663185	15	0.827023498695
expt07_C3	0.159179601538	13	0.850046082949
expt02_F37D6	0.254804729908	14	0.837229387379
expt11_G1H1	0.108359496494	13	0.910912537233
expt02_F37D5	0.187069041401	13	0.849423574622
expt06_F43E3	0.115797658519	11	0.798175598632
expt11_G1G5	0.195607523253	16	0.876321908048
expt08_F3-1	0.0541504063848	9	0.400975345435
expt10_G2	0.0400076288841	6	0.747708104144
expt09_F1-2	0.163918312256	12	0.906112950864
expt10_E6	0.115621607347	13	0.870321025251
expt01_F38A5	0.036530618233	5	0.397991967871
expt07_A2	0.000953610516123	13	0.0
expt03_F41B2	0.1087409407	11	0.819347004857
expt11_G1C12	1.46709310173e-05	1	0.0
expt10_H4	0.00600041078607	1	0.039119804401
expt08_H2-1	0.0536956075233	8	0.359016393443
expt10_E1	0.248730964467	17	0.903798513625
expt03_F41D4	0.165664153047	13	0.807562876373
expt09_E2-2	0.261582700038	18	0.864722378015
expt05_F42C1	0.0996009506763	12	0.747827367801
expt01_F38E7	0.0432058918459	8	0.303565365025
expt11_G1E10	0.0364425926469	6	0.332125603865
expt11_G1C5	0.175625715208	12	0.843455016289
expt11_G1G7	0.251283706464	14	0.893040635217
expt11_G1C6	0.000748217481881	15	0.0
expt03_F41A2	0.175390980312	15	0.79774153074
expt11_G1G3	0.0810422229395	12	0.51339608979
expt10_D2	0.0158446054987	1	0.14537037037
expt05_F42E3	0.325254540653	16	0.917952187641
expt02_F37D1	0.0938939585106	12	0.5175
expt03_F41E4	0.205994542414	14	0.821665123567
expt09_D3-2	0.11306886535	16	0.642662514597
expt11_G1B6	0.0674129280244	9	0.699455930359
expt11_G1A3	0.247439922537	14	0.898553302502
expt10_B2	0.209046096065	16	0.891992420521
expt11_G1D6	0.0783134297703	9	0.824466092169
expt11_G1D4	0.247938734192	16	0.871656804734
expt08_A5-1	0.0507174085267	8	0.479028059011
expt02_F37A5	0.00657257709574	1	0.401785714286
expt04_F40G5	0.0641559813386	11	0.751657900755
expt09_D4-2	0.0012763709985	14	0.0459770114943
expt01_F38C6	0.10975323494	13	0.618901216415
expt10_G4	0.00556028285555	1	0.0474934036939
expt11_G1C1	0.210806607787	12	0.886839724407
expt11_G1A1	0.000293418620346	13	0.0
expt11_G1E5	0.106951087116	15	0.858847736626
expt05_F42A1	0.124864293888	13	0.773234637528
expt01_F38A7	0.00872920395528	1	0.114285714286
expt01_F38G5	0.000249405827294	11	0.0
expt03_F41C1	0.0355770077169	8	0.749278350515
expt11_G1A5	0.000733546550864	13	0.0
expt01_F38G8	0.021258179044	3	0.193926846101
expt05_F42B4	0.297687861272	18	0.906362426692
expt03_F41G1	0.106173527772	12	0.872184606881
expt07_E3	0.187905284469	14	0.887570268582
expt08_G4-1	0.142366714592	15	0.780193734542
expt03_F41C2	0.365218156744	19	0.896119546879
expt08_C4-1	0.124864293888	15	0.694982963224
expt07_D1	0.0234441477656	4	0.255944931164
expt05_F42B2	0.224802675978	16	0.890295634014
expt10_H1	0.326442886066	17	0.91829580693
expt10_D4	0.00561896657962	19	0.0522193211488
expt11_G1F2	0.141662509903	13	0.842170671085
expt07_H1	0.0680437780582	15	0.541828374299
