### Number of tubes used: 730
### Nuclear profiles per tube: 1.68219
### Resolution (bp): 40000
### Slice thickness (microns): 0.22
### Nuclear radius (microns): 4.5
### Detection efficiency: 0.858886
distance	 pi_threshold
1	0.339353
2	0.28053
3	0.253252
4	0.242407
5	0.235403
6	0.227595
7	0.216668
8	0.214756
9	0.212504
10	0.201916
11	0.199154
12	0.195708
13	0.196807
14	0.197653
15	0.190074
16	0.187181
17	0.186454
18	0.183855
19	0.177088
20	0.175605
21	0.180642
22	0.175994
23	0.170317
24	0.17017
25	0.171677
26	0.172798
27	0.171474
28	0.168651
29	0.162875
30	0.16702
31	0.162079
32	0.163019
33	0.16336
34	0.165021
35	0.15991
36	0.159938
37	0.160341
38	0.159571
39	0.159475
40	0.158941
41	0.150799
42	0.156024
43	0.152535
44	0.153735
45	0.152307
46	0.15211
47	0.151583
48	0.153529
49	0.1466
50	0.14639
51	0.142868
52	0.146541
53	0.145348
54	0.149687
55	0.14893
56	0.147469
57	0.147328
58	0.147298
59	0.147008
60	0.145903
61	0.146009
62	0.144678
63	0.146321
64	0.141755
65	0.14473
66	0.143641
67	0.143611
68	0.140539
69	0.142835
70	0.140198
71	0.14148
72	0.143237
73	0.140622
74	0.137583
75	0.140743
76	0.139695
77	0.136703
78	0.138678
79	0.137498
80	0.134576
81	0.138496
82	0.139594
83	0.137504
84	0.138779
85	0.133674
86	0.136249
87	0.135324
88	0.13758
89	0.135855
90	0.135047
91	0.132843
92	0.134679
93	0.138486
94	0.134287
95	0.135324
96	0.133716
97	0.132822
98	0.135814
99	0.132822
100	0.13349
101	0.134805
102	0.133944
103	0.131527
104	0.132408
105	0.132208
106	0.131375
107	0.129371
108	0.133463
109	0.13004
110	0.131093
111	0.131361
112	0.129792
113	0.12977
114	0.133471
115	0.129534
116	0.130447
117	0.132654
118	0.128388
119	0.129153
120	0.13206
121	0.132601
122	0.131045
123	0.129106
124	0.129066
125	0.13033
126	0.129422
127	0.131672
128	0.128657
129	0.126722
130	0.129393
131	0.132955
132	0.131134
133	0.131266
134	0.129474
135	0.129635
136	0.127801
137	0.131032
138	0.129146
139	0.129647
140	0.129445
141	0.129109
142	0.125121
143	0.130164
144	0.130093
145	0.12645
146	0.124742
147	0.126547
148	0.127651
149	0.127544
150	0.130192
151	0.126665
152	0.127598
153	0.125944
154	0.127253
155	0.125167
156	0.12862
157	0.127011
158	0.126822
159	0.127801
160	0.125662
161	0.125037
162	0.127406
163	0.128366
164	0.124165
165	0.125586
166	0.126173
167	0.126639
168	0.128441
169	0.125011
170	0.125975
171	0.124608
172	0.12621
173	0.126926
174	0.124795
175	0.124267
176	0.122447
177	0.128638
178	0.126061
179	0.123473
180	0.127091
181	0.123517
182	0.124754
183	0.121869
184	0.124347
185	0.123032
186	0.123004
187	0.125981
188	0.124389
189	0.124344
190	0.126463
191	0.126775
192	0.122891
193	0.124581
194	0.126286
195	0.124187
196	0.123842
197	0.125548
198	0.124002
199	0.12599
200	0.122943
201	0.130783
202	0.123631
203	0.123533
204	0.12399
205	0.122824
206	0.124158
207	0.126867
208	0.123582
209	0.124564
210	0.122372
211	0.124776
212	0.120092
213	0.123086
214	0.123962
215	0.122745
216	0.123844
217	0.122499
218	0.123968
219	0.125113
220	0.124832
221	0.123067
222	0.12446
223	0.121075
224	0.124642
225	0.120786
226	0.123059
227	0.125324
228	0.121256
229	0.125881
230	0.124079
231	0.122766
232	0.126667
233	0.121071
234	0.123662
235	0.122064
236	0.12217
237	0.123719
238	0.124435
239	0.123073
240	0.122838
241	0.122417
242	0.121799
243	0.12502
244	0.123254
245	0.12289
246	0.121763
247	0.121325
248	0.124512
249	0.123657
250	0.122382
251	0.122918
252	0.123043
253	0.12156
254	0.120883
255	0.122866
256	0.123443
257	0.119935
258	0.124696
259	0.123848
260	0.124326
261	0.123772
262	0.123228
263	0.121729
264	0.121082
265	0.122066
266	0.121749
267	0.127401
268	0.124468
269	0.125798
270	0.121922
271	0.12234
272	0.121643
273	0.12115
274	0.118785
275	0.121182
276	0.121597
277	0.121778
278	0.124372
279	0.122486
280	0.121985
281	0.125837
282	0.12001
283	0.122862
284	0.120661
285	0.120109
286	0.119831
287	0.123639
288	0.124287
289	0.121128
290	0.121607
291	0.124229
292	0.12515
293	0.121762
294	0.124666
295	0.121694
296	0.12134
297	0.12497
298	0.121104
299	0.121651
300	0.119089
301	0.118633
302	0.121645
303	0.121843
304	0.121214
305	0.121168
306	0.121016
307	0.121811
308	0.122021
309	0.121842
310	0.119111
311	0.12209
312	0.119731
313	0.119869
314	0.122913
315	0.120617
316	0.120838
317	0.124251
318	0.124286
319	0.117402
320	0.120658
321	0.121137
322	0.119603
323	0.120852
324	0.118393
325	0.121634
326	0.122027
327	0.123978
328	0.12214
329	0.120572
330	0.122362
331	0.121679
332	0.121727
333	0.11931
334	0.121695
335	0.119936
336	0.118959
337	0.117899
338	0.118756
339	0.12266
340	0.123164
341	0.120205
342	0.122985
343	0.123012
344	0.123004
345	0.120391
346	0.118355
347	0.123456
348	0.121234
349	0.123847
350	0.120924
351	0.120883
352	0.119455
353	0.120289
354	0.119862
355	0.120648
356	0.123305
357	0.117138
358	0.121343
359	0.119998
360	0.122808
361	0.124422
362	0.123206
363	0.120112
364	0.120402
365	0.123763
366	0.121089
367	0.120717
368	0.12418
369	0.120572
370	0.122867
371	0.121017
372	0.120164
373	0.122834
374	0.120418
375	0.12328
376	0.121188
377	0.122758
378	0.120823
379	0.121317
380	0.121223
381	0.123357
382	0.118981
383	0.120634
384	0.122009
385	0.121357
386	0.121305
387	0.121002
388	0.121845
389	0.122871
390	0.11799
391	0.120503
392	0.121078
393	0.117959
394	0.120989
395	0.120812
396	0.123703
397	0.121254
398	0.118337
399	0.122972
400	0.123224
401	0.122182
402	0.119945
403	0.121778
404	0.119943
405	0.122216
406	0.122595
407	0.119988
408	0.120046
409	0.119343
410	0.119398
411	0.122815
412	0.117704
413	0.117138
414	0.119895
415	0.119347
416	0.122159
417	0.119618
418	0.121407
419	0.118842
420	0.119277
421	0.122053
422	0.118888
423	0.118758
424	0.12305
425	0.120821
426	0.121447
427	0.120668
428	0.120402
429	0.120838
430	0.121265
431	0.119164
432	0.121161
433	0.120599
434	0.118842
435	0.121251
436	0.121964
437	0.11965
438	0.120414
439	0.120538
440	0.122243
441	0.119975
442	0.123302
443	0.120972
444	0.121176
445	0.117693
446	0.119834
447	0.120586
448	0.122365
449	0.119844
450	0.122655
451	0.12023
452	0.12189
453	0.119312
454	0.123091
455	0.12088
456	0.121689
457	0.121923
458	0.122259
459	0.119914
460	0.120189
461	0.119891
462	0.121291
463	0.118526
464	0.1191
465	0.118542
466	0.118856
467	0.120117
468	0.119262
469	0.121834
470	0.122954
471	0.121193
472	0.118661
473	0.121582
474	0.120104
475	0.121831
476	0.122068
477	0.121621
478	0.118547
479	0.122567
480	0.1222
481	0.120573
482	0.11968
483	0.120123
484	0.122211
485	0.122342
486	0.119979
487	0.119612
488	0.122604
489	0.122045
490	0.119658
491	0.120434
492	0.120205
493	0.120066
494	0.120611
495	0.120483
