chrom	Pos_B	Pos_A	dist	interaction
chr1	108	76	32	1
chr1	148	129	19	1
chr1	148	134	14	1
chr1	212	179	33	1
chr1	321	278	43	1
chr1	447	429	18	1
chr1	759	715	44	1
chr1	761	715	46	1
chr1	970	960	10	1
chr1	1239	1187	52	1
chr1	1240	1175	65	1
chr1	1240	1195	45	1
chr1	1244	1187	57	1
chr1	1273	1244	29	1
chr1	1492	1483	9	1
chr1	1523	1512	11	1
chr1	1526	1510	16	1
chr1	1564	1534	30	1
chr1	1567	1530	37	1
chr1	1567	1531	36	1
chr1	1567	1534	33	1
chr1	1567	1535	32	1
chr1	1567	1538	29	1
chr1	1576	1533	43	1
chr1	1576	1550	26	1
chr1	1614	1594	20	1
chr1	1615	1594	21	1
chr1	1842	1824	18	1
chr1	1846	1824	22	1
chr1	1926	1897	29	1
chr1	1936	1893	43	1
chr1	1936	1895	41	1
chr1	1939	1893	46	1
chr1	1939	1894	45	1
chr1	1939	1895	44	1
chr1	1940	1895	45	1
chr1	1940	1897	43	1
chr1	1941	1899	42	1
chr1	1941	1903	38	1
chr1	1992	1969	23	1
chr1	2130	2127	3	1
chr1	2132	2127	5	1
chr1	2132	2128	4	1
chr1	2133	2127	6	1
chr1	2133	2128	5	1
chr1	2133	2132	1	1
chr1	2134	2127	7	1
chr1	2134	2128	6	1
chr1	2134	2132	2	1
chr1	2184	2129	55	1
chr1	2184	2134	50	1
chr1	2185	2125	60	1
chr1	2185	2126	59	1
chr1	2185	2127	58	1
chr1	2185	2128	57	1
chr1	2185	2129	56	1
chr1	2185	2130	55	1
chr1	2185	2131	54	1
chr1	2185	2132	53	1
chr1	2185	2133	52	1
chr1	2185	2134	51	1
chr1	2187	2125	62	1
chr1	2187	2126	61	1
chr1	2187	2127	60	1
chr1	2187	2128	59	1
chr1	2187	2129	58	1
chr1	2187	2130	57	1
chr1	2187	2131	56	1
chr1	2187	2132	55	1
chr1	2187	2133	54	1
chr1	2187	2134	53	1
chr1	2188	2123	65	1
chr1	2188	2124	64	1
chr1	2188	2125	63	1
chr1	2188	2126	62	1
chr1	2188	2127	61	1
chr1	2188	2128	60	1
chr1	2188	2129	59	1
chr1	2188	2130	58	1
chr1	2188	2131	57	1
chr1	2188	2132	56	1
chr1	2188	2133	55	1
chr1	2188	2134	54	1
chr1	2189	2125	64	1
chr1	2189	2126	63	1
chr1	2189	2127	62	1
chr1	2189	2128	61	1
chr1	2189	2129	60	1
chr1	2189	2130	59	1
chr1	2189	2131	58	1
chr1	2189	2132	57	1
